country,outcome,posterior_median,parameter_credible_interval_low,parameter_credible_interval_high,combined_median,combined_credible_interval_low,combined_credible_interval_high,posterior_draws,stochastic_replicates_per_draw,stochastic_overlay_applied,superspreading_k,aggregate_over_analysis_years,household_design_effect,credible_interval_low_percentile,credible_interval_high_percentile
Australia,annualized_infections_per_100k,3249.96251817802,3247.072480715492,3252.746486277627,3244.7780428083906,2867.485428600404,3658.7515933374816,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_reported_cases_per_100k,40.19054492905143,40.140901898243406,40.23245447294075,40.15446736270597,35.47847300612242,45.14574352153495,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_infant_cases_per_100k,2771.5221860883266,2766.463602423827,2775.2771515170057,2767.266566292867,2444.2628611821133,3122.349994267787,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_infant_infections_per_100k,5973.270847271081,5961.955051193626,5981.686500437577,5963.840350766813,5268.290475692426,6721.4096521401225,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_child_1_9_cases_per_100k,1177.652609563181,1176.0887256297988,1178.9393422634,1176.517974825998,1037.0774599255656,1325.9942945719176,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_adolescent_cases_per_100k,782.9272369055154,782.5232528582591,783.3190713548133,782.1381012012996,689.0384338640067,879.9909684372354,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_child_adolescent_cases_per_100k,1081.2730504332847,1080.1099644220956,1082.3092177167166,1079.9009462742315,954.747925711855,1217.336594721062,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_child_adolescent_infections_per_100k,5080.093083597724,5074.98909503373,5084.795518046938,5076.996344060446,4485.425659838322,5704.995820085035,100,200,True,10.0,True,3.0,2.5,97.5
Australia,annualized_child_adolescent_reported_cases_per_100k,153.9676912937009,153.75174308567753,154.14019990483646,153.73739668509262,135.51273434640498,173.1243804699983,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_infections,25019094.50174131,24996846.205362234,25040526.242840223,25005826.0,22069046.0,28120713.349999994,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_reported_cases,309397.73489458486,309015.5693333411,309720.36594110384,309116.0,272846.925,349124.0749999999,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_infant_cases,215794.84895772423,215400.98001869733,216087.21611121568,215599.5,190506.825,243200.39999999997,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_infant_infections,465087.7726112348,464206.70770053635,465743.0277992455,464366.0,409083.3,522844.25,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_child_1_9_cases,886392.5143575806,885215.4142318247,887361.0087123087,886300.5,781351.05,997422.0,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_adolescent_cases,535602.3493293645,535325.9830385358,535870.4042507961,535051.5,472474.975,602847.8999999999,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_child_adolescent_cases,1637740.74570735,1635979.0875111327,1639310.1669657032,1635168.0,1439234.825,1843566.8499999999,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_child_adolescent_infections,7694518.449297467,7686787.736713883,7701640.948102631,7684914.0,6783423.05,8645648.375,100,200,True,10.0,True,3.0,2.5,97.5
Australia,total_child_adolescent_reported_cases,233205.8137124771,232878.72964327314,233467.10229004224,233099.5,205895.4,262217.075,100,200,True,10.0,True,3.0,2.5,97.5
Australia,resistant_infections,24638910.15676273,24616951.542385086,24660205.20424945,24598710.5,21742391.125,27698974.575,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_infections_per_100k,558.0199779659752,550.9957714382502,567.145075749054,557.7748545158597,491.2725615360334,628.5610799224219,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_reported_cases_per_100k,16.024329059141174,15.81873213536619,16.291527461564904,16.017320265552762,14.163229061656763,18.049107309442146,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_infant_cases_per_100k,321.6363540850226,317.3494619043066,327.17151702277727,321.3736362927285,283.6598037716616,362.16831775286744,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_infant_infections_per_100k,644.9143258887868,636.3003968762647,656.041290719727,645.1727711605658,568.4347954716625,726.7097554253415,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_child_1_9_cases_per_100k,140.36408897370652,138.46964520951508,142.8298009443535,140.2504725656501,123.95083359689202,158.13168960773092,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_adolescent_cases_per_100k,179.57858094374066,177.23694851345047,182.68450050074046,179.5601920515494,158.7466207593896,202.39756166220337,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_child_adolescent_cases_per_100k,168.26933136261073,166.04236154507478,171.19542039665993,168.20084527038685,147.94713479025498,189.721962848649,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_child_adolescent_infections_per_100k,806.7574591538747,795.9352469913989,821.0009084104473,806.4579704725968,712.7367812482092,909.2716486193062,100,200,True,10.0,True,3.0,2.5,97.5
China,annualized_child_adolescent_reported_cases_per_100k,61.083443472382314,60.26975493368815,62.14559587941497,61.08647100919649,53.943232860092955,68.80921568245807,100,200,True,10.0,True,3.0,2.5,97.5
China,total_infections,194894849.19100732,192441564.85933563,198081893.7735963,194743969.5,171807134.8,219148230.825,100,200,True,10.0,True,3.0,2.5,97.5
China,total_reported_cases,5596679.901590946,5524872.828469046,5690001.994267832,5595202.5,4939312.975,6307053.975,100,200,True,10.0,True,3.0,2.5,97.5
China,total_infant_cases,669330.7190129944,660409.623846542,680849.487261614,668830.5,589515.8,753808.3999999999,100,200,True,10.0,True,3.0,2.5,97.5
China,total_infant_infections,1342077.6723977395,1324151.9403652619,1365233.0755243436,1340172.5,1182223.275,1513822.175,100,200,True,10.0,True,3.0,2.5,97.5
China,total_child_1_9_cases,2977434.5569295655,2937249.1864946624,3029737.7897022325,2976137.0,2624171.75,3352740.5999999996,100,200,True,10.0,True,3.0,2.5,97.5
China,total_adolescent_cases,4331316.0317998715,4274837.421938026,4406228.754121364,4329354.0,3818376.325,4888654.8999999985,100,200,True,10.0,True,3.0,2.5,97.5
China,total_child_adolescent_cases,7978082.607372576,7872496.232279231,8116816.031085211,7985387.0,7044054.95,8995141.075,100,200,True,10.0,True,3.0,2.5,97.5
China,total_child_adolescent_infections,38250450.04412348,37737341.09037597,38925768.68867883,38205210.5,33777168.7,43207772.05,100,200,True,10.0,True,3.0,2.5,97.5
China,total_child_adolescent_reported_cases,2896123.458857036,2857544.3893999686,2946482.842395118,2893477.5,2548771.575,3258309.3249999993,100,200,True,10.0,True,3.0,2.5,97.5
China,resistant_infections,194888576.04644132,192435298.91852692,198075607.94655257,194890216.5,172058820.45,219458579.6,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_infections_per_100k,2874.584721708537,2870.526445267881,2878.624717498374,2869.433131178368,2536.5223645758497,3237.670197429077,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_reported_cases_per_100k,49.83643866051155,49.755900456329385,49.91949521163811,49.80606146334132,43.91464767535354,56.111465350793125,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_infant_cases_per_100k,2513.2990662977545,2508.4290072485596,2518.444429016455,2511.1582398470337,2214.9447748230396,2837.048719630021,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_infant_infections_per_100k,5304.741962154045,5294.566760080805,5315.403827606627,5299.280883467251,4683.963108302725,5971.901087597592,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_child_1_9_cases_per_100k,1084.1065369346888,1082.2479933718976,1086.0110771230466,1083.788682523235,957.4138501189926,1218.2153312841372,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_adolescent_cases_per_100k,691.7722563977181,690.8687364809489,692.6490395970352,690.4403319485477,609.6537406041531,779.557920281794,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_child_adolescent_cases_per_100k,975.6617952678312,974.0858676701829,977.2519453453593,975.0564458968402,859.6069837282622,1096.9468459907312,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_child_adolescent_infections_per_100k,4618.1832533942015,4611.056717888687,4625.339019464238,4609.5258474596485,4079.282068990459,5188.5190252889,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,annualized_child_adolescent_reported_cases_per_100k,191.98485767729136,191.65295403859994,192.332202317695,191.69059061903192,169.3585110223794,216.1647436513418,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_infections,54227664.29369774,54151106.851974934,54303876.87054695,54106509.0,47730943.125,60945284.14999999,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_reported_cases,940140.5513869894,938621.2367311909,941707.3732933312,939441.5,828441.525,1057723.3499999992,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_infant_cases,445029.07554083015,444166.7358774119,445940.1633420835,444336.0,392684.5,500568.075,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_infant_infections,939308.9917684682,937507.2720473893,941196.8847919927,938012.0,827863.65,1058279.0499999998,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_child_1_9_cases,1864242.585131161,1861046.6125817096,1867517.65586662,1861453.0,1642895.625,2096804.9499999997,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_adolescent_cases,1117912.9072258617,1116452.80714196,1119329.8006511247,1116216.0,984746.875,1258409.9999999998,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_child_adolescent_cases,3427201.9067881918,3421666.155601081,3432787.619859828,3421814.0,3025455.925,3858071.15,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_child_adolescent_infections,16222267.3150639,16197233.97783535,16247403.342912007,16193575.5,14363214.125,18259431.124999996,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,total_child_adolescent_reported_cases,674384.1701128443,673218.2944233894,675604.2862449681,674186.0,595090.925,758409.4749999997,100,200,True,10.0,True,3.0,2.5,97.5
United_Kingdom,resistant_infections,53153961.535604134,53083182.922812685,53219765.09759225,53097369.5,46764476.825,59715398.175,100,200,True,10.0,True,3.0,2.5,97.5
