analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_child_1_9_cases,total_adolescent_cases,total_child_adolescent_cases,total_child_adolescent_infections,total_child_adolescent_reported_cases,total_deaths,total_infant_deaths,total_child_adolescent_deaths,total_child_adolescent_hospitalizations,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,child_1_9_population,adolescent_population,child_adolescent_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_child_1_9_cases_per_100k,annualized_adolescent_cases_per_100k,annualized_child_adolescent_cases_per_100k,annualized_child_adolescent_infections_per_100k,annualized_child_adolescent_reported_cases_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,annualized_child_adolescent_deaths_per_million,annualized_child_adolescent_hospitalizations_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_FOI_reduction_case_proxy,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_dose_count,routine_scheduler_code,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_overlay_mode,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,npi_contact_reduction_country,npi_contact_reduction_iso3,npi_contact_reduction_periods_loaded,npi_contact_reduction_reduction_column,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_configured_anchor_year,resistance_timeline_applied,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,contact_reciprocity_error_before,contact_reciprocity_error_after,country,grid_fitness_R,grid_VE_inf,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,relative_reduction_infant_cases,relative_reduction_child_1_9_cases,relative_reduction_adolescent_cases,relative_reduction_child_adolescent_cases,relative_reduction_child_adolescent_infections,relative_reduction_child_adolescent_reported_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths,relative_reduction_child_adolescent_deaths
fitness_resistance_grid,fitness_0.70_VEinf_0.05,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2679412.1094272994,12936576.476611245,304072.59918296797,236208.56259571723,515276.1034556873,807187.3381386374,300878.2524418138,1344274.1531761684,5600994.439817239,259944.4936469504,796.1429462726308,789.3176468857425,790.4302232280758,75424.56101151014,13159.936777959518,0.0010172657968475739,0.043000000000000003,3.341649965384753e-05,29813213.787601866,299913.58714938496,2899426.7524122326,2629897.169232547,5829237.508794163,24.000492823261258,1807.9666132066852,42.49602731508708,3281.5523431583892,7158.527557540769,1159.9573990192318,476.68542228498967,960.8507602000795,4003.4391442096944,185.80128446296527,1.1126590321661152,10.965678573081238,5.649781178038344,53.91143362716229,11251.624614836433,235009.58520056124,757875.6460734955,757875.6460734955,9190.3312356154,0.0,8766.0,6,4.798356164383561,0.8111175637913903,0.2071191025130611,4.828139886020118,0.753380256803844,0.5664427080300704,0.0018416656071679309,0.027866228191524633,0.038114938034221814,0.6855574249709295,-0.008901884055005693,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.05,54.978665659530755,0.7729548690441933,0.2270451309558067,0.25,calibrated_country_scenario_analysis,-0.03222173830283781,-0.019442110363803833,0.0018601399838323873,-0.016797085349670615,-0.013143350858028757,-0.023353009973055894,-0.008901884055005693,-0.02082957178298317,0.06110191824707201,-0.032607029094423146,-0.03277397614295152,-0.03276573590507148
fitness_resistance_grid,fitness_0.70_VEinf_0.10,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2649298.20237389,12822432.66770026,297868.1335140734,228835.09795490987,498306.80418402515,791793.2072185834,301438.97112468816,1322067.2762981814,5528333.611501047,254012.53635223542,771.0028344188526,764.2694966362021,765.3528731134527,73114.23613337999,14016.36347300853,0.0010931126593720225,0.043000000000000003,3.499125371873918e-05,29813213.790242992,299913.5871387602,2899426.7527629435,2629897.169293161,5829237.509194865,24.000492823261258,1792.014309438982,41.628914841386056,3179.115708869024,6922.779779742984,1137.8354759790884,477.57377635062255,944.9778859305046,3951.50315159646,181.5612820204489,1.0775241701030516,10.617694507004012,5.470535070277824,52.26007596693753,12028.504393041141,231216.7825187829,748802.4457892119,748802.4457892119,9824.886932783906,0.0,8766.0,6,4.798356164383561,0.8115632885930455,0.20661431968736158,4.839935593588817,0.7516447087026711,0.5658328781380387,0.0017966855456101626,0.0273765896974736,0.03744273309726068,0.6850287003623265,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.1,54.978665659530755,0.7571830698690216,0.24281693013097838,0.25,calibrated_country_scenario_analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fitness_resistance_grid,fitness_0.70_VEinf_0.15,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2623375.515146205,12727348.076668564,292106.7450544101,221847.3723261017,482199.1123299169,777312.1050402157,302422.57800960937,1301582.0553759267,5462339.115820982,248442.47211208544,747.4548885518923,740.7999107133268,741.8557393504038,70933.19127373706,15063.414355500847,0.0011835469781104437,0.043,3.640148806086783e-05,29813213.7912845,299913.5871280228,2899426.7524195085,2629897.1700241584,5829237.50957169,24.000492823261258,1778.7256494047638,40.82372515173789,3082.037994440191,6699.001973760509,1117.0256085353615,479.1321177043587,930.3356047194875,3904.3320730420496,177.5799509341302,1.0446144585905255,10.29164081213571,5.302583921102402,50.70112416329782,12975.60940658775,227830.03031182874,740901.7591853022,740901.7591853022,10598.48266604939,0.0,8766.0,6,4.798356164383562,0.81202431984295,0.20612114160335626,4.851515920304397,0.7498628910329257,0.5652099489381898,0.0017526973119729996,0.026876033981631724,0.036756382781142814,0.684477776958178,0.007415487645430541,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.15,54.978665659530755,0.742537576385522,0.257462423614478,0.25,calibrated_country_scenario_analysis,0.03053607462866137,0.018288995215350656,-0.00326303822379459,0.015494840005127242,0.01193750238639213,0.02192830448504346,0.007415487645430541,0.01934207728666315,-0.07470203555356103,0.030541970555412634,0.03070852104679389,0.030701045999164567
fitness_resistance_grid,fitness_0.70_VEinf_0.20,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2599774.272997941,12644263.612102214,286585.9326336786,215037.506549275,466559.424969239,763379.8515305504,303718.41317114636,1282135.7712509718,5401240.8673401475,243069.9459135832,724.6473736358947,718.0641146011158,719.0933589464202,68812.35073763838,16111.144597958972,0.0012741860730061416,0.043,3.72942879868049e-05,29813213.789184596,299913.5870565465,2899426.7524182075,2629897.1698173387,5829237.509292093,24.000492823261258,1767.1140814868563,40.05215745646881,2987.4312173429316,6481.725970810048,1097.0044563448714,481.1851266452696,916.4359275005213,3860.6606998297934,173.7398147104753,1.0127395452581498,9.97578137152334,5.139884590557386,49.18520478545693,13937.756304353168,224623.17003802993,733758.3582068395,733758.3582068395,11384.364614883189,0.0,8766.0,5,5.997945205479452,0.8125002647362953,0.2056089901913795,4.863600560798468,0.7480711813236476,0.5645751196736993,0.0017087716359014452,0.026368810070308578,0.03606125652505395,0.6839323430923836,0.013895105571258282,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.2,54.978665659530755,0.7285036291077324,0.27149637089226764,0.25,calibrated_country_scenario_analysis,0.0602949089931718,0.03588481869886673,-0.0075618691171663865,0.030203837401541866,0.022989340566658023,0.043078938527184696,0.013895105571258282,0.03787649503588719,-0.14945254016738252,0.06012359321337446,0.06045692290278659,0.06044207292101611
fitness_resistance_grid,fitness_0.70_VEinf_0.25,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2576237.4008435514,12563626.213327197,281087.6747014646,208270.06779586457,451110.5673562316,749421.7092224733,305120.3290520595,1262812.1060703974,5341553.032136111,237720.43750370006,701.8897408007558,695.3793071897777,696.3821175474658,66701.13999981133,17009.497219755845,0.0013538684557259889,0.043000000000000003,3.730099693870582e-05,29813213.787340056,299913.5870957388,2899426.75223301,2629897.1691897735,5829237.508518523,24.000492823261258,1755.844506138884,39.283741890090475,2893.4138610262125,6267.101087820535,1076.9461010830132,483.40620076025317,902.6238950574887,3817.9974521514905,169.91613099280693,0.98093434520755,9.660630293095139,4.977550788177468,47.676168530529026,14787.026232507824,221359.46265685675,726775.4672849944,726775.4672849944,12078.048612294831,0.0,8766.0,6,4.798356164383561,0.8129853442822086,0.20505524098693256,4.876734655437198,0.7462855752950235,0.5639407996507821,0.001664202485338331,0.02585946382980872,0.035362927749906396,0.6833989812299699,0.020183880943668187,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.25,54.978665659530755,0.7145270155038856,0.28547298449611436,0.25,calibrated_country_scenario_analysis,0.08986833900408697,0.05351333859626428,-0.012212614426183599,0.04482008691244499,0.03378605425988801,0.06413895582674445,0.020183880943668187,0.056335193075683465,-0.2135456712799455,0.08964051820923735,0.09013860915505911,0.09011628229134894
fitness_resistance_grid,fitness_0.70_VEinf_0.30,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2552545.783335728,12484216.299606029,275602.90127313003,201620.58296199402,435986.8209825518,735224.7796169852,306536.5637846544,1243381.9263636337,5281543.5192063525,232385.31761535502,679.3113481131719,672.8755779851726,673.8520161859159,64617.368170139394,17834.158828335894,0.00142853651365354,0.043000000000000003,3.634573444396194e-05,29813213.78603687,299913.58711185696,2899426.7519981805,2629897.1690598084,5829237.508169846,24.000492823261258,1744.7464793897125,38.51721086577607,2801.0351922046593,6056.9928474999115,1056.5445998538667,485.64996033182365,888.7357288472122,3775.1042776597124,166.10273178755605,0.9493796443332521,9.347994863534339,4.816511725336184,46.18674486030966,15555.944536825858,218005.77409861816,719817.6342761719,719817.6342761719,12706.101373154017,0.0,8766.0,6,4.798356164383561,0.8134751477029328,0.20446183581553934,4.890888297130308,0.7444619780180399,0.5633097669831104,0.001619016906282782,0.025347809755065516,0.03466091248404394,0.6828342388726478,0.026376926817186508,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.3,54.978665659530755,0.7005846795974208,0.29941532040257923,0.25,calibrated_country_scenario_analysis,0.11892631522057096,0.07144343634913486,-0.016910861395747157,0.059516903069311566,0.044640955057646536,0.08514232819946432,0.026376926817186508,0.07474862107024072,-0.27238130365835156,0.11892496656616525,0.11958336562336158,0.11955381647071062
fitness_resistance_grid,fitness_0.70_VEinf_0.35,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2529429.9121442563,12409206.523139834,270194.5740578191,195157.1134026641,421332.4193054489,720853.5625983782,307980.6175124253,1223991.2935134675,5221296.092597434,227109.3830942299,657.2159661580529,650.8541318003408,651.8044797899463,62583.498675092604,18714.73643506292,0.0015081332074025015,0.043,3.467394225079888e-05,29813213.785839234,299913.58700001164,2899426.751847001,2629897.169319579,5829237.508166593,24.000492823261258,1734.2633989844323,37.761363671309084,2711.2407613504306,5853.405030347871,1035.8926412752455,487.93779383584774,874.8758296055577,3732.041048686737,162.33163666991769,0.9184999808091748,9.04205960553186,4.658921905889961,44.73299002464474,16318.729511667405,214612.42744116185,713045.159559988,713045.159559988,13329.144428619842,0.0,8766.0,6,4.798356164383562,0.8139719812957509,0.2038349436305657,4.905930171680567,0.7425601893857801,0.5626753197329398,0.0015735752929178905,0.024830985517491824,0.033951544549978764,0.6822040840253916,0.032226813372266294,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.35,54.978665659530755,0.686836670521541,0.31316332947845904,0.25,calibrated_country_scenario_analysis,0.14717141231054398,0.0895936514401311,-0.02170139568659568,0.07418380633346344,0.05553889118863187,0.10591269881538168,0.032226813372266294,0.09290540458214813,-0.33520627308945716,0.1475829441620239,0.14839708418959419,0.14836083761153462
fitness_resistance_grid,fitness_0.70_VEinf_0.40,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2504712.835260789,12328968.511496505,264621.39594026445,188645.42589219206,406693.30327772006,705803.048452691,309255.2232427586,1203703.6975876414,5157624.290296605,221691.75621522777,634.9148092081706,628.6324257749703,629.5561447682016,60528.93082261644,19528.117455651023,0.0015839214316624673,0.043,3.2585314261574304e-05,29813213.78436902,299913.5869456417,2899426.751101777,2629897.169611196,5829237.507658614,24.000492823261258,1723.049640434568,36.98247754473514,2620.77645695984,5650.029569455847,1014.2645083618028,489.9571686145608,860.3748055226241,3686.530169024102,158.45926370576595,0.8873327340341555,8.733342214690751,4.499896832634568,43.26444056736749,16972.294178028136,210968.78274387523,705918.3309067149,705918.3309067149,13862.976294267246,0.0,8766.0,6,4.407123287671232,0.8144804920132,0.2031567225534883,4.922308193550987,0.740617657496651,0.5620439554126144,0.0015277504691681883,0.02430947347782799,0.03323552660339595,0.6815449069462589,0.03848444121268768,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.4,54.978665659530755,0.6726696092218472,0.32733039077815285,0.25,calibrated_country_scenario_analysis,0.1756272198709521,0.1086017889291565,-0.025929799617174565,0.08952916453840432,0.06705625008469562,0.12724088582852033,0.03848444121268768,0.11161562393930302,-0.3932370898668931,0.17650781441453334,0.1774728305371528,0.17743021959639405
fitness_resistance_grid,fitness_0.70_VEinf_0.45,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2473772.436961236,12222041.657521999,258416.27309677267,181707.16061250662,391294.0944059538,688998.0688430212,309911.79019182536,1180617.0196473533,5083447.998730377,215753.61755693215,611.154208073158,604.9699440269039,605.8648847225477,58335.00176660994,20009.106453425826,0.0016371328959684337,0.043,3.0401975224460038e-05,29813213.785590004,299913.5870015662,2899426.7516087308,2629897.169515249,5829237.508125545,24.000492823261258,1708.1059508644116,36.11527322893236,2524.38587499931,5436.094436561511,990.1151446811197,490.9973763935507,843.8730732738891,3633.5109642904777,154.21484299126146,0.8541258236205687,8.404608692099755,4.330558121314078,41.696279488610905,17325.25898014016,206680.21358970227,697209.0715269378,697209.0715269378,14151.278078510453,0.0,8766.0,6,4.407123287671233,0.8150023958320746,0.20240255321325665,4.940649137693306,0.7387055779749323,0.5614354367398341,0.0014811922978556712,0.023786280593646385,0.03251670879476735,0.6809213962886629,0.04682348706658834,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.45,54.978665659530755,0.6568961395422961,0.3431038604577039,0.25,calibrated_country_scenario_analysis,0.20594715480091885,0.12982573914300388,-0.028107908660663705,0.1069917236336807,0.08047372753430404,0.15061823067760005,0.04682348706658834,0.13244740198245053,-0.42755333735155965,0.20732560142425593,0.20843374400054848,0.20838490844374624
fitness_resistance_grid,fitness_0.70_VEinf_0.50,symptom_protective,country_timeline,,2027-01-01,2051-01-01,2027,2051,2430520.078486919,12059386.432396784,251001.80419221573,173945.5486502225,374299.7587673507,669010.9164749472,309306.291224579,1152262.7563497487,4988869.975599981,208835.03095708028,584.5162925292522,578.4660094485921,579.3280403040656,55872.906380354776,19809.086807763946,0.001642628082184022,0.043000000000000003,2.8528520517689784e-05,29813213.787144527,299913.5871066982,2899426.752578947,2629897.1697904654,5829237.509476111,24.000492823261258,1685.3738765649725,35.079055317423794,2416.556862137658,5199.998836213705,961.3928835090903,490.03807626484036,823.6062135416796,3565.9091538045864,149.26962461781892,0.8168976882678918,8.036399985476686,4.140879942912312,39.936440373436,17125.09225701919,201243.37360656925,685237.804965178,685237.804965178,13987.78182419415,0.0,8766.0,6,4.606575342465754,0.8155353355548628,0.20154591546693282,4.961648553796009,0.7369062219026646,0.5608887522582066,0.0014333788740747294,0.023265979823558335,0.03180076794026788,0.6804060952647637,0.05950869504080858,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,0.7,0.5,54.978665659530755,0.6380485029349328,0.36195149706506724,0.25,calibrated_country_scenario_analysis,0.23986508099165327,0.15506863360819512,-0.026099213617062578,0.12843863772491915,0.09758159941338851,0.17785541628743928,0.05950869504080858,0.15733918485658815,-0.41328289937047713,0.24187530001775626,0.2431125251045494,0.243057600414615
