country,strategy,rank,rank_acceptability_frequency,frequency_rank_1,frequency_top_2,frequency_top_3,frequency_within_10_percent_of_best,mean_rank,median_rank,median_under18_cases_per_100k,q025_under18_cases_per_100k,q975_under18_cases_per_100k,median_relative_reduction_vs_current,n_psa_samples,n_rank_observations,interpretation
All_countries_pooled,timeliness_only,1,0.8376736111111112,0.8376736111111112,0.9192708333333334,0.9505208333333334,0.9392361111111112,1.3307291666666667,1.0,673.1227552544511,38.79583511989021,1344.9972561472443,0.1459375756444885,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
All_countries_pooled,maternal_immunization,1,0.09288194444444445,0.09288194444444445,0.6475694444444444,0.9444444444444444,0.3975694444444444,2.3237847222222223,2.0,725.449374015148,46.79144115296714,1569.9774464943587,0.03750319419208059,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
All_countries_pooled,targeted_pep_high_risk,1,0.06684027777777778,0.06684027777777778,0.23524305555555555,0.3333333333333333,0.3541666666666667,3.8151041666666665,4.0,733.6102642697632,64.08666047286303,1600.3061015190938,0.019720373287926418,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
All_countries_pooled,pregnancy_tdap_scaleup,1,0.001736111111111111,0.001736111111111111,0.12239583333333333,0.421875,0.24305555555555555,3.9791666666666665,4.0,741.4981969788497,82.95677786800931,1578.4531454580701,0.017716503541975626,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
All_countries_pooled,adolescent_booster,1,0.0008680555555555555,0.0008680555555555555,0.009548611111111112,0.027777777777777776,0.2092013888888889,5.3984375,6.0,754.8386020440985,51.92058355226539,1620.2189754381448,-2.3104168515919454e-05,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
All_countries_pooled,cocooning_adjunct,1,0.0,0.0,0.06597222222222222,0.3220486111111111,0.2994791666666667,4.152777777777778,4.0,741.7897636000096,47.967082211526105,1612.2384623868043,0.01622856991567706,128,1152,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,timeliness_only,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1044.5844723275195,538.8552951834519,1347.8825818949144,0.15056164922494575,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,maternal_immunization,1,0.0,0.0,0.6171875,0.9453125,0.015625,2.4375,2.0,1194.431564278726,632.114213502023,1535.5315842645975,0.026871424282345735,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,pregnancy_tdap_scaleup,1,0.0,0.0,0.203125,0.8125,0.0078125,3.0,3.0,1199.794306356354,640.1971154967048,1541.1594828484026,0.022949520133491275,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,targeted_pep_high_risk,1,0.0,0.0,0.1796875,0.2421875,0.046875,3.8828125,4.0,1209.9713461563356,661.6838387193977,1582.6082338880558,0.011333042291218398,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0078125,5.703125,6.0,1226.6049231316865,649.9615602387795,1591.0739920930523,-5.517029152968256e-06,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Australia,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0078125,4.9765625,5.0,1218.7367188625967,640.8315166498498,1584.5914869169806,0.004625438756965472,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,timeliness_only,1,0.7890625,0.7890625,1.0,1.0,0.875,1.2109375,1.0,336.794223342928,10.79878310088814,846.6695085442238,0.16886677885279894,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,targeted_pep_high_risk,1,0.2109375,0.2109375,0.4609375,0.5390625,0.3984375,3.1875,3.0,413.5161364089844,9.372595457668123,935.6153239024653,0.06468095082378417,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,maternal_immunization,1,0.0,0.0,0.4921875,0.9609375,0.2890625,2.546875,3.0,372.28058169776875,12.129840868410636,937.9224558816862,0.08359347309051979,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,adolescent_booster,1,0.0,0.0,0.046875,0.0859375,0.015625,4.984375,5.0,411.6596445092642,12.517413497787807,952.13767414075,0.012835621541732678,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,cocooning_adjunct,1,0.0,0.0,0.0,0.3828125,0.1484375,3.78125,4.0,376.7248116214022,12.260878261664413,948.848721237901,0.0734883501894098,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Brazil,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.03125,0.0078125,5.2890625,5.0,452.8737972101364,16.349717643377122,940.7178569549803,0.010796416299127587,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,maternal_immunization,1,0.5234375,0.5234375,0.8984375,0.9921875,0.9765625,1.5859375,1.0,571.7245803413588,230.79563104635506,962.8660843240012,0.05977758808749717,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,timeliness_only,1,0.4453125,0.4453125,0.515625,0.6328125,0.84375,2.71875,2.0,571.7859769057919,249.3134912699205,912.3991626422601,0.05063860298277323,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,targeted_pep_high_risk,1,0.0234375,0.0234375,0.046875,0.2734375,0.90625,4.0390625,4.0,602.280880847403,231.39429147310761,987.9570968767034,0.022503840435163902,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,adolescent_booster,1,0.0078125,0.0078125,0.03125,0.09375,0.8671875,5.21875,6.0,595.9134407121612,251.63911474837616,995.9607713391118,-0.0002592090523673152,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,cocooning_adjunct,1,0.0,0.0,0.4140625,0.578125,0.9609375,3.3984375,3.0,584.4312995253255,234.55722807329983,990.2462223248049,0.04105564549696927,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
China,pregnancy_tdap_scaleup,1,0.0,0.0,0.09375,0.4296875,0.8125,4.0390625,4.0,594.6784776271409,248.5928350026096,967.7278508150372,0.022084123079083973,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,timeliness_only,1,0.734375,0.734375,0.8515625,0.9453125,0.9765625,1.484375,1.0,1036.4698687458085,538.4155993293284,1326.1602476265064,0.07591965305260445,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,maternal_immunization,1,0.21875,0.21875,0.7109375,0.96875,0.890625,2.109375,2.0,1093.0433764516388,509.9793287798044,1439.3420394148695,0.040360516991686746,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,targeted_pep_high_risk,1,0.03125,0.03125,0.0703125,0.125,0.703125,4.28125,4.0,1113.522560050637,550.3764449343009,1494.654922824222,0.012683632952981527,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,pregnancy_tdap_scaleup,1,0.015625,0.015625,0.2421875,0.734375,0.84375,3.125,3.0,1098.8477945125474,546.6642807892979,1447.9867734635523,0.0297609459621333,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,cocooning_adjunct,1,0.0,0.0,0.125,0.21875,0.640625,4.4453125,5.0,1129.2446419431103,520.5704669594228,1495.1185241165952,0.009657454758202011,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
Japan,adolescent_booster,1,0.0,0.0,0.0,0.0078125,0.5546875,5.5546875,6.0,1127.2109945420975,558.9116014327675,1505.391652140794,-0.0002850493507376983,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
New_Zealand,timeliness_only,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1225.5853417720648,789.9964993784308,1424.0574079268852,0.17564126557550103,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
New_Zealand,maternal_immunization,1,0.0,0.0,0.6328125,0.9609375,0.0,2.40625,2.0,1440.0311887098642,1002.8909302624027,1683.6695185231022,0.026070143282325264,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
New_Zealand,pregnancy_tdap_scaleup,1,0.0,0.0,0.2265625,0.7734375,0.0,3.046875,3.0,1442.9844425968085,1023.2092173907299,1687.6304630613442,0.020806488861708383,128,128,Selected-input deterministic design-frequency summary across prespecified settings.
