country,parameter,diagnostic_method,rhat,rhat_rank,bulk_ess,tail_ess,smc_particle_count,smc_stage_count,smc_final_temperature,smc_min_ess,smc_final_ess,smc_min_ess_fraction,smc_final_ess_fraction,smc_max_weight,smc_final_max_weight,smc_combined_particle_count,smc_combined_particle_ess,smc_combined_particle_ess_fraction,smc_combined_max_weight,smc_island_count,smc_island_ess,smc_island_ess_fraction,smc_max_island_weight,smc_log_evidence_sd,smc_log_evidence_range,smc_recommended_island_ess_floor,smc_unique_ancestor_fraction,smc_unique_particle_fraction,smc_move_acceptance_fraction,smc_reached_final_temperature,smc_fatal_ess_floor,smc_recommended_ess_floor,n_chains,total_draws,converged,recommended_converged,mean,sd
Australia,VE_sus,tempered_smc_rank_and_particle_quality,1.0158973227208798,0.999416403566785,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.040962822267091886,0.017969753121747683
Australia,VE_inf,tempered_smc_rank_and_particle_quality,1.0101034465427463,0.9985569424931543,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.07665144853763875,0.02579232118177028
Australia,VE_dur,tempered_smc_rank_and_particle_quality,1.0181792821365816,1.0039605624562649,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.030256136534094993,0.027192308486343346
Australia,relative_infectiousness_asymptomatic,tempered_smc_rank_and_particle_quality,1.0471695170606514,1.01581781616537,113.66091453459994,88.37499358078354,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.7014118633461189,0.06548693343934806
Australia,infectious_duration_symptomatic,tempered_smc_rank_and_particle_quality,1.0094242456807805,1.0083589575397562,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,23.578442017522352,1.467712248711005
Australia,infectious_duration_asymptomatic,tempered_smc_rank_and_particle_quality,1.002097405594031,1.0033371323933904,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,25.896109005943245,0.608942042958843
Australia,fitness_R,tempered_smc_rank_and_particle_quality,1.0150895410523464,1.0076865214011677,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.9061476625382985,0.009267905655492297
Australia,beta_S,tempered_smc_rank_and_particle_quality,1.0354749062082076,1.0041333440845581,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.06314060417601458,0.006273720005589986
Australia,reporting_multiplier,tempered_smc_rank_and_particle_quality,1.0214808229757553,1.0069485313127688,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.937891080254554,0.04669109680947832
Australia,log_beta_process_2021,tempered_smc_rank_and_particle_quality,0.998609401088468,0.9965863705308015,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.04312425601402041,0.060795466795209
Australia,log_beta_process_2022,tempered_smc_rank_and_particle_quality,1.0405888049654,1.0084114542983438,91.87574980328625,100.36593154670794,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.7597244368461018,0.13300511214298105
Australia,log_beta_process_2023,tempered_smc_rank_and_particle_quality,1.0357988607973212,1.0121856726488856,111.14330929820427,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.5814501080080494,0.06833752570052899
Australia,log_beta_process_2024,tempered_smc_rank_and_particle_quality,1.0459082465520162,1.0233023800213428,77.41901865227277,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.5728004080605631,0.1494989933070012
Australia,log_beta_process_2025,tempered_smc_rank_and_particle_quality,1.038354622328939,1.0028330150394344,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.3266142519167716,0.1649551245437395
Australia,log_beta_process_2026,tempered_smc_rank_and_particle_quality,1.0436246556616522,1.0121080730512069,107.0217468623615,72.33484046219608,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.36585675328229256,0.2811445945020042
Australia,log_beta_process_2027,tempered_smc_rank_and_particle_quality,0.9972608267584956,0.9971811191921425,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.1987480214205622,0.63654861698822
Australia,log_beta_process_2028,tempered_smc_rank_and_particle_quality,0.9978999357718715,0.9981910074826561,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.12437065535330286,0.6821067362851929
Australia,log_beta_process_2029,tempered_smc_rank_and_particle_quality,0.9975528073848472,0.9980277117626354,128.0,85.35356404430493,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.06206692922390229,0.7101820206991981
Australia,log_beta_process_2030,tempered_smc_rank_and_particle_quality,0.997169974829509,0.9970526709516752,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.026694486410730578,0.6873564787656118
Australia,log_beta_process_2031,tempered_smc_rank_and_particle_quality,1.0081448489391176,1.0080558984798824,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.023712522136201904,0.6762184875382038
Australia,log_beta_process_2032,tempered_smc_rank_and_particle_quality,1.0015195780702824,1.0013719555075118,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.06838115193426314,0.6980511393012916
Australia,log_beta_process_2033,tempered_smc_rank_and_particle_quality,1.0022755000190087,1.0015206034663742,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.011803351403282815,0.7064048386548045
Australia,log_beta_process_2034,tempered_smc_rank_and_particle_quality,0.9940114649532396,0.993912897040388,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.030365640071880595,0.6845005542355437
Australia,log_beta_process_2035,tempered_smc_rank_and_particle_quality,0.9988931665678701,0.9990450687394422,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.06005005351324007,0.6668773268038773
Australia,log_beta_process_2036,tempered_smc_rank_and_particle_quality,0.9981845048840498,0.9982084622315935,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.0309179759139355,0.6943508041802849
Australia,log_beta_process_2037,tempered_smc_rank_and_particle_quality,1.0014884944820048,1.002124825646385,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.0016910725331607881,0.7242227590099166
Australia,log_beta_process_2038,tempered_smc_rank_and_particle_quality,1.003153910477452,1.0033325024092654,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.020921450766972563,0.6598463849823545
Australia,log_beta_process_2039,tempered_smc_rank_and_particle_quality,1.0043497116763518,1.0041695125961496,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.0245014010248432,0.6935309056978791
Australia,log_beta_process_2040,tempered_smc_rank_and_particle_quality,1.0058691100316721,1.0058414504626054,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.04380285318406145,0.7104460215125137
Australia,log_beta_process_2041,tempered_smc_rank_and_particle_quality,1.0008288158431855,1.0012633056195157,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.010617411286352662,0.7349741075582596
Australia,log_beta_process_2042,tempered_smc_rank_and_particle_quality,1.0102557851510334,1.0102469066166484,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.003888734910886465,0.6796818864576882
Australia,log_beta_process_2043,tempered_smc_rank_and_particle_quality,1.0035984883301676,1.0041579000272174,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.0050233655601131,0.695101461829607
Australia,log_beta_process_2044,tempered_smc_rank_and_particle_quality,0.9974800815284152,0.9975620560878251,128.0,115.78841907191755,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.017741629721030727,0.6781573692791639
Australia,log_beta_process_2045,tempered_smc_rank_and_particle_quality,0.9967499064864692,0.9966564655086355,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.0700059623074791,0.7095693677230287
Australia,log_beta_process_2046,tempered_smc_rank_and_particle_quality,0.9968704343976568,0.9967495867206602,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.010059515699856377,0.6921260583432849
Australia,log_beta_process_2047,tempered_smc_rank_and_particle_quality,1.004775141438454,1.004946452936258,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.0003001515469693312,0.7119337066961257
Australia,log_beta_process_2048,tempered_smc_rank_and_particle_quality,0.9990414060258569,0.9992054585609386,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.0403388818029804,0.6897938583499564
Australia,log_beta_process_2049,tempered_smc_rank_and_particle_quality,0.9965385596698823,0.9964104989283395,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,-0.009166124178455025,0.7145504950665535
Australia,log_beta_process_2050,tempered_smc_rank_and_particle_quality,0.997583935891766,0.9977876852936972,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.06830237564496551,0.6887218342287671
China,VE_sus,tempered_smc_rank_and_particle_quality,1.0158973227208798,0.999416403566785,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.040962822267091886,0.017969753121747683
China,VE_inf,tempered_smc_rank_and_particle_quality,1.0101034465427463,0.9985569424931543,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.07665144853763875,0.02579232118177028
China,VE_dur,tempered_smc_rank_and_particle_quality,1.0181792821365816,1.0039605624562649,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.030256136534094993,0.027192308486343346
China,relative_infectiousness_asymptomatic,tempered_smc_rank_and_particle_quality,1.0471695170606514,1.01581781616537,113.66091453459994,88.37499358078354,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.7014118633461189,0.06548693343934806
China,infectious_duration_symptomatic,tempered_smc_rank_and_particle_quality,1.0094242456807805,1.0083589575397562,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,23.578442017522352,1.467712248711005
China,infectious_duration_asymptomatic,tempered_smc_rank_and_particle_quality,1.002097405594031,1.0033371323933904,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,25.896109005943245,0.608942042958843
China,fitness_R,tempered_smc_rank_and_particle_quality,1.0150895410523464,1.0076865214011677,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.9061476625382985,0.009267905655492297
China,beta_S,tempered_smc_rank_and_particle_quality,1.0214456994562435,0.9935445490929149,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.010524731363757919,0.004008078868179532
China,reporting_multiplier,tempered_smc_rank_and_particle_quality,1.0115425418364052,1.0096501625959564,128.0,128.0,128,8,1.0,128.0,128.0,1.0,1.0,0.0078125,0.0078125,128,128.0,1.0,0.0078125,1,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.02490234375,True,100.0,400.0,4,512,False,False,0.729965762934629,0.09299799701948681
