analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_child_1_9_cases,total_adolescent_cases,total_child_adolescent_cases,total_child_adolescent_infections,total_child_adolescent_reported_cases,total_deaths,total_infant_deaths,total_child_adolescent_deaths,total_child_adolescent_hospitalizations,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,child_1_9_population,adolescent_population,child_adolescent_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_child_1_9_cases_per_100k,annualized_adolescent_cases_per_100k,annualized_child_adolescent_cases_per_100k,annualized_child_adolescent_infections_per_100k,annualized_child_adolescent_reported_cases_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,annualized_child_adolescent_deaths_per_million,annualized_child_adolescent_hospitalizations_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_FOI_reduction_case_proxy,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_dose_count,routine_scheduler_code,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_overlay_mode,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,npi_contact_reduction_country,npi_contact_reduction_iso3,npi_contact_reduction_periods_loaded,npi_contact_reduction_reduction_column,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_configured_anchor_year,resistance_timeline_applied,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,prospective_policy,policy_start_time,simulation_phase,contact_reciprocity_error_before,contact_reciprocity_error_after,country,strategy,infant_contact_multiplier,target_ages,source_ages,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,contact_matrix_directional_intervention,contact_matrix_reciprocity_correction_after_intervention
infant_contact_sensitivity,current_infant_contact_x0.75,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,179668.29419854464,532285.5552004727,20567.156308135756,21092.014449879476,28997.0836862414,38834.736960974114,13190.095022850046,73116.84643370364,169763.569496185,17109.917730818874,87.42051831709477,86.7602806189812,86.83120633110923,7148.845788540581,33671.032113151625,0.0632574598055178,0.043,0.051277894042510264,27785451.40793672,288908.120760834,2837781.243531525,2617463.1937280865,5744152.558020446,4.999418194761015,383.1843448555744,14.805985694101729,1460.2891029055186,2007.5903808846322,273.72974168511337,100.79706218104793,254.60798486130844,591.1518677364945,59.58027304332005,0.6293271292258609,6.006780085135351,3.0236422309441173,24.893759907368743,18102.702469927895,24871.078633173747,30676.09811763554,30676.09811763554,13780.596159740206,0.0,150.0,1,,0.8092432896503429,0.3375411796228001,2.9626014850024904,0.7233383287051196,0.5631330347944127,0.004229875997280816,0.02365751746639074,0.03351625894327862,0.6619346762981693,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,0.2500045019799314,1.2579168143644376e-16,Australia,current,0.75,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.26930420221166385,0.7306957977883362,0.25,calibrated_country_scenario_analysis,,
infant_contact_sensitivity,current_infant_contact_x1.00,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,182068.8699597121,541787.1387300168,21244.443076048738,22336.536682254355,32241.911346799177,39422.63369964877,13231.395551953241,74990.56593385637,176088.28479454629,17769.883650124688,92.89503814281467,92.23127269655326,92.30360234389286,7570.777463820338,34445.440056217834,0.0635774413858552,0.043,0.053752086779045596,27785451.402734786,288908.1207169838,2837781.242812575,2617463.192338805,5744152.555868365,4.999418194761015,390.0243916371461,15.29355422837915,1546.452625291204,2232.243483219869,277.8735788201655,101.11267573051812,261.132663872392,613.1758350200739,61.87841092374723,0.6687373720736395,6.385559938163986,3.214202381982103,26.36301329498196,18314.774903607627,25355.222663077002,31505.197404650666,31505.197404650666,13942.035288663465,0.0,150.0,1,,0.8075822720380345,0.3360524031384226,2.9757263767820525,0.7231047510303812,0.5602804028722338,0.004643917059080589,0.02435982038563206,0.03449849552131446,0.6596025180643541,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,1.0,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.2781725246496221,0.721827475350378,0.25,calibrated_country_scenario_analysis,,
infant_contact_sensitivity,current_infant_contact_x1.25,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,184547.28879881772,551658.9732541906,21932.04819336466,23584.831108019633,35495.88280637385,40048.08839318842,13275.781885343782,76908.70138655184,182594.57739131755,18439.06706557658,98.40684002956912,97.73937024288013,97.81318948688786,7995.242407143907,35268.87221221042,0.06393238200071734,0.043,0.05750214951974762,27785451.40812227,288908.12071339134,2837781.24421038,2617463.1932503115,5744152.558174084,4.999418194761015,397.13097637804634,15.788550780969484,1632.8773123309038,2457.5296490453134,282.2821459881123,101.45187052292695,267.81200821566205,635.8320915428908,64.20864598448189,0.7084160026019142,6.766908758436735,3.406057602611275,27.841088025478548,18526.87014603757,25846.907916298267,32351.326729331326,32351.326729331326,14103.491785953918,0.0,150.0,1,,0.8059794827646768,0.33453147278687145,2.989255365629217,0.7229430484832781,0.5575364523442975,0.005046173738469467,0.025046432447271904,0.035460307380692405,0.6573901349168442,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,0.20001261539429227,1.2579168143644376e-16,Australia,current,1.25,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.28717595437372134,0.7128240456262787,0.25,calibrated_country_scenario_analysis,,
infant_contact_sensitivity,current_infant_contact_x1.50,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,187108.29187956033,561918.3043829976,22631.24905232075,24839.408471335133,38764.39843765831,40711.904942720204,13323.454424848496,78874.76783890383,189292.42864900106,19118.705068030707,103.96610660502738,103.29474947013308,103.37014511272774,8423.057136383175,36146.5617513608,0.06432707649744701,0.043,0.06343119107438397,27785451.408180214,288908.120746609,2837781.243781627,2617463.1936184177,5744152.558146655,4.999418194761015,404.5165141563399,16.291894936045725,1719.736993414726,2683.8227688731167,286.96110993867285,101.81617811377222,274.658258321281,659.1553951997347,66.57528610503914,0.7484363243950702,7.151531087960154,3.599562293110954,29.330827414221027,18738.985728220596,26346.90088358268,33214.895066156314,33214.895066156314,14264.963764111122,0.0,150.0,1,,0.8044325285139141,0.3329813078166418,3.0031715790805174,0.7228485439622504,0.5548973719079682,0.005436961750384259,0.02571762521174909,0.03640189911222771,0.6552920578878896,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,0.33334384616191026,1.379605231181509e-16,Australia,current,1.5,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.2963312175842424,0.7036687824157576,0.25,calibrated_country_scenario_analysis,,
infant_contact_sensitivity,maternal_immunization_infant_contact_x0.75,symptom_protective,country_timeline,maternal_immunization,2027-01-01,2032-01-01,2027,2032,177272.93235015846,528662.8852440307,19465.480033900516,18641.486334954738,24039.22537300126,38896.69001104939,13196.098117076537,70734.27446308066,165721.26001798408,16008.661974818991,70.6774538265267,70.01820496291178,70.08922814245486,6118.425071672158,33328.44916685842,0.06304291467609649,0.043,0.050317743826098056,27785451.40819818,288908.1207446513,2837781.2438127035,2617463.1936000003,5744152.5581573555,4.999418194761015,380.5764393765865,14.012905556323128,1290.6287079931753,1664.3369432477555,274.1664226739865,100.84293708384948,246.31137637441702,577.07570989277,55.745472684370924,0.5087963326399665,4.8476555883763215,2.440651916462267,21.3056218090411,18090.823581394834,24206.02844263811,29897.583697143607,29897.583697143607,13771.55341246937,0.0,150.0,1,,0.812753985474027,0.3353232036864651,2.982197441173868,0.7283234344525997,0.5681315054329306,0.004670016123197052,0.023231489213479686,0.032940386946084144,0.6674815421698389,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,maternal_immunization,0.75,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.2548789678363891,0.7451210321636109,0.25,calibrated_country_scenario_analysis,True,False
infant_contact_sensitivity,maternal_immunization_infant_contact_x1.00,symptom_protective,country_timeline,maternal_immunization,2027-01-01,2032-01-01,2027,2032,180011.2000350933,537461.5517029801,20425.866843525317,20688.948692645183,29786.799536871586,39228.6507484391,13217.901369034593,73135.50081011887,172798.54512318308,16957.973092021624,78.04233700226413,77.38023804891384,77.45209596646194,6747.621151820373,34043.62460715745,0.06334150693996272,0.043,0.05239529819943329,27785451.406847633,288908.12078662694,2837781.2429149607,2617463.1938136676,5744152.557515255,4.999418194761015,386.9104667040499,14.70427353960869,1432.383160723491,2062.2657391783628,276.50627450237965,101.0095548095676,254.67294328138908,601.7202807637605,59.05117038364785,0.5618150160982638,5.35736018299672,2.6970422058506456,23.49661272359937,18266.416489815158,24879.24182263023,30885.439418272785,30885.439418272785,13905.22267821916,0.0,150.0,1,,0.8098234486986005,0.33492851621612135,2.985711731260064,0.7265038670822666,0.56273843345535,0.005776716586128455,0.024209085219299032,0.03429073357947166,0.6622273316973675,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,maternal_immunization,1.0,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.26745417269070537,0.7325458273092946,0.25,calibrated_country_scenario_analysis,True,False
infant_contact_sensitivity,maternal_immunization_infant_contact_x1.25,symptom_protective,country_timeline,maternal_immunization,2027-01-01,2032-01-01,2027,2032,182656.63415506834,546027.2562173039,21352.36923602777,22662.49249249142,35384.577237656486,39549.81239659963,13239.318642948116,75451.62353203916,179683.8911031227,17873.65436585611,85.16957766467304,84.5047040857174,84.57736712299213,7355.628691050801,34744.99868714549,0.06363235221598156,0.043,0.05519063525997703,27785451.40811715,288908.1207153418,2837781.2441830304,2617463.1932704323,5744152.558168804,4.999418194761015,393.0767882039456,15.371248640566579,1569.0199205635136,2449.8234951427335,278.7700078774759,101.17322296840662,262.7381617029803,625.6964797586651,62.23976199803538,0.6131229468844095,5.850617011158211,2.945158887155953,25.613820750135897,18442.00517770679,25531.10135385578,31844.679367058896,31844.679367058896,14038.88873242238,0.0,150.0,1,,0.8070584372613716,0.334519260852385,2.9893644911563855,0.724779776726395,0.5576474213169521,0.006852253193068398,0.025116395169415016,0.03554749936039751,0.6572636290035141,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,maternal_immunization,1.25,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.27958569849179155,0.7204143015082085,0.25,calibrated_country_scenario_analysis,True,False
infant_contact_sensitivity,maternal_immunization_infant_contact_x1.50,symptom_protective,country_timeline,maternal_immunization,2027-01-01,2032-01-01,2027,2032,185212.04760456752,554369.3486091599,22246.08025774189,24564.444178468024,40837.604753610714,39860.758036285755,13260.352637121934,77685.55485187571,186385.41945589092,18756.80180492364,92.06601163261037,91.39843848467783,91.47187856549291,7943.090827659001,35433.511411637635,0.06391679392184231,0.043,0.05897223523976647,27785451.408139423,288908.12072875944,2837781.2440095823,2617463.1934189205,5744152.558157261,4.999418194761015,399.0821347260827,16.014617728814137,1700.7000560316396,2827.3595847750685,280.96173304255905,101.333962124533,270.51717268922306,649.0325878194475,65.31506407638855,0.6627693351055416,6.327899313445412,3.1852400381628514,27.659485437274085,18617.59088726831,26162.293731825524,32776.3752748769,32776.3752748769,14172.552518761997,0.0,150.0,1,,0.8044452943099013,0.33409503622312503,2.9931603034417757,0.7231441946491658,0.5528339120324938,0.007898972005721898,0.02595951663654274,0.036718716494345556,0.6525669895125554,,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,maternal_immunization,1.5,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",54.978665659530755,0.29128785751165176,0.7087121424883482,0.25,calibrated_country_scenario_analysis,True,False
infant_contact_sensitivity,current_infant_contact_x0.75,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,3718063.4787793504,13044771.733177697,649885.7923254843,190999.4534478961,253068.28348150206,372601.2555145467,232824.62704570056,796425.3360081434,2303636.309230417,405622.4071537841,1072.2245704079166,1058.187472183022,1058.7060297010364,74384.06358948952,13017448.171627108,0.9979054013278672,0.997,0.997035694660482,1396459581.7643118,8001977.144399481,88597358.25810803,133092916.29000095,229692251.6925085,4.999418194761015,186.8480833028809,9.308703681870453,477.4362072866847,632.5879957709941,84.12093185600474,34.99085126494261,69.35523630512446,200.60793317869374,35.32288166497563,0.1535811510916877,2.6451228220669614,0.9219546836067092,6.477599436303846,8056.047347928677,459396.2676249428,72159.20301141276,72159.20301141276,308217.6578126568,0.0,180.0,1,,0.8182253031799406,0.28502326869568245,3.5084854811194157,0.5333501251908114,0.4430665403129029,7.922345258763604e-05,0.006706795344281969,0.009522931113957123,0.5170411752799846,,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,60.94514257549577,56.10620773765417,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,0.25001507958400315,1.6667804836994706e-16,China,current,0.75,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",4.146450779474111,2.244981112027348,1.244981112027348,0.25,calibrated_country_scenario_analysis,,
infant_contact_sensitivity,current_infant_contact_x1.00,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,3745693.722307532,13154097.815568054,666618.4801111263,205022.61686424393,284096.3773679596,376216.96025416313,233510.35824327602,814749.9353616831,2355829.1142234495,421572.0249201058,1149.8077265656775,1135.7333898841523,1136.2595165728474,79670.95712658731,13126604.647660024,0.9979099161118073,0.997,0.997038301407169,1396459581.915083,8001977.128358906,88597357.10352392,133092917.56468752,229692251.79657033,4.999418194761015,188.41402628004576,9.54837599594039,512.4895335188841,710.148090676832,84.93723845706499,35.093908404524846,70.95100032128575,205.1530475617183,36.71182479109184,0.16469385148843046,2.8389622768738563,0.9894907115228659,6.937998837859721,8088.6255066757085,464279.454456932,73175.6581466788,73175.6581466788,309464.071049864,0.0,180.0,1,,0.8174121241088073,0.28475489348075644,3.511792151405396,0.5335580765786236,0.44248614092279337,8.828453454873776e-05,0.006933602759421197,0.009835704771790904,0.5167004845128629,,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,60.94514257549577,56.10620773765417,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,2.010611200412732e-05,1.6667804836994706e-16,China,current,1.0,"infant_0_2m,infant_3_11m","child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y",4.146450779474111,2.3027829109191544,1.3027829109191544,0.25,calibrated_country_scenario_analysis,,
