country,fitness_R,fitness_label,annualized_reported_cases_per_100k,annualized_reported_cases_per_100k_ratio_vs_neutral,annualized_infant_cases_per_100k,annualized_infant_cases_per_100k_ratio_vs_neutral,resistant_infections,resistant_infections_ratio_vs_neutral,resistant_fraction_end,resistant_fraction_end_ratio_vs_neutral
Australia,0.85,moderate_cost,42.70383204583903,0.8606473071303112,3281.2569899260825,0.8071243251636853,8965437.417322516,0.6611043032758851,0.9988178819909072,0.9994073100559365
Australia,0.9,mild_cost,46.63974284695357,0.9399711258557176,3692.9590187558715,0.9083948819070171,11590102.847025072,0.8546450675985714,0.9992183978073591,0.9998080622270502
Australia,0.95,near_neutral,46.26570004363573,0.9324327173334703,3718.7135314876573,0.9147299826846708,12722363.037382402,0.938137043442038,0.9992123236585505,0.9998019844937306
Australia,1.0,neutral,49.61827184265297,1.0,4065.3674875436836,1.0,13561305.489764985,1.0,0.9994102223797059,1.0
Australia,1.05,mild_advantage,53.15049427522373,1.0711879374552173,4510.997015354708,1.109616050498863,14597889.501239868,1.076436889667976,0.9998759878843462,1.0004660403648176
Australia,1.1,moderate_advantage,55.90395741368895,1.1266808644801019,4816.153449680815,1.1846784981769902,15107824.985516272,1.114039131182354,0.9998940978206047,1.0004841609882142
Australia,1.15,strong_advantage,58.49421971891111,1.1788846637868629,5214.718242404732,1.282717554657154,15277453.717364501,1.1265474204452315,0.9998235086421353,1.000413530153259
China,0.85,moderate_cost,44.65127139405638,1.8412626278816382,1345.3024350466005,1.589067657312708,378756460.2671251,1.9160152727283406,0.9954230133130693,0.9954734679864249
China,0.9,mild_cost,32.976135120103365,1.3598207467101096,1072.444366925872,1.2667684331442346,281673995.03222156,1.4249042142581951,0.999919448000708,0.9999701305833447
China,0.95,near_neutral,25.874350156093776,1.0669679154865128,880.7716300186112,1.040365106224377,215547092.80846164,1.0903880597097553,0.9999293015066595,0.9999799845887376
China,1.0,neutral,24.250354467590213,1.0,846.5985880813017,1.0,197679249.04261792,1.0,0.9999493159034588,1.0
China,1.05,mild_advantage,24.75606414065253,1.0208537023134314,891.0813825279948,1.0525429584609953,197378754.3036661,0.998479887290107,0.999974583551912,1.000025268929186
China,1.1,moderate_advantage,25.69067765873707,1.0593939025951888,950.0357661245936,1.1221797195264853,200572696.7521205,1.0146370836772998,0.9999915158837567,1.000042202119274
China,1.15,strong_advantage,28.281887457393324,1.1662463530251124,1065.5124635696639,1.2585804873411142,217173498.33292195,1.09861555719539,0.9999984098988934,1.0000490964838455
United_Kingdom,0.85,moderate_cost,14.889296870798074,0.8641604867990149,2009.4483548060173,0.7981726544943559,19113453.279546976,0.5413483887268922,0.9984785978989151,0.9986418679221108
United_Kingdom,0.9,mild_cost,15.542256684561643,0.9020576471161545,2203.886585711923,0.875405432597944,25041998.21833811,0.7092619626462578,0.9991864196570952,0.9993498054224561
United_Kingdom,0.95,near_neutral,17.79095709013395,1.0325700584144828,2533.247837262828,1.0062309618080973,33485562.84623093,0.9484081828278523,0.9991642300905519,0.9993276122275015
United_Kingdom,1.0,neutral,17.22978208127792,1.0,2517.561010755257,1.0,35307121.398286134,1.0,0.9998365079329836,1.0
United_Kingdom,1.05,mild_advantage,18.384661965255543,1.0670281190168114,2788.5016871817097,1.1076203020578126,37155723.9144774,1.0523577806113924,0.9994715751345618,0.9996350075282044
United_Kingdom,1.1,moderate_advantage,19.134287418368917,1.1105356601788048,2964.447854464957,1.1775078505746464,38069643.628391996,1.0782426354995895,0.999374581215734,0.9995379977490474
United_Kingdom,1.15,strong_advantage,19.950918065713743,1.1579321184446458,3179.019674551227,1.2627378883650313,38981641.75952491,1.1040730655945559,0.9980966596241265,0.9982598671932335
Japan,0.85,moderate_cost,25.729665506700595,0.8429231169187513,2698.8678438186685,0.7938479892415613,43015413.90361415,0.7097587582328724,0.999325058354409,1.000072338122686
Japan,0.9,mild_cost,27.538368900061933,0.9021775950431024,2944.159792359921,0.8659984357973658,54022261.26787077,0.8913728729969097,0.9995425128606938,1.0002899552380755
Japan,0.95,near_neutral,28.93817391728584,0.948036256046278,3171.143755914091,0.9327637512870649,57371068.881694704,0.9466285434148285,0.9996565400698755,1.0004040677150343
Japan,1.0,neutral,30.524332516533246,1.0,3399.7287646935456,1.0,60605682.430340305,1.0,0.9992527742846286,1.0
Japan,1.05,mild_advantage,34.064863971306664,1.115990462784263,3812.0003912080583,1.1212660347484147,67236202.99755351,1.1094042720306676,0.9995301661699969,1.0002775993147148
Japan,1.1,moderate_advantage,33.98527329708642,1.1133830126728763,3921.080510504206,1.1533509823562809,65346104.37618163,1.0782174501754012,0.9994628388563369,1.0002102216547346
Japan,1.15,strong_advantage,32.6120384898145,1.0683948116523259,3960.8412876346583,1.1650462615630726,60290844.36824985,0.994805139560101,0.999635853978425,1.0003833661548458
New_Zealand,0.85,moderate_cost,64.95804983783434,0.9445984829356608,4066.0068940757847,0.8601554110481143,2428703.1136386604,0.7346958217266881,0.9981569629177957,0.9991792371122146
New_Zealand,0.9,mild_cost,71.3323884873619,1.0372920079582497,4686.085926123614,0.9913318572736568,2930264.716663406,0.8864209181419286,0.9994382518115486,1.0004618382530592
New_Zealand,0.95,near_neutral,66.71533071732595,0.9701522804558076,4479.448654389033,0.9476181666585012,3133285.494256441,0.9478358009177151,0.9988714091493848,0.9998944150523155
New_Zealand,1.0,neutral,68.76789557818802,1.0,4727.060763497709,1.0,3305726.045822205,1.0,0.9989768860716387,1.0
New_Zealand,1.05,mild_advantage,70.71422650769321,1.028302900839713,4975.858260199154,1.0526325996531831,3368029.0904890597,1.018847007829216,0.9991409584990634,1.000164240464131
New_Zealand,1.1,moderate_advantage,71.96706736368367,1.0465212983267496,5107.866841747004,1.0805587440698614,3362224.3047977434,1.0170910287762476,0.9991793621306039,1.0002026834272026
New_Zealand,1.15,strong_advantage,81.96839599849874,1.1919573124831477,5861.098158664898,1.239903282801907,3817441.29830124,1.1547966302669708,0.9997866644447493,1.0008106077171564
Sweden,0.85,moderate_cost,15.491849334659056,1.2356470312751149,437.74482549536356,1.036588438239344,32536.613823536834,0.1920637622321704,0.01225476740073865,0.012383104006616368
Sweden,0.9,mild_cost,18.73802710984021,1.4945657597138153,530.7964438991878,1.2569365181685839,1367635.8299801135,8.073159803724902,0.9984031702948448,1.0088588297115606
Sweden,0.95,near_neutral,23.792518350108768,1.8977175694639306,678.3565124021169,1.606361690203112,965116.2091265805,5.697084863269018,0.9980154961089637,1.0084670956535027
Sweden,1.0,neutral,12.537439044119566,1.0,422.2937564679745,1.0,169405.27169412596,1.0,0.9896361521465743,1.0
Sweden,1.05,mild_advantage,24.257206258333763,1.9347815907995276,784.2595752251094,1.8571422456836284,1853975.6296068672,10.944025596525476,0.9998281621894357,1.0102987446656575
Sweden,1.1,moderate_advantage,20.331637749602244,1.6216739062941559,681.1292506991256,1.6129275895434187,1786796.888811959,10.547469219483062,0.9998842259681565,1.010355395565687
Sweden,1.15,strong_advantage,21.835997173450043,1.7416632772138405,752.9985669779762,1.7831155574640407,2002452.3436725354,11.820484236689603,0.9991545065655316,1.009618034262705
United_States,0.85,moderate_cost,32.060788113396306,0.7938095604604151,1024.8563360020933,0.7389910381521595,86996729.66406313,0.4930425921828569,0.9982219469863113,1.009507228995902
United_States,0.9,mild_cost,35.040934448446755,0.8675965379971788,1145.3398084161993,0.8258678063700373,125604247.73116365,0.7118456536203815,0.9942436102622233,1.005483915649134
United_States,0.95,near_neutral,39.461973943682324,0.9770593311786316,1313.3312215689864,0.9470010271399901,167144505.3695153,0.9472696331773627,0.9581917173342621,0.9690244422428034
