country,strategy,rank,rank_acceptability_probability,probability_rank_1,probability_top_2,probability_top_3,probability_within_10_percent_of_best,mean_rank,median_rank,median_infant_cases_per_100k,q025_infant_cases_per_100k,q975_infant_cases_per_100k,median_relative_reduction_vs_current,n_psa_samples,n_rank_observations
All_countries_pooled,combined_strategy,1,0.77421875,0.77421875,1.0,1.0,0.86015625,1.22578125,1.0,338.8843541698378,0.1440635720713241,2895.871202106791,0.6826301394844051,128,1280
All_countries_pooled,next_generation_vaccine,1,0.225,0.225,0.97109375,0.9953125,0.34921875,1.81015625,2.0,491.6649377242603,0.16398854596107498,2710.019003260397,0.5909495314420283,128,1280
All_countries_pooled,timeliness_only,1,0.00078125,0.00078125,0.00859375,0.11640625,0.0015625,4.41171875,4.0,873.9019366471598,0.3122501756827011,3655.595184944561,0.29187721594697236,128,1280
All_countries_pooled,transmission_blocking_vaccine,1,0.0,0.0,0.01875,0.88203125,0.00625,3.171875,3.0,722.1657974166014,0.24237466451412457,3538.815530474416,0.43713187674225973,128,1280
All_countries_pooled,maternal_immunization,1,0.0,0.0,0.0015625,0.00625,0.0015625,4.8265625,5.0,948.5652919659516,0.31597016047505133,4646.651452778136,0.21363741266057729,128,1280
All_countries_pooled,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0,9.87734375,10.0,1220.180692506472,0.3936407037717911,5222.840195628164,5.4548857279623775e-05,128,1280
All_countries_pooled,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0,6.95234375,7.0,1074.7222134955887,0.36155061018420886,5164.66010163936,0.11435032584481036,128,1280
All_countries_pooled,current,1,0.0,0.0,0.0,0.0,0.0,10.50859375,11.0,1207.2964466420995,0.45983691008475586,5224.924106358485,0.0,128,1280
All_countries_pooled,higher_child_coverage,1,0.0,0.0,0.0,0.0,0.0,11.02265625,12.0,1204.1438616010146,0.4334989519496843,5267.979444324401,-0.0019492521898395454,128,1280
All_countries_pooled,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.0,0.0,7.19453125,7.0,1074.2142862434102,0.404200317337928,4732.513631535247,0.10358428231994932,128,1280
All_countries_pooled,resistance_guided_treatment,1,0.0,0.0,0.0,0.0,0.0,8.1875,9.0,1148.7243032694814,0.4162542709992071,5034.833068565769,0.05937657438583005,128,1280
All_countries_pooled,targeted_pep_high_risk,1,0.0,0.0,0.0,0.0,0.0,8.8109375,9.0,1137.2306634451688,0.45977450157676963,5193.970315082422,0.0387153390854682,128,1280
Australia,combined_strategy,1,0.65625,0.65625,1.0,1.0,0.90625,1.34375,1.0,1588.1707441554495,417.00083557669274,4331.518829039563,0.5424933729520417,128,128
Australia,next_generation_vaccine,1,0.34375,0.34375,0.984375,1.0,0.5703125,1.671875,2.0,1762.4559899595042,558.2933776022362,4191.025156267046,0.49763366351876503,128,128
Australia,transmission_blocking_vaccine,1,0.0,0.0,0.015625,0.7265625,0.015625,3.2578125,3.0,2214.5728020355405,832.8055638402582,5383.198372567808,0.3608023207509184,128,128
Australia,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0,10.40625,11.0,3463.788484677914,1231.449723237133,7138.233382894613,-3.694978508406166e-05,128,128
Australia,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0,8.0,8.0,3364.644012096115,1096.3196659179675,7035.873684004469,0.023308230724072454,128,128
Australia,current,1,0.0,0.0,0.0,0.0,0.0,10.234375,10.0,3464.138334220422,1230.7944129471912,7138.501406916869,0.0,128,128
Australia,higher_child_coverage,1,0.0,0.0,0.0,0.0,0.0,11.375,12.0,3468.8467084556487,1235.1868260593471,7144.202123578912,-0.0009169483693879377,128,128
Australia,maternal_immunization,1,0.0,0.0,0.0,0.0,0.0,5.265625,5.0,3052.247135375175,991.0888268715503,6359.209581718934,0.11490875324774569,128,128
Australia,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.0,0.0,6.484375,6.0,3132.3855142950556,1116.9302348283911,6457.371869284523,0.09394631824542621,128,128
Australia,resistance_guided_treatment,1,0.0,0.0,0.0,0.0,0.0,7.578125,7.0,3253.705072336533,1144.2972086814127,6885.46111205131,0.044495272320105306,128,128
Australia,targeted_pep_high_risk,1,0.0,0.0,0.0,0.0,0.0,8.65625,9.0,3379.769530960809,1193.444105663274,7342.847737444207,0.02634485810038334,128,128
Australia,timeliness_only,1,0.0,0.0,0.0,0.2734375,0.0,3.7265625,4.0,2364.439378362486,844.4393150354018,5230.276970134043,0.31370950927743607,128,128
Brazil,combined_strategy,1,0.875,0.875,1.0,1.0,0.9296875,1.125,1.0,3.3379903885811633,0.12027587671747741,1421.59149788429,0.7931110135969275,128,128
Brazil,next_generation_vaccine,1,0.125,0.125,0.96875,0.9921875,0.2421875,1.9140625,2.0,23.362189538465667,0.15254820021136958,1656.117592318758,0.7170815931329685,128,128
Brazil,transmission_blocking_vaccine,1,0.0,0.0,0.0234375,0.8984375,0.0078125,3.1875,3.0,185.96588476671104,0.19646347728688007,1801.4099342855548,0.4996251213040964,128,128
Brazil,maternal_immunization,1,0.0,0.0,0.0078125,0.0078125,0.0,4.7421875,5.0,406.79912637629894,0.2576964477707908,2192.9758653735744,0.2581284740219537,128,128
Brazil,adolescent_booster,1,0.0,0.0,0.0,0.0,0.0,9.1953125,9.0,556.6847434305678,0.3090551604865644,2411.9921276410796,0.022451914798373662,128,128
Brazil,cocooning_adjunct,1,0.0,0.0,0.0,0.0,0.0,6.25,6.0,446.17289482784054,0.28735696856747855,2405.454276670637,0.18571379670121685,128,128
Brazil,current,1,0.0,0.0,0.0,0.0,0.0,10.40625,11.0,567.6199010073703,0.34708858125531916,2519.3051891614964,0.0,128,128
Brazil,higher_child_coverage,1,0.0,0.0,0.0,0.0,0.0,11.453125,12.0,571.0365271127697,0.35226423634781084,2452.0554789133785,-0.007483596004516313,128,128
Brazil,pregnancy_tdap_scaleup,1,0.0,0.0,0.0,0.0,0.0,7.890625,8.0,517.8608312165768,0.31131337814715004,2290.7744249438233,0.08932252907301963,128,128
Brazil,resistance_guided_treatment,1,0.0,0.0,0.0,0.0,0.0,8.2890625,9.0,497.6521028263422,0.3209261766356432,2488.7557743918073,0.0672344886359933,128,128
Brazil,targeted_pep_high_risk,1,0.0,0.0,0.0,0.0,0.0,8.890625,9.0,549.9291789952097,0.34703245226702406,2523.0809039455967,0.039153418641267757,128,128
Brazil,timeliness_only,1,0.0,0.0,0.0,0.1015625,0.0,4.65625,4.0,405.41615577516745,0.23851204434566792,1753.8105600905276,0.2953835154905774,128,128
China,combined_strategy,1,0.9921875,0.9921875,1.0,1.0,1.0,1.0078125,1.0,167.58771653310623,0.19306994748620793,2035.7162573884286,0.7615579137759987,128,128
