country,parameter,posterior_draws,unique_values,mean,sd,coefficient_of_variation,q025,median,q975,varies_within_country,grid_override_in_fig3d,uncertainty_source
Brazil,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
Brazil,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
Brazil,resistance_prevalence,100,1,0.009999999999999998,1.7434626923745965e-18,1.7434626923745968e-16,0.01,0.01,0.01,False,False,conditional_beta_grid_posterior
Brazil,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
China,beta_S,100,86,0.009932673649054417,6.100800709854526e-06,0.0006142153588661717,0.009923703215629432,0.009931515750236607,0.009944530834937392,True,False,conditional_beta_grid_posterior
China,reporting_multiplier,100,1,1.02405731111436,4.463264492478967e-16,4.3584127997896193e-16,1.0240573111143596,1.0240573111143596,1.0240573111143596,False,False,conditional_beta_grid_posterior
China,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
China,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
China,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
China,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
China,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
China,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
China,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
China,resistance_prevalence,100,1,0.997,0.0,0.0,0.997,0.997,0.997,False,False,conditional_beta_grid_posterior
China,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
Japan,beta_S,100,85,0.013023870487426092,1.2456778562218445e-05,0.0009564574965825138,0.013000661126815256,0.013022824262136294,0.013049325101452826,True,False,conditional_beta_grid_posterior
Japan,reporting_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
Japan,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
Japan,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
Japan,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
Japan,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
Japan,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
Japan,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
Japan,fitness_R,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,True,conditional_beta_grid_posterior
Japan,resistance_prevalence,100,1,0.8269999999999998,1.1158161231197418e-16,1.3492335225148029e-16,0.827,0.827,0.827,False,False,conditional_beta_grid_posterior
Japan,reporting_trend_end_multiplier,100,1,1.0,0.0,0.0,1.0,1.0,1.0,False,False,conditional_beta_grid_posterior
New_Zealand,beta_S,100,85,0.020640308281743028,9.460137564564274e-06,0.00045833315255916257,0.020623222181395486,0.020639901159941028,0.020657292666152634,True,False,conditional_beta_grid_posterior
New_Zealand,reporting_multiplier,100,1,1.0237335841101947,2.2316322462394835e-16,2.1798955127365155e-16,1.0237335841101949,1.0237335841101949,1.0237335841101949,False,False,conditional_beta_grid_posterior
New_Zealand,VE_sus,100,1,0.15,0.0,0.0,0.15,0.15,0.15,False,False,conditional_beta_grid_posterior
New_Zealand,VE_inf,100,1,0.25,0.0,0.0,0.25,0.25,0.25,False,True,conditional_beta_grid_posterior
New_Zealand,VE_dur,100,1,0.0,0.0,,0.0,0.0,0.0,False,False,conditional_beta_grid_posterior
New_Zealand,relative_infectiousness_asymptomatic,100,1,0.3500000000000001,5.579080615598709e-17,1.594023033028202e-16,0.35000000000000003,0.35000000000000003,0.35000000000000003,False,False,conditional_beta_grid_posterior
New_Zealand,infectious_duration_symptomatic,100,1,21.0,0.0,0.0,21.0,21.0,21.0,False,False,conditional_beta_grid_posterior
New_Zealand,infectious_duration_asymptomatic,100,1,13.999999999999998,1.785305796991587e-15,1.275218426422562e-16,13.999999999999996,13.999999999999996,13.999999999999996,False,False,conditional_beta_grid_posterior
