analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_child_1_9_cases,total_adolescent_cases,total_child_adolescent_cases,total_child_adolescent_infections,total_child_adolescent_reported_cases,total_deaths,total_infant_deaths,total_child_adolescent_deaths,total_child_adolescent_hospitalizations,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,child_1_9_population,adolescent_population,child_adolescent_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_child_1_9_cases_per_100k,annualized_adolescent_cases_per_100k,annualized_child_adolescent_cases_per_100k,annualized_child_adolescent_infections_per_100k,annualized_child_adolescent_reported_cases_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,annualized_child_adolescent_deaths_per_million,annualized_child_adolescent_hospitalizations_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_FOI_reduction_case_proxy,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_dose_count,routine_scheduler_code,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_overlay_mode,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,npi_contact_reduction_country,npi_contact_reduction_iso3,npi_contact_reduction_periods_loaded,npi_contact_reduction_reduction_column,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_configured_anchor_year,resistance_timeline_applied,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,prospective_policy,policy_start_time,simulation_phase,contact_reciprocity_error_before,contact_reciprocity_error_after,country,strategy,figure2_reference_parent,common_current_practice_denominator,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,timeliness_definition,timeliness_grace_months,timeliness_recent_window_months,contact_matrix_directional_intervention,contact_matrix_reciprocity_correction_after_intervention,relative_reduction_infant_cases,relative_reduction_child_1_9_cases,relative_reduction_adolescent_cases,relative_reduction_child_adolescent_cases,relative_reduction_child_adolescent_infections,relative_reduction_child_adolescent_reported_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths,relative_reduction_child_adolescent_deaths,current_primary_cases_per_100k,current_primary_total_cases,figure2_reference_estimand
figure2_programme_reference,adolescent_booster,symptom_protective,country_timeline,adolescent_booster,2027-01-01,2051-01-01,2027,2051,3008362.549659148,14180293.368353054,355035.1828590708,292627.9978376905,640205.113340456,914223.1556113714,307992.64829152735,1514843.801740589,6145725.477344992,305604.97492822574,1025.8276825247508,1017.6972788226477,1019.037170923128,94245.82004218134,13561299.528057722,0.9563483050585699,0.043,0.9994102162369919,29813213.78715009,299913.58708479966,2899426.7521739434,2629897.169426901,5829237.508685644,24.000492823261258,1981.7837448878724,49.61836373735889,4065.365292571422,8894.116991992827,1313.771740075458,487.9568543394855,1082.7693257918133,4392.798137973268,218.43815994853588,1.433657663825656,14.138466675238577,7.2838017309073155,67.36435988219748,19247.36554058471,274667.7490476023,114662.5863020064,114662.5863020064,15721.255443859658,3227.0,8766.0,5,5.997945205479452,0.8096354048851555,0.21215093873678786,4.7136251479927855,0.763764131793013,0.5711451086983392,0.0022546989315199153,0.029833786748084446,0.040929689767488654,0.69074595634592,2.7381946177129635e-07,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,adolescent_booster,True,True,54.978665659530755,0.90250214591662,0.09749785408337996,0.25,calibrated_country_scenario_analysis,,,,,,5.399197728905847e-07,7.567050301915401e-07,-4.251453454795495e-05,-8.08262397189452e-06,-8.334068493098812e-07,-2.1900405295927072e-06,2.7381946177129635e-07,-1.8520336038108098e-06,4.3961160423044987e-07,2.4448101010321466e-07,2.473982075867909e-07,2.4763592487708763e-07,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,cocooning_adjunct,symptom_protective,country_timeline,cocooning_adjunct,2027-01-01,2051-01-01,2027,2051,3002822.619437759,14175712.038605321,352058.6474792661,285600.57803087385,624393.9797514547,914483.378051101,308727.26788949914,1508811.2239714738,6137604.410812695,302616.5002654573,999.7251683163813,991.5946558197893,992.9322476452597,92093.01749801359,13556977.86315594,0.9563525152200922,0.043,0.9993786469942262,29813213.786605574,299913.5871002216,2899426.7522063237,2629897.169300283,5829237.508606828,24.000492823261258,1981.1434757428638,49.20237450033771,3967.7361222604136,8674.459152228923,1314.1456891183525,489.1207219753002,1078.4574025860957,4386.993419603013,216.302079193805,1.397177785039711,13.775833234172403,7.09721080892308,65.82559492485677,19659.925118510728,273003.9760450908,114391.30628912152,114391.30628912152,16058.23426265253,3234.0,8766.0,5,5.997945205479452,0.8099741027524454,0.21182869765272064,4.720795676322548,0.7639053902247632,0.5713788335046721,0.0021935450432659744,0.029688044246237326,0.04073187878168419,0.6912919221535757,0.0003233509501154863,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,cocooning_adjunct,True,True,54.978665659530755,0.8949357702683404,0.10506422973165963,0.25,calibrated_country_scenario_analysis,,,,True,False,0.024015384926065142,-0.0002838808489638023,-0.002427801436872601,0.003974259648439893,0.0013205847610117116,0.009776712309966906,0.0003233509501154863,0.008381939309210051,0.00031911578220178427,0.02544555880763988,0.025648951672344822,0.025617484728172824,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,current,symptom_protective,country_timeline,current,2027-01-01,2051-01-01,2027,2051,3008350.78353109,14180297.251194416,355034.52532319934,292628.15583341796,640205.4176491998,914223.8474091555,307979.5546841097,1514831.5579266832,6145720.355459554,305604.30564241036,1025.8279333202001,1017.6975305991926,1019.0374232734027,94245.85283554901,13561305.489764985,0.9563484636136741,0.043,0.9994102223797059,29813213.78714954,299913.5870848018,2899426.75217382,2629897.169426857,5829237.508685479,24.000492823261258,1981.7842875390158,49.61827184265297,4065.3674875436836,8894.12121963405,1313.7727342139503,487.9361099628894,1082.7605742452402,4392.794476988388,218.4376815611662,1.4336580143278417,14.138470173070651,7.2838035346389445,67.3643833220105,19247.836991122214,274667.33078406384,114662.09246278009,114662.09246278009,15721.640524836486,3227.0,8766.0,5,5.997945205479452,0.8096362549017098,0.21215005089386926,4.713644874401951,0.7637644286319661,0.5711402445102333,0.0022546985919467263,0.029833776294898032,0.04092967438464427,0.6907462793604771,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,True,True,54.978665659530755,0.9025004744554302,0.09749952554456975,0.25,calibrated_country_scenario_analysis,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,maternal_immunization,symptom_protective,country_timeline,maternal_immunization,2027-01-01,2051-01-01,2027,2051,2975818.666616532,14165474.39689339,337607.05951348494,255812.6656497597,590986.1384600597,912916.7317593375,311069.42282127263,1479798.82023037,6117282.904448046,288106.0652435364,673.81818183089,665.6966092820136,667.0226524614094,75394.01093714217,13542931.821731316,0.9560521195605985,0.043,0.9992754194745002,29813213.785731338,299913.58705685916,2899426.752160835,2629897.1696244394,5829237.508842134,24.000492823261258,1979.712702021839,47.182675658054016,3553.9044114515277,8210.33719829768,1311.8943617555087,492.8314291644796,1057.720122037855,4372.468157006359,205.93041319076016,0.9417026045498514,9.248260286121976,4.767697282348571,53.889597260891755,21437.300096068688,265499.0948254402,113349.79115855783,113349.79115855783,17509.994815149992,3234.0,8766.0,5,5.997945205479452,0.8117689496264135,0.21007546822922885,4.760194078962262,0.7657465700874774,0.5721665727066096,0.003149920837035664,0.02947198541374671,0.04043803344941174,0.6926866303872833,0.0010453133695612626,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Australia,maternal_immunization,True,True,54.978665659530755,0.8581997233298573,0.14180027667014272,0.25,calibrated_country_scenario_analysis,,,,True,False,0.12580980144855203,0.0014297544890370384,-0.010032705386343377,0.023126490567723312,0.004627195734059897,0.057257833334811714,0.0010453133695612626,0.049086679088039764,0.0013548598287632663,0.34314697431760655,0.3458797046603135,0.34543851165076345,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,pregnancy_tdap_scaleup,symptom_protective,country_timeline,pregnancy_tdap_scaleup,2027-01-01,2051-01-01,2027,2051,2980831.4027051684,14171148.328498604,340139.977932984,261867.84257913698,605641.385528913,912653.6287906554,310435.3667651669,1484956.8381349593,6125175.322917708,290640.2090860258,690.5810656405529,682.4580715945691,683.7859542745475,77042.84173573377,13548352.703257494,0.9560518589740078,0.043,0.9992981779617496,29813213.78618937,299913.58709039795,2899426.752358333,2629897.169403609,5829237.508852339,24.000492823261258,1980.5056690431688,47.53666667998701,3638.0265945447727,8413.93676142299,1311.5162731843136,491.82688575220766,1061.4069335491092,4378.109443984993,207.74175058146295,0.9651297719356325,9.48112066632418,4.887516824004397,55.06813686338441,21090.570304218152,266958.5912342025,113596.07017327132,113596.07017327132,17226.78579047432,3234.0,8766.0,5,5.997945205479452,0.8114909669161336,0.21034508521166398,4.754092537953667,0.7656379116855632,0.5719247515266913,0.0032381091320981804,0.029608404582039626,0.04062355719857257,0.6921678407728528,0.0006451855369280501,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,pregnancy_tdap_scaleup,True,True,54.978665659530755,0.8646384212808983,0.1353615787191017,0.25,calibrated_country_scenario_analysis,,,,,,0.10511740801794767,0.0017175428347772081,-0.007973945165211216,0.019721479710337553,0.0033429820026865675,0.048965594659828415,0.0006451855369280501,0.04195239146574925,0.0009551282888853319,0.32680614047483136,0.3294097203982048,0.3289883779949354,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,targeted_pep_high_risk,symptom_protective,country_timeline,targeted_pep_high_risk,2027-01-01,2051-01-01,2027,2051,2978734.043797889,14067117.919266224,350495.56368502346,287286.3260535062,628664.7280476071,905490.932105599,307476.0199866115,1500253.2781457168,6097449.545705929,301559.6404556596,1001.0811245353821,993.0924717064227,994.4132373926725,92342.62008824729,13650061.741663877,0.9703524076505288,0.043,0.9997509368355713,29813213.78901116,299913.58703105093,2899426.751526571,2629897.1702798847,5829237.508837507,24.000492823261258,1965.9667754335246,48.98392386388301,3991.155555202178,8733.790974929874,1301.2232193626746,487.1383530778794,1072.3404146262285,4358.291809291237,215.54666441418678,1.3990728176485296,13.796641802375046,7.107796522287594,66.00400409422436,17395.174273279463,271310.7462935811,163203.57957763126,163203.57957763126,14208.38491798322,3227.0,8766.0,5,5.997945205479452,0.8098014899531258,0.21175155144738184,4.722515576224668,0.7632342256478326,0.5710720447904617,0.0022001397712111204,0.02974019801309347,0.04078055135241881,0.6905133365111091,0.007981449889469583,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,targeted_pep_high_risk,True,True,54.978665659530755,0.8909623992555277,0.10903760074447233,0.25,calibrated_country_scenario_analysis,,,,,,0.01825466782134466,0.009552272485896074,0.00163496144416031,0.009623696934361714,0.007854377837212101,0.013234974481948103,0.007981449889469583,0.012784564075969618,-0.0065448162026788825,0.024123742375314783,0.024177182466270875,0.02416416249133535,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,timeliness_only,symptom_protective,country_timeline,timeliness_only,2027-01-01,2051-01-01,2027,2051,2713593.5415042797,13838636.254427474,295215.60302715446,214345.07635715324,566957.3658951098,780644.0912655117,298780.60423354787,1293769.7718562128,5931720.175818364,248197.90805659565,840.7560077185792,833.468279251044,834.3904070000757,69268.14376794834,13198300.264696378,0.953728389274902,0.043,0.9992644737615722,29813213.785305515,299913.5871033962,2899426.75230388,2629897.1692151064,5829237.508622383,24.000492823261258,1934.0350491861814,41.258207299037956,2977.8115574752264,7876.514942405516,1121.8137932961342,473.36209029637587,924.7515961765625,4239.832943994912,177.40514319925626,1.1750085462513318,11.57904588677024,5.9639966668929585,49.51099330578338,24395.56216047481,238923.44563121785,104913.53611382836,104913.53611382836,19926.30438638206,3304.0,8766.0,5,5.997945205479452,0.825354727327194,0.1960882193602064,5.099745427148987,0.8413234371798658,0.6200031862803345,0.0020517133443422597,0.035793078040762934,0.035092245469610546,0.7683864003251499,0.024094064511811508,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,45.309268873949655,43.43914907044321,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,timeliness_only,True,True,54.978665659530755,0.7504403172412333,0.24955968275876672,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,,,0.26751724984669034,0.14611274527808382,0.02986870495347349,0.14593159543033873,0.03482100832184509,0.1878455130569604,0.024094064511811508,0.16848762029999698,0.026767719770237064,0.18041225003750494,0.18102554620495093,0.1811974830916363,1082.7605742452402,1514831.5579266832,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,adolescent_booster,symptom_protective,country_timeline,adolescent_booster,2027-01-01,2051-01-01,2027,2051,13519332.226111114,70053820.6012276,1340397.034406845,395719.24882719177,849960.6637659932,2105269.634145373,2016952.47667674,4517941.359649305,22370939.812725786,919076.1360962683,1270.4042813622284,1243.0600405613857,1245.3547684251384,128292.78387893304,48656831.901184015,0.694563572458907,0.009999999999999998,0.9861445469348947,217576703.78074858,2110625.9290923392,20903584.637711123,20136065.350869402,43150275.917672865,24.000492823261258,1341.5265533783534,25.668524547180372,781.1883308344736,1677.9051162413211,419.63026144319383,417.35045751455465,436.25141947712916,2160.133005598947,88.74578863738836,0.24328167433927353,2.453921564571755,1.2025118128586105,12.387922865869484,13938.614251826835,776626.9456008282,1549216.467997354,1549216.467997354,83088.15737489994,364.0,8766.0,3,10.020547945205479,0.8114405223639922,0.192984938010279,5.181751541390949,0.42703739272201346,0.3113646067877771,0.0005228142773937643,0.010577310950915358,0.01439290438333465,0.4015443631103697,0.01983027750285493,M2;M4;M6;M15;Y4,2.0,48.0,5,wP,True,Brazil,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Brazil_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,35.76538746298039,33.05184950384161,True,Brazil,BRA,1,contact_reduction_mean,Brazil,BRA,2025,2025,True,False,exact_year,2025,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting.",Brazil,BRA,3,relative_detection_prior_mean,True,0.0,prospective_policy,2.8141735141323725e-05,1.480345728618647e-16,Brazil,adolescent_booster,True,True,0.8601273820862417,29.842701304219943,28.842701304219943,0.25,calibrated_country_scenario_analysis,,,,,,0.01942080584660355,0.021635715344245687,0.09959521581530517,0.05786589259004438,0.03187416617297634,0.03783848167219517,0.01983027750285493,0.030539367152709995,-0.005205838352904779,0.021385798243223064,0.02169933198077778,0.021706266016902287,463.0459889372213,4795433.3931414625,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,cocooning_adjunct,symptom_protective,country_timeline,cocooning_adjunct,2027-01-01,2051-01-01,2027,2051,11715669.965717182,62359195.2593714,1172676.7146275607,329684.83913757413,706513.9064730316,1889608.1403300874,2035702.9443024618,4254995.923770123,20488005.548086654,829000.9628483384,1056.8926855469438,1032.8180502990629,1034.851733538951,107818.26539043462,42328855.27054421,0.678790915990581,0.009999999999999998,0.9625392784465836,217576703.76752245,2110625.928858908,20903584.639847454,20136065.35123111,43150275.91993748,24.000492823261258,1194.1749297164192,22.45669026750306,650.8299759971151,1394.7272491944732,376.643801349823,421.23032891332906,410.86146626320584,1978.3172889239995,80.04814980590777,0.20239432905304328,2.0388834034464915,0.9992505474132254,10.410907883789234,12603.139745602837,683821.3968815454,1397153.2291263817,1397153.2291263817,75127.38638273197,364.0,8106.0,3,9.521917808219179,0.8165692530625824,0.18787397619529958,5.322716962994787,0.5151785108477742,0.3932558442312684,0.00048625613272132586,0.010520810448206493,0.014314872535928315,0.489856571730918,0.12749091215943953,M2;M4;M6;M15;Y4,2.0,48.0,5,wP,True,Brazil,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Brazil_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,35.76538746298039,33.05184950384161,True,Brazil,BRA,1,contact_reduction_mean,Brazil,BRA,2025,2025,True,False,exact_year,2025,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting.",Brazil,BRA,3,relative_detection_prior_mean,True,0.0,prospective_policy,,,Brazil,cocooning_adjunct,True,True,0.8601273820862417,26.108563377013166,25.108563377013166,0.25,calibrated_country_scenario_analysis,,,,True,False,0.18305188629504865,0.12185827102179247,0.09122466125285078,0.1126983580913612,0.1133601171547165,0.1321362901475427,0.12749091215943953,0.15184540050015627,0.12552439634462165,0.18585744161689188,0.18716187828419928,0.1870678201979683,463.0459889372213,4795433.3931414625,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
figure2_programme_reference,current,symptom_protective,country_timeline,current,2027-01-01,2051-01-01,2027,2051,13923768.84530311,71471112.59747328,1382621.4175093637,403556.64405957976,867640.453969204,2151825.927380546,2240050.821701336,4795433.3931414625,23107471.189249177,955220.2188397463,1298.1666105822287,1270.6319040732387,1272.9865531845007,131153.06095864446,48404844.10726404,0.6772644547998166,0.009999999999999998,0.9589282297401389,217576703.7860448,2110625.9287585,20903584.63773547,20136065.349669117,43150275.91616308,24.000492823261258,1368.6676118988214,26.477119004995096,796.6601123252367,1712.8067439647375,428.9100369095704,463.5142603305223,463.0459889372213,2231.2523126621595,92.23585328451905,0.2485981440864235,2.5083511083850936,1.229193003214576,12.66411058916937,15921.894745519883,799774.2429622144,1668946.6369694965,1668946.6369694965,94910.50347283734,364.0,7805.0,2,17.087671232876712,0.809632663571484,0.19481673559109192,5.13302923881723,0.41465256150926194,0.30184122276522857,0.000525113892735045,0.010615726489291322,0.014448332701310991,0.3890633884259246,0.0,M2;M4;M6;M15;Y4,2.0,48.0,5,wP,True,Brazil,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Brazil_calibrated_config.yaml,current,fitted_parameters_and_state_only,fe4b0945dbc60905bca91e1dac7a67bb5863846eea9d42ff0fc0dbee6b1fb742,fbaadbe47d956b3f84d024d1fe55f5b483b9cf95f7db1635c7b7f23a7bb227b0,True,state_reconstruction_accepted,35.76538746298039,33.05184950384161,True,Brazil,BRA,1,contact_reduction_mean,Brazil,BRA,2025,2025,True,False,exact_year,2025,low_detected_model_anchor,https://www.paho.org/en/news/26-8-2025-paho-calls-strengthened-vaccination-and-surveillance-amid-spread-antibiotic,"PAHO reported antibiotic-resistant pertussis cases detected in Brazil since 2024, but no public national resistant fraction or denominator was located, so keep a conservative low detected anchor pending numeric reporting.",Brazil,BRA,3,relative_detection_prior_mean,True,0.0,prospective_policy,2.8141735141323725e-05,1.480345728618647e-16,Brazil,current,True,True,0.8601273820862417,30.782788173508393,29.782788173508393,0.25,calibrated_country_scenario_analysis,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463.0459889372213,4795433.3931414625,within-profile annualised <18 symptomatic-case index versus the same production-runtime current-practice row
