country,outcome,posterior_median,parameter_credible_interval_low,parameter_credible_interval_high,combined_median,combined_credible_interval_low,combined_credible_interval_high,posterior_draws,stochastic_replicates_per_draw,stochastic_overlay_applied,superspreading_k,aggregate_over_analysis_years,household_design_effect,credible_interval_low_percentile,credible_interval_high_percentile,superspreading_k_sweep
Australia,annualized_infections_per_100k,3249.96251817802,3247.072480715492,3252.746486277627,3240.4422645930817,2723.9352384607373,3829.05864147425,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_reported_cases_per_100k,40.19054492905143,40.140901898243406,40.23245447294075,40.14940129309801,33.607738184112904,47.46460815588377,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_infant_cases_per_100k,2771.5221860883266,2766.463602423827,2775.2771515170057,2768.223392912602,2319.4434551419376,3274.868583756251,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_infant_infections_per_100k,5973.270847271081,5961.955051193626,5981.686500437577,5961.56066284497,5003.571040323654,7051.8313321545165,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_child_1_9_cases_per_100k,1177.652609563181,1176.0887256297988,1178.9393422634,1173.7843990542196,985.5314396121314,1394.605893511744,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_adolescent_cases_per_100k,782.9272369055154,782.5232528582591,783.3190713548133,783.3009389664096,652.8658118932179,924.9392151810589,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_child_adolescent_cases_per_100k,1081.2730504332847,1080.1099644220956,1082.3092177167166,1077.0666116267564,900.8476698421536,1273.0933459654696,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_child_adolescent_infections_per_100k,5080.093083597724,5074.98909503373,5084.795518046938,5078.54093478127,4242.807463455818,5998.167389351786,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,annualized_child_adolescent_reported_cases_per_100k,153.9676912937009,153.75174308567753,154.14019990483646,153.64727634891898,128.05988030794055,181.5825220999887,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_infections,25019094.50174131,24996846.205362234,25040526.242840223,24967246.0,20934456.775,29609872.5,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_reported_cases,309397.73489458486,309015.5693333411,309720.36594110384,308428.5,257625.075,363100.85,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_infant_cases,215794.84895772423,215400.98001869733,216087.21611121568,215562.0,179869.65,255095.1,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_infant_infections,465087.7726112348,464206.70770053635,465743.0277992455,463764.5,388602.825,546081.375,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_child_1_9_cases,886392.5143575806,885215.4142318247,887361.0087123087,884065.5,742582.55,1042730.1999999998,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_adolescent_cases,535602.3493293645,535325.9830385358,535870.4042507961,534356.0,448844.4,629645.85,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_child_adolescent_cases,1637740.74570735,1635979.0875111327,1639310.1669657032,1633747.5,1370360.225,1930577.4999999998,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_child_adolescent_infections,7694518.449297467,7686787.736713883,7701640.948102631,7684103.5,6426235.125,9039753.125,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,total_child_adolescent_reported_cases,233205.8137124771,232878.72964327314,233467.10229004224,232556.5,194387.5,274401.075,100,100,True,5.0,True,3.0,2.5,97.5,5.0
Australia,resistant_infections,24638910.15676273,24616951.542385086,24660205.20424945,24586072.0,20649065.75,28936796.19999999,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_infections_per_100k,558.0199779659752,550.9957714382502,567.145075749054,557.4092028518032,465.6155354624662,657.9435984614755,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_reported_cases_per_100k,16.024329059141174,15.81873213536619,16.291527461564904,15.977887051093118,13.407709810562354,18.973209378341494,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_infant_cases_per_100k,321.6363540850226,317.3494619043066,327.17151702277727,321.0377427946214,268.7318275277341,379.9704432172046,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_infant_infections_per_100k,644.9143258887868,636.3003968762647,656.041290719727,644.420253423202,539.6979106832268,760.3867988096285,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_child_1_9_cases_per_100k,140.36408897370652,138.46964520951508,142.8298009443535,140.16523877475356,117.15544187036403,165.32261070006948,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_adolescent_cases_per_100k,179.57858094374066,177.23694851345047,182.68450050074046,179.04226724881562,150.35905463249514,211.6013430655185,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_child_adolescent_cases_per_100k,168.26933136261073,166.04236154507478,171.19542039665993,167.75153422552938,140.31639532425575,198.63623962681052,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_child_adolescent_infections_per_100k,806.7574591538747,795.9352469913989,821.0009084104473,806.4348438329089,675.1817482740055,949.8526965476622,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,annualized_child_adolescent_reported_cases_per_100k,61.083443472382314,60.26975493368815,62.14559587941497,61.01154354196855,50.83847443228957,72.32653186344163,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_infections,194894849.19100732,192441564.85933563,198081893.7735963,194684419.5,163463577.425,230600907.0,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_reported_cases,5596679.901590946,5524872.828469046,5690001.994267832,5589006.0,4661871.475,6591825.6,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_infant_cases,669330.7190129944,660409.623846542,680849.487261614,667207.0,556676.425,789850.7,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_infant_infections,1342077.6723977395,1324151.9403652619,1365233.0755243436,1339688.0,1122695.175,1589530.025,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_child_1_9_cases,2977434.5569295655,2937249.1864946624,3029737.7897022325,2970931.5,2483840.95,3515739.75,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_adolescent_cases,4331316.0317998715,4274837.421938026,4406228.754121364,4325605.5,3624632.825,5111080.775,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_child_adolescent_cases,7978082.607372576,7872496.232279231,8116816.031085211,7966349.0,6676068.975,9385249.375,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_child_adolescent_infections,38250450.04412348,37737341.09037597,38925768.68867883,38210936.5,31862263.375,45116763.475,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,total_child_adolescent_reported_cases,2896123.458857036,2857544.3893999686,2946482.842395118,2885061.0,2406634.9,3426604.3249999997,100,100,True,5.0,True,3.0,2.5,97.5,5.0
China,resistant_infections,194888576.04644132,192435298.91852692,198075607.94655257,194635727.5,162933161.55,229980849.67499998,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_infections_per_100k,2874.584721708537,2870.526445267881,2878.624717498374,2866.9160780967622,2404.6475858907106,3393.4831240448134,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_reported_cases_per_100k,49.83643866051155,49.755900456329385,49.91949521163811,49.776270086171756,41.71321225461539,58.589608026019626,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_infant_cases_per_100k,2513.2990662977545,2508.4290072485596,2518.444429016455,2510.0598022716276,2102.897644648087,2972.197484557203,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_infant_infections_per_100k,5304.741962154045,5294.566760080805,5315.403827606627,5290.945184086203,4454.386545864965,6243.702989228295,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_child_1_9_cases_per_100k,1084.1065369346888,1082.2479933718976,1086.0110771230466,1079.3501814432002,905.9885721098306,1277.2400716838965,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_adolescent_cases_per_100k,691.7722563977181,690.8687364809489,692.6490395970352,690.1624883509203,578.3921714618839,815.3502862048672,100,100,True,5.0,True,3.0,2.5,97.5,5.0
United_Kingdom,annualized_child_adolescent_cases_per_100k,975.6617952678312,974.0858676701829,977.2519453453593,973.0823202662355,814.1236103499331,1146.3011084252032,100,100,True,5.0,True,3.0,2.5,97.5,5.0
