country,grid_valid,issue,grid_points,grid_half_width,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target
Australia,True,,81,0.0039392573367619,25.584459936289026,19.33962535586185,0.0838259076773933,savgol,20.0,10.0,0.2
Brazil,True,,81,0.0098343718228556,26.70042619955143,13.487742901242951,0.1329751477785414,none,20.0,10.0,0.2
China,True,,81,0.0051585546009553,25.181536062575105,16.863498335410927,0.096322183290903,savgol,20.0,10.0,0.2
Japan,True,,81,0.0058634813823448,24.189025788149596,22.72209904691058,0.0745698833657062,savgol,20.0,10.0,0.2
New_Zealand,True,,481,0.0057669173025492,36.55045995978321,70.67168346821317,0.0368539208234091,none,20.0,10.0,0.2
South_Africa,True,,81,0.010054660771274,24.874196382990817,12.405935960536848,0.1666005503367679,none,20.0,10.0,0.2
Sweden,True,,81,0.0068536278015358,29.33017531077189,14.616683575682606,0.1400095932386232,none,20.0,10.0,0.2
Thailand,True,,81,0.0151183125448791,20.11191623973616,16.867508469749858,0.1110476971005968,none,20.0,10.0,0.2
United_Kingdom,True,,321,0.0095998272825889,320.71605447456045,13.964052876552232,0.1024469311214452,savgol,20.0,10.0,0.2
United_States,True,,81,0.0123799843727423,24.93956065296163,16.542618443399782,0.1122375499568988,none,20.0,10.0,0.2
