analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_child_1_9_cases,total_adolescent_cases,total_child_adolescent_cases,total_child_adolescent_infections,total_child_adolescent_reported_cases,total_deaths,total_infant_deaths,total_child_adolescent_deaths,total_child_adolescent_hospitalizations,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,child_1_9_population,adolescent_population,child_adolescent_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_child_1_9_cases_per_100k,annualized_adolescent_cases_per_100k,annualized_child_adolescent_cases_per_100k,annualized_child_adolescent_infections_per_100k,annualized_child_adolescent_reported_cases_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,annualized_child_adolescent_deaths_per_million,annualized_child_adolescent_hospitalizations_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_FOI_reduction_case_proxy,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_dose_count,routine_scheduler_code,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_overlay_mode,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,npi_contact_reduction_country,npi_contact_reduction_iso3,npi_contact_reduction_periods_loaded,npi_contact_reduction_reduction_column,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_configured_anchor_year,resistance_timeline_applied,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,prospective_policy,policy_start_time,simulation_phase,contact_reciprocity_error_before,contact_reciprocity_error_after,country,contact_assumption,contact_shock_applied,routine_delivery_delay_applied,routine_delivery_delay_reduction,timeliness_recovery_applied,shock_recovery_window,implementation_note,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,timeliness_definition,timeliness_grace_months,timeliness_recent_window_months,relative_reduction_infant_cases,relative_reduction_child_1_9_cases,relative_reduction_adolescent_cases,relative_reduction_child_adolescent_cases,relative_reduction_child_adolescent_infections,relative_reduction_child_adolescent_reported_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths,relative_reduction_child_adolescent_deaths
shock_recovery_sensitivity,no_shock_current_delivery,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,180279.0210764701,535195.1527481062,21001.726804455386,22154.4652909053,31914.66908743977,38928.84485820367,13055.909853549518,74139.22000265849,173621.42327681085,17563.56569261496,92.28174901945582,91.62237364540417,91.69386543024764,7513.657478528647,33988.233040113075,0.06350624228487717,0.043,0.05364322568596123,27785451.407729663,288908.12071183324,2837781.2443000786,2617463.193019952,5744152.558031864,4.999418194761015,385.27892025916896,15.118826441626906,1533.8470551199305,2209.5871216983105,274.3930686323028,99.77163586878135,258.16810112487786,604.5857126682158,61.15996909168807,0.6643223960321897,6.34340328930405,3.1929700800842347,26.164109679936228,18137.47994017836,25168.982727931823,31134.60595979012,31134.60595979012,13807.070343465683,0.0,150.0,1,,0.8074980608805364,0.33684726057547054,2.968704564471143,0.7224875802985201,0.5599003979045565,0.004667164837758161,0.02431472943110421,0.0344406757312044,0.6590650102984534,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,none,False,False,,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.,54.978665659530755,0.27499442302317867,0.7250055769768213,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,npi_contact_shock_only,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,180279.0210764701,535195.1527481062,21001.726804455386,22154.4652909053,31914.66908743977,38928.84485820367,13055.909853549518,74139.22000265849,173621.42327681085,17563.56569261496,92.28174901945582,91.62237364540417,91.69386543024764,7513.657478528647,33988.233040113075,0.06350624228487717,0.043,0.05364322568596123,27785451.407729663,288908.12071183324,2837781.2443000786,2617463.193019952,5744152.558031864,4.999418194761015,385.27892025916896,15.118826441626906,1533.8470551199305,2209.5871216983105,274.3930686323028,99.77163586878135,258.16810112487786,604.5857126682158,61.15996909168807,0.6643223960321897,6.34340328930405,3.1929700800842347,26.164109679936228,18137.47994017836,25168.982727931823,31134.60595979012,31134.60595979012,13807.070343465683,0.0,150.0,1,,0.8074980608805364,0.33684726057547054,2.968704564471143,0.7224875802985201,0.5599003979045565,0.004667164837758161,0.02431472943110421,0.0344406757312044,0.6590650102984534,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,mean,True,False,,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged.",54.978665659530755,0.27499442302317867,0.7250055769768213,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,routine_delay_only,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,180279.0210764701,535195.1527481062,21001.726804455386,22154.4652909053,31914.66908743977,38928.84485820367,13055.909853549518,74139.22000265849,173621.42327681085,17563.56569261496,92.28174901945582,91.62237364540417,91.69386543024764,7513.657478528647,33988.233040113075,0.06350624228487717,0.043,0.05364322568596123,27785451.407729663,288908.12071183324,2837781.2443000786,2617463.193019952,5744152.558031864,4.999418194761015,385.27892025916896,15.118826441626906,1533.8470551199305,2209.5871216983105,274.3930686323028,99.77163586878135,258.16810112487786,604.5857126682158,61.15996909168807,0.6643223960321897,6.34340328930405,3.1929700800842347,26.164109679936228,18137.47994017836,25168.982727931823,31134.60595979012,31134.60595979012,13807.070343465683,0.0,150.0,1,,0.8074980608805364,0.33684726057547054,2.968704564471143,0.7224875802985201,0.5599003979045565,0.004667164837758161,0.02431472943110421,0.0344406757312044,0.6590650102984534,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,none,False,True,0.25,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction.",54.978665659530755,0.27499442302317867,0.7250055769768213,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,combined_shock_delayed_recovery,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,180279.0210764701,535195.1527481062,21001.726804455386,22154.4652909053,31914.66908743977,38928.84485820367,13055.909853549518,74139.22000265849,173621.42327681085,17563.56569261496,92.28174901945582,91.62237364540417,91.69386543024764,7513.657478528647,33988.233040113075,0.06350624228487717,0.043,0.05364322568596123,27785451.407729663,288908.12071183324,2837781.2443000786,2617463.193019952,5744152.558031864,4.999418194761015,385.27892025916896,15.118826441626906,1533.8470551199305,2209.5871216983105,274.3930686323028,99.77163586878135,258.16810112487786,604.5857126682158,61.15996909168807,0.6643223960321897,6.34340328930405,3.1929700800842347,26.164109679936228,18137.47994017836,25168.982727931823,31134.60595979012,31134.60595979012,13807.070343465683,0.0,150.0,1,,0.8074980608805364,0.33684726057547054,2.968704564471143,0.7224875802985201,0.5599003979045565,0.004667164837758161,0.02431472943110421,0.0344406757312044,0.6590650102984534,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,mean,True,True,0.25,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.,54.978665659530755,0.27499442302317867,0.7250055769768213,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,combined_shock_timeliness_recovery,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,175303.0847529696,528132.6277339181,20004.868862948413,20584.677979555083,30983.940069851353,37460.00063404758,12814.281009299393,70858.95962290205,170480.72110499168,16621.282301135536,88.9825494799322,88.342269266298,88.40746522291019,7019.532795816453,33267.32882305263,0.06299048207984086,0.043,0.04830692607594004,27785451.40760617,288908.1207274068,2837781.2440621583,2617463.193165173,5744152.557954738,4.999418194761015,380.19471499891307,14.401203441214392,1425.1640598517224,2145.148826909471,264.03980295962987,97.92513835116124,246.745555903052,593.6491380012945,57.878743394500894,0.6405719560360881,6.116307830956535,3.0785308263764355,24.44346531618607,18137.479940258974,24574.249705405608,29799.609421670386,29799.609421670386,13807.070343465683,0.0,150.0,1,,0.8135606814824864,0.33193004095420164,3.012683025390811,0.7818509693953911,0.6022330405556844,0.004639848716511539,0.02579797476105512,0.034778174596887076,0.7166349713209372,0.013196167749135124,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,mean,True,True,0.25,True,historical COVID-19 shock with 2027-2031 prospective recovery readout,Combined historical COVID-19 shock with routine-timeliness recovery carried into prospective policy t0.,54.978665659530755,0.2619416689811549,0.7380583310188451,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,0.07085647478906365,0.03773151321356394,0.018507239017465538,0.04424460332383873,0.018089370035930585,0.053649891370044056,0.013196167749135124,0.047465522753847855,0.021210405854568237,0.03575137635100567,0.0358002554245187,0.03584100410553037
shock_recovery_sensitivity,baseline_screened_contact_shock,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,180279.0210764701,535195.1527481062,21001.726804455386,22154.4652909053,31914.66908743977,38928.84485820367,13055.909853549518,74139.22000265849,173621.42327681085,17563.56569261496,92.28174901945582,91.62237364540417,91.69386543024764,7513.657478528647,33988.233040113075,0.06350624228487717,0.043,0.05364322568596123,27785451.407729663,288908.12071183324,2837781.2443000786,2617463.193019952,5744152.558031864,4.999418194761015,385.27892025916896,15.118826441626906,1533.8470551199305,2209.5871216983105,274.3930686323028,99.77163586878135,258.16810112487786,604.5857126682158,61.15996909168807,0.6643223960321897,6.34340328930405,3.1929700800842347,26.164109679936228,18137.47994017836,25168.982727931823,31134.60595979012,31134.60595979012,13807.070343465683,0.0,150.0,1,,0.8074980608805364,0.33684726057547054,2.968704564471143,0.7224875802985201,0.5599003979045565,0.004667164837758161,0.02431472943110421,0.0344406757312044,0.6590650102984534,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,True,0.0,prospective_policy,1.5769242865424038e-05,1.502232944079048e-16,Australia,baseline_screened,True,False,,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,Submitted baseline contact-reduction setting after calibration-screening country peak timing.,54.978665659530755,0.27499442302317867,0.7250055769768213,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,no_shock_current_delivery,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,2242999.924242207,8070884.955137813,522093.0768760934,213456.5249939966,310818.88477471075,248300.65575597464,154015.53447242585,615772.7152223971,1697582.4309636045,373209.8956547674,1232.9072207286301,1225.3685749674958,1225.7836259388487,83914.01509635213,8054438.06097564,0.9979621944491102,0.997,0.9973809773078959,1396459581.8845315,8001977.13173074,88597357.33253273,133092917.26691955,229692251.73118302,4.999418194761015,115.60412210665633,7.478252031309398,533.5715471189939,776.9456250058741,56.05800423837625,23.146755083604425,53.62343491150559,147.8308452832554,32.50029768003806,0.17659669005758627,3.06302094234314,1.0674511366971067,7.307497742989748,4576.951660740786,305891.4391056688,43629.987708608816,43629.987708608816,175110.35623188465,0.0,210.0,1,,0.8191517271610683,0.27791251352360613,3.5982546713034536,0.6785738061456229,0.5722432188341816,0.00016647101190585224,0.009628246518028225,0.013700004100447786,0.6550790845152412,0.0,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,61.55520059847223,56.080676333404014,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,2.010611200412732e-05,1.6667804836994706e-16,China,none,False,False,,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,Counterfactual without COVID-19 contact reduction and without routine-delivery delay.,4.146450779474111,1.803530881960175,0.803530881960175,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,npi_contact_shock_only,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,2242999.924242207,8070884.955137813,522093.0768760934,213456.5249939966,310818.88477471075,248300.65575597464,154015.53447242585,615772.7152223971,1697582.4309636045,373209.8956547674,1232.9072207286301,1225.3685749674958,1225.7836259388487,83914.01509635213,8054438.06097564,0.9979621944491102,0.997,0.9973809773078959,1396459581.8845315,8001977.13173074,88597357.33253273,133092917.26691955,229692251.73118302,4.999418194761015,115.60412210665633,7.478252031309398,533.5715471189939,776.9456250058741,56.05800423837625,23.146755083604425,53.62343491150559,147.8308452832554,32.50029768003806,0.17659669005758627,3.06302094234314,1.0674511366971067,7.307497742989748,4576.951660740786,305891.4391056688,43629.987708608816,43629.987708608816,175110.35623188465,0.0,210.0,1,,0.8191517271610683,0.27791251352360613,3.5982546713034536,0.6785738061456229,0.5722432188341816,0.00016647101190585224,0.009628246518028225,0.013700004100447786,0.6550790845152412,0.0,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,61.55520059847223,56.080676333404014,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,2.010611200412732e-05,1.6667804836994706e-16,China,mean,True,False,,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,"COVID-19 NPI contact-reduction shock only, with routine delivery unchanged.",4.146450779474111,1.803530881960175,0.803530881960175,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,routine_delay_only,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,2242999.924242207,8070884.955137813,522093.0768760934,213456.5249939966,310818.88477471075,248300.65575597464,154015.53447242585,615772.7152223971,1697582.4309636045,373209.8956547674,1232.9072207286301,1225.3685749674958,1225.7836259388487,83914.01509635213,8054438.06097564,0.9979621944491102,0.997,0.9973809773078959,1396459581.8845315,8001977.13173074,88597357.33253273,133092917.26691955,229692251.73118302,4.999418194761015,115.60412210665633,7.478252031309398,533.5715471189939,776.9456250058741,56.05800423837625,23.146755083604425,53.62343491150559,147.8308452832554,32.50029768003806,0.17659669005758627,3.06302094234314,1.0674511366971067,7.307497742989748,4576.951660740786,305891.4391056688,43629.987708608816,43629.987708608816,175110.35623188465,0.0,210.0,1,,0.8191517271610683,0.27791251352360613,3.5982546713034536,0.6785738061456229,0.5722432188341816,0.00016647101190585224,0.009628246518028225,0.013700004100447786,0.6550790845152412,0.0,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,61.55520059847223,56.080676333404014,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,2.010611200412732e-05,1.6667804836994706e-16,China,none,False,True,0.25,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,"Reduced routine-vaccination delivery during the COVID-19 calendar window, without contact reduction.",4.146450779474111,1.803530881960175,0.803530881960175,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shock_recovery_sensitivity,combined_shock_delayed_recovery,symptom_protective,country_timeline,current,2027-01-01,2032-01-01,2027,2032,2242999.924242207,8070884.955137813,522093.0768760934,213456.5249939966,310818.88477471075,248300.65575597464,154015.53447242585,615772.7152223971,1697582.4309636045,373209.8956547674,1232.9072207286301,1225.3685749674958,1225.7836259388487,83914.01509635213,8054438.06097564,0.9979621944491102,0.997,0.9973809773078959,1396459581.8845315,8001977.13173074,88597357.33253273,133092917.26691955,229692251.73118302,4.999418194761015,115.60412210665633,7.478252031309398,533.5715471189939,776.9456250058741,56.05800423837625,23.146755083604425,53.62343491150559,147.8308452832554,32.50029768003806,0.17659669005758627,3.06302094234314,1.0674511366971067,7.307497742989748,4576.951660740786,305891.4391056688,43629.987708608816,43629.987708608816,175110.35623188465,0.0,210.0,1,,0.8191517271610683,0.27791251352360613,3.5982546713034536,0.6785738061456229,0.5722432188341816,0.00016647101190585224,0.009628246518028225,0.013700004100447786,0.6550790845152412,0.0,M3;M4;M5;M18,3.0,18.0,4,aP,True,China,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/China_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,61.55520059847223,56.080676333404014,True,China,CHN,1,contact_reduction_mean,China,CHN,2025,2025,True,False,nearest_past_year,2024,measured_multicenter_isolate_fraction,https://www.sciencedirect.com/science/article/pii/S2666606525001658,Five sentinel hospitals in China during 2024; 393/394 isolates displayed high-level azithromycin resistance.,China,CHN,7,relative_detection_prior_mean,True,0.0,prospective_policy,2.010611200412732e-05,1.6667804836994706e-16,China,mean,True,True,0.25,False,historical COVID-19 shock with 2027-2031 prospective recovery readout,NPI contact reduction plus reduced routine-vaccination delivery during the COVID-19 calendar window.,4.146450779474111,1.803530881960175,0.803530881960175,0.25,calibrated_country_scenario_analysis,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
