stem,country,status,n_chains,draws_per_chain_min,draws_per_chain_max,parameters_diagnosed,parameters_converged,worst_rhat_rank,min_bulk_ess,min_tail_ess,transition_rate_min,transition_rate_mean,unique_states_min,unique_states_mean,accepted_fraction_min,accepted_fraction_mean,accepted_fraction_max,posterior_log_prob_mean,posterior_log_prob_max
ident_smoke_fixreport_adapt_s04_w20d20,Thailand,ok,4,20,20,5,0,8.735197255211537,4.70616565359086,5.231164176212734,0.15789473684210525,0.25,4,5.75,0.225,0.34375,0.475,-1166.212892852523,-1161.7451800407152
ident_smoke_fixreport_adapt_s04_w20d20,Japan,ok,4,20,20,5,0,6.825023049432927,4.7231380620857575,6.195917196538701,0.05263157894736842,0.2631578947368421,2,6.0,0.2,0.30625,0.4,-2255.400559604109,-2214.76229183256
ident_smoke_fixreport_adapt_s04_w20d20,China,ok,4,20,20,5,0,4.616330094865552,4.791967244964648,6.005755515702548,0.05263157894736842,0.21052631578947367,2,5.0,0.2,0.2625,0.325,-4308.33515758633,-4237.29697154104
ident_smoke_tight_ve_asym_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,6.221694935324991,4.707387647334888,5.756833741442207,0.21052631578947367,0.3289473684210526,5,7.25,0.35,0.40625,0.45,-537.9780367345736,-489.539418700376
ident_smoke_tight_ve_asym_adapt_s04_w20d20,Thailand,ok,4,20,20,6,0,25.26946349191593,4.707656784477122,5.756833741442207,0.21052631578947367,0.24999999999999997,5,5.75,0.25,0.33125000000000004,0.4,-1300.755706621951,-1291.712380502008
ident_smoke_tight_ve_asym_adapt_s04_w20d20,Japan,ok,4,20,20,6,0,4.22778849424608,4.828397427593683,5.322850353507202,0.05263157894736842,0.21052631578947367,2,5.0,0.275,0.3,0.325,-2333.9128279448028,-2305.202937505856
ident_smoke_tight_ve_asym_adapt_s04_w20d20,China,ok,4,20,20,6,0,5.125131299910367,4.796686143074829,5.231164176212734,0.05263157894736842,0.25,2,5.75,0.25,0.33125,0.375,-4337.126687983635,-4282.747290219852
ident_smoke_fixveasym_adapt_s04_w20d20,South_Africa,ok,4,20,20,3,0,3.2608287977029873,4.739423648623338,5.344802191651692,0.21052631578947367,0.30263157894736836,5,6.75,0.35,0.36875,0.4,-399.4073504185338,-351.1962455766782
ident_smoke_fixveasym_adapt_s04_w20d20,Thailand,ok,4,20,20,3,0,3.21526417419958,4.882498655705592,6.070224161872645,0.15789473684210525,0.22368421052631576,4,5.25,0.25,0.3,0.375,-1169.1655215271464,-1163.7081342771032
ident_smoke_fixveasym_adapt_s04_w20d20,Japan,ok,4,20,20,3,0,3.2861493489826143,4.808164716688157,5.752549079287781,0.15789473684210525,0.2894736842105263,4,6.5,0.25,0.33125000000000004,0.4,-2199.314174091066,-2164.9315663977504
ident_smoke_fixveasym_adapt_s04_w20d20,China,ok,4,20,20,3,0,9.514563357918819,4.741581182093579,5.012806543365361,0.05263157894736842,0.19736842105263158,2,4.75,0.25,0.3125,0.375,-4160.391577053379,-4036.7266849703424
ident_smoke_product_tightall_adapt_s04_w20d20,South_Africa,ok,4,20,20,6,0,6.221694935324991,4.7081015016206385,5.756833741442207,0.3157894736842105,0.40789473684210525,7,8.75,0.4,0.44375000000000003,0.525,-461.8029400569764,-410.78345217648223
ident_smoke_product_tightall_adapt_s04_w20d20,Thailand,ok,4,20,20,6,0,25.26946349191593,4.707656784477122,5.756833741442207,0.2631578947368421,0.2763157894736842,6,6.25,0.25,0.34375,0.4,-1211.272249838071,-1204.8969584282981
ident_smoke_product_tightall_adapt_s04_w20d20,Japan,ok,4,20,20,6,0,4.528732794738313,4.856250553381513,5.523968121803259,0.05263157894736842,0.2763157894736842,2,6.25,0.275,0.325,0.375,-2253.022745361479,-2228.646609743786
ident_smoke_product_tightall_adapt_s04_w20d20,China,ok,4,20,20,6,0,4.597217584033368,4.783475718731194,5.012806543365361,0.05263157894736842,0.23684210526315788,2,5.5,0.275,0.33125,0.375,-4264.744315137016,-4192.356209669691
