country,iso3,year,infant_0_2m,infant_3_11m,child_1_4y,child_5_9y,adolescent_10_17y,young_adult_18_39y,middle_adult_40_64y,elderly_65plus,births,total_population,source,source_type
Australia,AUS,1950,30513.916666666668,152569.58333333334,718648.0601408572,902822.0136085293,1467273.9627016836,4350978.514551213,3240622.3098467556,1350723.8142076398,183083.5,7930499.003725202,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1951,31548.666666666664,157743.33333333334,743017.9595658982,933437.3911356607,1517030.3328684838,4498523.487787967,3350514.26412272,1396527.880660969,189292.0,8295367.895175074,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1952,32324.166666666664,161620.83333333334,761282.1364241919,956382.281468872,1554320.562454716,4609102.010856439,3432873.491511955,1430856.0309722102,193945.0,8328466.526388114,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1953,32938.916666666664,164694.58333333334,775760.4120188225,974571.0259335291,1583881.0635999595,4696759.195971003,3498160.8352096104,1458068.4492879235,197633.5,8640093.55600245,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1954,33212.916666666664,166064.58333333334,782213.5189938998,982677.9246457147,1597056.4638664038,4735828.848222146,3527260.0335392696,1470197.2864062733,199277.5,8921009.04288656,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1955,33677.83333333333,168389.16666666666,793162.997039507,996433.5170773701,1619412.1688805441,4802121.302574071,3576634.8594155363,1490777.2080252732,202067.0,9030523.775473721,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1956,34474.166666666664,172370.83333333334,811917.8298417695,1019994.8078601089,1657704.1776841155,4915670.450053367,3661206.6170913936,1526027.5631052456,206845.0,9262684.16103175,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1957,35303.75,176518.75,831455.7495306061,1044539.8737602936,1697595.02611856,5033960.714092337,3749309.5731047,1562749.7569961124,211822.5,9379317.21572795,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1958,36179.333333333336,180896.6666666667,852077.0375437257,1070445.951853035,1739697.8030648895,5158810.116830403,3842297.7959908694,1601508.1790163373,217076.0,9718660.458452722,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1959,36953.166666666664,184765.83333333334,870301.9619265018,1093341.530150284,1776907.8903137343,5269150.98994601,3924480.0209571742,1635762.55294608,221719.0,9972966.89456639,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1960,37762.74999999999,188813.75,889368.8519091284,1117294.851618922,1815837.0306995332,5384589.454550589,4010458.947895323,1671599.4302589651,226576.5,10239820.129253853,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1961,38646.916666666664,193234.58333333334,910192.2901711633,1143454.886696869,1858352.5406834066,5510662.754545915,4104358.733259581,1710737.8006439074,231881.5,10266603.205525547,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1962,38909.75,194548.75,916382.4055602733,1151231.3947681077,1870990.987289357,5548140.152112857,4132272.01535561,1722372.3360062172,233458.5,10696838.48797251,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1963,38562.99999999999,192815.0,908215.928028857,1140972.025686172,1854317.3739959642,5498697.07941912,4095446.6612650654,1707023.1598354587,231378.0,10852626.641651032,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1964,37937.833333333336,189689.1666666667,893492.3244622421,1122475.0809967513,1824255.9832420517,5409554.582099145,4029053.052424099,1679349.6391353803,227627.0,11223657.61057147,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1965,37200.25,186001.25000000003,876121.1414219716,1100652.0394816801,1788788.9918313767,5304382.595458371,3950720.630156517,1646699.9015032293,223201.5,11482739.993826525,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1966,37059.416666666664,185297.08333333334,872804.3072407426,1096485.1724428742,1782016.964322164,5284301.174441207,3935763.9254189488,1640465.7972666079,222356.5,11622837.279807642,UN WPP 2024 one-year age population (annual 1990-2050),derived
Australia,AUS,1967,37593.666666666664,187968.33333333334,885386.6882678779,1112292.145570557,1807706.5905716089,5360479.86683235,3992502.052089095,1664114.8163559448,225562.0,11705952.5662982,UN WPP 2024 one-year age population (annual 1990-2050),derived
