country,iso3,reciprocity_correction_applied,reciprocity_error_before,reciprocity_error_after,source_type
Australia,AUS,True,0.8560492130503803,1.3981897584485848e-16,derived
China,CHN,True,0.5065022471516861,3.3335609780467767e-16,derived
United_Kingdom,GBR,True,0.5500178504512391,1.6947706207041372e-16,derived
Japan,JPN,True,0.9302835615206769,1.4702791643301317e-16,derived
New_Zealand,NZL,True,0.42347612591009137,1.3528526405727172e-16,derived
Sweden,SWE,True,0.4711743900952475,1.4076262685759922e-16,derived
United_States,USA,True,0.4239905117771893,1.377861088653648e-16,derived
Brazil,BRA,True,0.3441300460922166,1.4803671863247704e-16,derived
Thailand,THA,True,0.43550251165511106,1.3592504196250847e-16,derived
South_Africa,ZAF,True,0.42730388335729513,1.3061823684332656e-16,derived
