iso3,country_name,VaccinePregnant,VaccinePregnantTime,VaccinePregnantSource,VaccineAdult,VaccineRisk,TimeLastShot,TimeFirstShot,VaccineDose1,VaccineDose2,VaccineDose,source_type
AUS,Australia,1,20-32w,https://immunisationhandbook.health.gov.au/recommendations/pregnant-women-are-recommended-to-receive-a-single-dose-of-pertussis-containing-vaccine-in-each-pregnancy,0,0,156,2,6,6,6,measured
BRA,Brazil,1,20-32w,https://pmc.ncbi.nlm.nih.gov/articles/PMC7012156/,1,1,48,2,5,5,5,measured
CHN,China,0,,,0,0,18,3,4,4,4,measured
GBR,United Kingdom of Great Britain and Northern Ireland,1,16-32w,https://www.gov.uk/government/publications/vaccination-against-pertussis-whooping-cough-for-pregnant-women/pertussis-whooping-cough-vaccination-programme-for-pregnant-women,0,0,40,1.83908045977012,4,4,4,measured
JPN,Japan,0,,,0,0,18,3,3,3,3,measured
NZL,New Zealand,1,16-26w,https://info.health.nz/immunisations/vaccines-aotearoa/whooping-cough-pertussis-vaccine,1,1,156,1.3793103448275901,5,5,5,measured
SWE,Sweden,1,16-36w,https://vaccine-schedule.ecdc.europa.eu/Scheduler/ByDisease?SelectedDiseaseId=3&SelectedCountryIdByDisease=-1,0,0,192,3,5,5,5,measured
THA,Thailand,1,NA,https://www.sciencedirect.com/science/article/abs/pii/S0264410X24008120,0,0,48,2,4,4,4,measured
USA,United States of America,1,27-36w,https://www.cdc.gov/pertussis/hcp/vaccine-recommendations/vaccinating-pregnant-patients.html,1,0,144,2,6,6,6,measured
ZAF,South Africa,1,26-34w,https://knowledgehub.health.gov.za/system/files/2023-11/KH%20webinar%20Session%202%20Tdap%20-%20final.pdf,0,0,18,1.3793103448275901,4,4,4,measured
