country_or_region,config_key,iso3,year,reported_cases,source,source_type
Australia,Australia,AUS,2024,57167.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2023,2442.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2022,479.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2021,550.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2020,3457.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2019,12021.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2018,12555.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2017,12114.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2016,20037.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2015,22508.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2014,11842.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2013,12319.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2012,23855.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2011,38040.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2010,34285.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2009,29545.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2008,14435.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2007,5379.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2005,11277.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2004,8676.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2003,4968.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2002,5563.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2001,9538.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Australia,Australia,AUS,2000,5795.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2024,7438.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2023,210.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2022,246.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2021,143.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2020,229.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2019,1423.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2018,2232.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2017,1804.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2016,1208.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2015,2920.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2014,8338.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2013,5211.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2012,5400.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2011,2257.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2010,477.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Brazil,Brazil,BRA,2009,1037.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
