country,iso3,year,source_sheet,source_age_group,normalized_age_group,age_start_years,age_end_years_exclusive,reported_cases,total_reported_cases_known_age,reported_case_share_known_age,wpp_population_denominator,reported_incidence_per_100k,model_age_groups,model_age_alignment,target_role,target_strength,age_group_note,source,source_type
Australia,AUS,2015,AU,00-04,00-04,0.0,5.0,2894.0,22571.0,0.12821762438527315,1563006.0,185.15603906830813,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,05-09,05-09,5.0,10.0,4464.0,22571.0,0.19777590713747728,1542462.0,289.40745379788933,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,10-14,10-14,10.0,15.0,4293.0,22571.0,0.1901998139205175,1421452.0,302.015122564814,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,15-19,15-19,15.0,20.0,1108.0,22571.0,0.04908953967480395,1480151.0,74.8572274045013,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,20-24,20-24,20.0,25.0,633.0,22571.0,0.02804483629436002,1685529.0,37.55497532228755,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,25-29,25-29,25.0,30.0,656.0,22571.0,0.029063842984360464,1794949.0,36.54699938549786,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,30-34,30-34,30.0,35.0,769.0,22571.0,0.03407026715697133,1759608.0,43.70291564939464,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,35-39,35-39,35.0,40.0,920.0,22571.0,0.04076026760001772,1584826.0,58.05053677816996,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,40-44,40-44,40.0,45.0,1222.0,22571.0,0.0541402684861105,1658018.0,73.70245678876829,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,45-49,45-49,45.0,50.0,1140.0,22571.0,0.050507288113065436,1575343.0,72.36519285006503,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,50-54,50-54,50.0,55.0,894.0,22571.0,0.03960834699393027,1568033.0,57.014106208223936,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,55-59,55-59,55.0,60.0,782.0,22571.0,0.03464622746001506,1456043.0,53.707205075674274,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,60-64,60-64,60.0,65.0,781.0,22571.0,0.034601922821319395,1290458.0,60.52114830548534,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,65-69,65-69,65.0,70.0,749.0,22571.0,0.03318417438305791,1162143.0,64.44989988323296,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,70-74,70-74,70.0,75.0,528.0,22571.0,0.02339284923131452,855152.0,61.743409358804044,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,75-79,75-79,75.0,80.0,367.0,22571.0,0.01625980240131142,633189.0,57.96057733157083,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,80-84,80-84,80.0,85.0,203.0,22571.0,0.008993841655221302,453884.0,44.72508394215262,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,85+,85+,85.0,inf,168.0,22571.0,0.007443179300872802,463752.0,36.22625886249547,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2015,AU,Unknow,Unknow,,,0.0,22571.0,0.0,,,,unknown_age,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,00-04,00-04,0.0,5.0,2908.0,20115.0,0.14456872980362914,1576866.0,184.41643107277346,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,05-09,05-09,5.0,10.0,4052.0,20115.0,0.2014417101665424,1573481.0,257.5182032703286,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,10-14,10-14,10.0,15.0,3535.0,20115.0,0.1757394978871489,1445003.0,244.6361703055288,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,15-19,15-19,15.0,20.0,1078.0,20115.0,0.053591846880437485,1484901.0,72.59743242142069,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,20-24,20-24,20.0,25.0,686.0,20115.0,0.0341039025602784,1704783.0,40.23972552518414,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,25-29,25-29,25.0,30.0,701.0,20115.0,0.03484961471538653,1825456.0,38.40136382361448,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,30-34,30-34,30.0,35.0,787.0,20115.0,0.03912503107133979,1802841.0,43.653322727850096,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,35-39,35-39,35.0,40.0,878.0,20115.0,0.04364901814566244,1621104.0,54.16062140368539,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,40-44,40-44,40.0,45.0,1043.0,20115.0,0.05185185185185185,1636151.0,63.74717247980168,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,45-49,45-49,45.0,50.0,887.0,20115.0,0.044096445438727316,1613514.0,54.97318275515428,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,50-54,50-54,50.0,55.0,723.0,20115.0,0.03594332587621178,1559248.0,46.36850584384267,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,55-59,55-59,55.0,60.0,664.0,20115.0,0.033010191399453145,1486357.0,44.67298233197004,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,60-64,60-64,60.0,65.0,583.0,20115.0,0.028983345761869252,1314069.0,44.36601122163296,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
Australia,AUS,2016,AU,65-69,65-69,65.0,70.0,612.0,20115.0,0.030425055928411632,1190795.0,51.39423662343225,elderly_65plus,partial_or_unknown,partial_overlap_descriptive,descriptive_only,,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
