iso3,country_name,who_region,year,vaccine_code,VACCINE_DESCRIPTION,SCHEDULEROUNDS,target_population_code,target_population,GEOAREA,age_administered,SOURCECOMMENT,VACCINEDESCRIPTION,VACCINEDESCRIPTIONSHORT,DISEASECODE,DISEASEDESCRIPTION,SCHEDULERCODE,source_type
AUS,Australia,WPRO,2024,DTAP,DTaP (acellular) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,,DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,PW,Pregnant women,NATIONAL,,Pregnant women,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",Tdap,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",6,B_ADO_W,General/routine,NATIONAL,Y12-Y13,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",Tdap,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,1,,General/routine,NATIONAL,M2,,DTaP-Hib-HepB-IPV (acellular) vaccine,DTaP-Hib-HepB-IPV,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,2,,General/routine,NATIONAL,M4,,DTaP-Hib-HepB-IPV (acellular) vaccine,DTaP-Hib-HepB-IPV,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,DTAPHIBHEPBIPV,DTaP-Hib-HepB-IPV (acellular) vaccine,3,,General/routine,NATIONAL,M6,,DTaP-Hib-HepB-IPV (acellular) vaccine,DTaP-Hib-HepB-IPV,PERTUSSIS,Pertussis,aP,measured
AUS,Australia,WPRO,2024,DTAPIPV,DTaP-IPV (acellular) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y4,,DTaP-IPV (acellular) vaccine,DTaP-IPV,PERTUSSIS,Pertussis,aP,measured
BRA,Brazil,AMRO,2024,DTAP,DTaP (acellular) vaccine,1,RISKGROUPS,Risk group(s),NATIONAL,M2,"after following serious adverse vaccine events, children who are at increased risk of serious adverse vaccine events, situations of immunodepression",DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
BRA,Brazil,AMRO,2024,DTAP,DTaP (acellular) vaccine,2,RISKGROUPS,Risk group(s),NATIONAL,M4,"after following serious adverse vaccine events, children who are at increased risk of serious adverse vaccine events, situations of immunodepression",DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
BRA,Brazil,AMRO,2024,DTAP,DTaP (acellular) vaccine,3,RISKGROUPS,Risk group(s),NATIONAL,M6,"after following serious adverse vaccine events, children who are at increased risk of serious adverse vaccine events, situations of immunodepression",DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
BRA,Brazil,AMRO,2024,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,1,,General/routine,NATIONAL,M2,,DTwP-Hib-HepB (Whole cell) vaccine,DTwP-Hib-HepB,PERTUSSIS,Pertussis,wP,measured
BRA,Brazil,AMRO,2024,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,2,,General/routine,NATIONAL,M4,,DTwP-Hib-HepB (Whole cell) vaccine,DTwP-Hib-HepB,PERTUSSIS,Pertussis,wP,measured
BRA,Brazil,AMRO,2024,DTWPHIBHEPB,DTwP-Hib-HepB (Whole cell) vaccine,3,,General/routine,NATIONAL,M6,,DTwP-Hib-HepB (Whole cell) vaccine,DTwP-Hib-HepB,PERTUSSIS,Pertussis,wP,measured
BRA,Brazil,AMRO,2024,TDAP_S,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",1,ADULTS,Adults,NATIONAL,Y19,,"Tdap (Tetanus, diphtheria for older children and adults and acellular pertussis) vaccine",Tdap,PERTUSSIS,Pertussis,aP,measured
BRA,Brazil,AMRO,2024,DTWP,DTwP (Whole cell) vaccine,4,B_2YL_W,General/routine,NATIONAL,M15,,DTwP (Whole cell) vaccine,DTwP,PERTUSSIS,Pertussis,wP,measured
BRA,Brazil,AMRO,2024,DTWP,DTwP (Whole cell) vaccine,5,B_CHILD_W,General/routine,NATIONAL,Y4,,DTwP (Whole cell) vaccine,DTwP,PERTUSSIS,Pertussis,wP,measured
CHN,China,WPRO,2024,DTAP,DTaP (acellular) vaccine,1,,General/routine,NATIONAL,M3,,DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
CHN,China,WPRO,2024,DTAP,DTaP (acellular) vaccine,2,,General/routine,NATIONAL,M4,,DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
CHN,China,WPRO,2024,DTAP,DTaP (acellular) vaccine,3,,General/routine,NATIONAL,M5,,DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
CHN,China,WPRO,2024,DTAP,DTaP (acellular) vaccine,4,B_2YL_W,General/routine,NATIONAL,M18,,DTaP (acellular) vaccine,DTaP,PERTUSSIS,Pertussis,aP,measured
