iso3,country_name,who_region,year,introduced,source_type
AUS,Australia,WPRO,2001,False,measured
BRA,Brazil,AMRO,2001,False,measured
CHN,China,WPRO,2001,False,measured
JPN,Japan,WPRO,2001,False,measured
NZL,New Zealand,WPRO,2001,False,measured
ZAF,South Africa,AFRO,2001,False,measured
SWE,Sweden,EURO,2001,False,measured
THA,Thailand,SEARO,2001,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2001,False,measured
USA,United States of America,AMRO,2001,False,measured
AUS,Australia,WPRO,2002,True,measured
BRA,Brazil,AMRO,2002,False,measured
CHN,China,WPRO,2002,False,measured
JPN,Japan,WPRO,2002,True,measured
NZL,New Zealand,WPRO,2002,True,measured
ZAF,South Africa,AFRO,2002,False,measured
SWE,Sweden,EURO,2002,True,measured
THA,Thailand,SEARO,2002,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2002,True,measured
USA,United States of America,AMRO,2002,False,measured
AUS,Australia,WPRO,2003,True,measured
BRA,Brazil,AMRO,2003,False,measured
CHN,China,WPRO,2003,False,measured
JPN,Japan,WPRO,2003,True,measured
NZL,New Zealand,WPRO,2003,True,measured
ZAF,South Africa,AFRO,2003,False,measured
SWE,Sweden,EURO,2003,True,measured
THA,Thailand,SEARO,2003,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2003,True,measured
USA,United States of America,AMRO,2003,False,measured
AUS,Australia,WPRO,2004,True,measured
BRA,Brazil,AMRO,2004,False,measured
CHN,China,WPRO,2004,False,measured
JPN,Japan,WPRO,2004,True,measured
NZL,New Zealand,WPRO,2004,True,measured
ZAF,South Africa,AFRO,2004,False,measured
SWE,Sweden,EURO,2004,True,measured
THA,Thailand,SEARO,2004,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2004,True,measured
USA,United States of America,AMRO,2004,False,measured
AUS,Australia,WPRO,2005,True,measured
BRA,Brazil,AMRO,2005,False,measured
CHN,China,WPRO,2005,False,measured
JPN,Japan,WPRO,2005,True,measured
NZL,New Zealand,WPRO,2005,True,measured
ZAF,South Africa,AFRO,2005,False,measured
SWE,Sweden,EURO,2005,True,measured
THA,Thailand,SEARO,2005,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2005,True,measured
USA,United States of America,AMRO,2005,False,measured
AUS,Australia,WPRO,2006,True,measured
BRA,Brazil,AMRO,2006,False,measured
CHN,China,WPRO,2006,False,measured
JPN,Japan,WPRO,2006,True,measured
NZL,New Zealand,WPRO,2006,True,measured
ZAF,South Africa,AFRO,2006,False,measured
SWE,Sweden,EURO,2006,True,measured
THA,Thailand,SEARO,2006,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2006,True,measured
USA,United States of America,AMRO,2006,True,measured
AUS,Australia,WPRO,2007,True,measured
BRA,Brazil,AMRO,2007,False,measured
CHN,China,WPRO,2007,False,measured
JPN,Japan,WPRO,2007,True,measured
NZL,New Zealand,WPRO,2007,True,measured
ZAF,South Africa,AFRO,2007,False,measured
SWE,Sweden,EURO,2007,True,measured
THA,Thailand,SEARO,2007,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2007,True,measured
USA,United States of America,AMRO,2007,True,measured
AUS,Australia,WPRO,2008,True,measured
BRA,Brazil,AMRO,2008,False,measured
CHN,China,WPRO,2008,False,measured
JPN,Japan,WPRO,2008,True,measured
NZL,New Zealand,WPRO,2008,True,measured
ZAF,South Africa,AFRO,2008,False,measured
SWE,Sweden,EURO,2008,True,measured
THA,Thailand,SEARO,2008,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2008,True,measured
USA,United States of America,AMRO,2008,True,measured
AUS,Australia,WPRO,2009,True,measured
BRA,Brazil,AMRO,2009,False,measured
CHN,China,WPRO,2009,False,measured
JPN,Japan,WPRO,2009,True,measured
NZL,New Zealand,WPRO,2009,True,measured
ZAF,South Africa,AFRO,2009,False,measured
SWE,Sweden,EURO,2009,True,measured
THA,Thailand,SEARO,2009,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2009,True,measured
USA,United States of America,AMRO,2009,True,measured
AUS,Australia,WPRO,2010,True,measured
BRA,Brazil,AMRO,2010,False,measured
CHN,China,WPRO,2010,False,measured
JPN,Japan,WPRO,2010,True,measured
NZL,New Zealand,WPRO,2010,True,measured
ZAF,South Africa,AFRO,2010,True,measured
SWE,Sweden,EURO,2010,True,measured
THA,Thailand,SEARO,2010,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2010,True,measured
USA,United States of America,AMRO,2010,True,measured
AUS,Australia,WPRO,2011,True,measured
BRA,Brazil,AMRO,2011,False,measured
CHN,China,WPRO,2011,False,measured
JPN,Japan,WPRO,2011,True,measured
NZL,New Zealand,WPRO,2011,True,measured
ZAF,South Africa,AFRO,2011,True,measured
SWE,Sweden,EURO,2011,True,measured
THA,Thailand,SEARO,2011,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2011,True,measured
USA,United States of America,AMRO,2011,True,measured
AUS,Australia,WPRO,2012,True,measured
BRA,Brazil,AMRO,2012,False,measured
CHN,China,WPRO,2012,True,measured
JPN,Japan,WPRO,2012,True,measured
NZL,New Zealand,WPRO,2012,True,measured
ZAF,South Africa,AFRO,2012,True,measured
SWE,Sweden,EURO,2012,True,measured
THA,Thailand,SEARO,2012,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2012,True,measured
USA,United States of America,AMRO,2012,True,measured
AUS,Australia,WPRO,2013,True,measured
BRA,Brazil,AMRO,2013,True,measured
CHN,China,WPRO,2013,True,measured
JPN,Japan,WPRO,2013,True,measured
NZL,New Zealand,WPRO,2013,True,measured
ZAF,South Africa,AFRO,2013,True,measured
SWE,Sweden,EURO,2013,True,measured
THA,Thailand,SEARO,2013,False,measured
GBR,United Kingdom of Great Britain and Northern Ireland,EURO,2013,True,measured
USA,United States of America,AMRO,2013,True,measured
AUS,Australia,WPRO,2014,True,measured
BRA,Brazil,AMRO,2014,True,measured
CHN,China,WPRO,2014,True,measured
JPN,Japan,WPRO,2014,True,measured
NZL,New Zealand,WPRO,2014,True,measured
ZAF,South Africa,AFRO,2014,True,measured
