year,source_age_group,reported_cases,source_sheet,country,iso3,normalized_age_group,age_start_years,age_end_years_exclusive,is_unknown_age,age_group_note,wpp_population_denominator,reported_incidence_per_100k,total_reported_cases_known_age,reported_case_share_known_age,model_age_groups,model_age_alignment,target_role,target_strength,source,source_type
2015,00-04,2894.0,AU,Australia,AUS,00-04,0.0,5.0,False,,1563006.0,185.15603906830813,22571.0,0.12821762438527315,infant_0_2m;infant_3_11m;child_1_4y,exact_union,under5_aggregate_not_infant,secondary_under5_constraint,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,05-09,4464.0,AU,Australia,AUS,05-09,5.0,10.0,False,,1542462.0,289.40745379788933,22571.0,0.19777590713747728,child_5_9y,exact_union,exact_model_age_distribution,secondary_age_distribution_constraint,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,10-14,4293.0,AU,Australia,AUS,10-14,10.0,15.0,False,,1421452.0,302.015122564814,22571.0,0.1901998139205175,adolescent_10_17y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,15-19,1108.0,AU,Australia,AUS,15-19,15.0,20.0,False,,1480151.0,74.8572274045013,22571.0,0.04908953967480395,adolescent_10_17y;young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,20-24,633.0,AU,Australia,AUS,20-24,20.0,25.0,False,,1685529.0,37.55497532228755,22571.0,0.02804483629436002,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,25-29,656.0,AU,Australia,AUS,25-29,25.0,30.0,False,,1794949.0,36.54699938549786,22571.0,0.029063842984360464,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,30-34,769.0,AU,Australia,AUS,30-34,30.0,35.0,False,,1759608.0,43.70291564939464,22571.0,0.03407026715697133,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,35-39,920.0,AU,Australia,AUS,35-39,35.0,40.0,False,,1584826.0,58.05053677816996,22571.0,0.04076026760001772,young_adult_18_39y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,40-44,1222.0,AU,Australia,AUS,40-44,40.0,45.0,False,,1658018.0,73.70245678876829,22571.0,0.0541402684861105,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
2015,45-49,1140.0,AU,Australia,AUS,45-49,45.0,50.0,False,,1575343.0,72.36519285006503,22571.0,0.050507288113065436,middle_adult_40_64y,partial_or_unknown,partial_overlap_descriptive,descriptive_only,data\raw\external\Pertussis case year age.xlsx,local_harmonized_age_series
