iso3,country_name,year,coverage_category,coverage_raw,Drop,source,备注,很多中低收入国家孕期免疫项目主要监测 破伤风类疫苗（TT / Td / TTCV）或者没有全国性的孕期 Tdap 接种项目，百日咳疫苗主要是针对的儿童，文献研究Article多是这个国家的某一地区的某一时间段的抽样研究,coverage_percent,coverage_proportion,source_type
AUS,australia,2015.0,Article,"47.12 [41.14, 53.02]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,47.12,0.47119999999999995,measured
AUS,australia,2019.0,Article,"76.51 [68.94, 83.34]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,76.51,0.7651,measured
AUS,australia,2020.0,Article,"78.18 [68.81, 86.39]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,78.18,0.7818,measured
AUS,australia,2023.0,Article,"72.90 [45.83, 91.37]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,72.9,0.7290000000000001,measured
BRA,brazil,2023.0,Administrative coverage,74.12,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,74.12,0.7412000000000001,measured
BRA,brazil,2021.0,Administrative coverage,42.96,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.96,0.4296,measured
BRA,brazil,2021.0,Official coverage,42.95,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,42.95,0.42950000000000005,measured
BRA,brazil,2015.0,Article,"30.86 [25.63, 36.25]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,30.86,0.3086,measured
BRA,brazil,2019.0,Article,"64.13 [55.42, 72.58]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,64.13,0.6413,measured
BRA,brazil,2020.0,Article,"68.67 [60.06, 76.86]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,68.67,0.6867,measured
BRA,brazil,2023.0,Article,"73.89 [60.77, 85.34]",,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,95% UI,,73.89,0.7389,measured
CHN,china,,,,,,,,,,measured
GBR,united kingdom of great britain and northern ireland,2024.0,Administrative coverage,58.56,,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,,,58.56,0.5856,measured
