region,year,reported_incidence_per_million,source,source_type
Global,2024,137.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2023,22.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2022,9.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2021,4.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2020,9.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2019,23.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2018,23.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2017,23.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2016,26.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2015,24.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2014,28.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2013,26.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2012,39.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2011,27.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2010,26.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2009,26.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2008,24.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2007,30.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2006,20.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2005,25.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2004,41.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2003,20.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2002,23.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2001,30.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Global,2000,33.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2024,6.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2023,8.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2022,7.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2021,6.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2020,4.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2019,8.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2018,16.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2017,10.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2016,3.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2015,11.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2014,17.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2013,18.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2012,32.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2011,10.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2010,12.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2009,29.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2008,37.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2007,42.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2006,38.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2005,47.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2004,55.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2003,39.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2002,37.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2001,93.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
African Region,2000,113.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2024,8.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2023,5.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2022,2.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2021,8.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2020,1.0,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2019,3.2,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2018,5.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2017,3.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2016,2.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2015,2.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2014,3.9,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2013,13.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2012,22.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2011,13.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2010,10.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2009,16.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2008,12.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2007,24.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2006,18.3,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2005,10.5,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2004,154.7,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2003,2.6,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2002,5.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2001,9.4,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
Eastern Mediterranean Region,2000,4.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2024,323.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2023,95.1,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
European Region,2022,6.8,WHO/UNICEF Joint Reporting Form via WHO Immunization Data Portal,measured
