country,iso3,seasonal_amplitude,seasonal_phase,seasonal_concentration,multi_year_period_years,multi_year_amplitude,multi_year_supported,observed_peak_years,observed_mean_annual_reported_incidence_per_100k,observed_peak_annual_reported_incidence_per_100k,observed_record_count,observed_first_year,observed_last_year,source,source_type
Australia,AUS,0.16461803009747072,300.4467734247315,0.15385096381358312,4.0,0.0,False,2024,54.978665659530755,213.7465850178017,137,2015,2026,PertussisIncidence reported case time series,derived
China,CHN,0.2993511246984506,155.33919112558587,0.39882022672445555,4.0,0.0,False,2024,4.430832490427902,34.7328262730072,135,2015,2025,PertussisIncidence reported case time series,derived
United_Kingdom,GBR,0.1959377729440335,133.5627586469978,0.21079595080733363,4.0,0.0,False,,7.268426842942312,41.885626971768126,535,2015,2025,PertussisIncidence reported case time series,derived
Japan,JPN,0.27940722987956446,191.35391167843954,0.3625585997810262,4.0,0.0,False,2019,7.836584827693876,61.01009977241965,590,2015,2026,PertussisIncidence reported case time series,derived
New_Zealand,NZL,0.1962753373188827,358.273633892164,0.21140970421615035,4.0,0.0,False,2018,25.11070274470987,57.80650585947764,136,2015,2026,PertussisIncidence reported case time series,derived
Sweden,SWE,0.20593967989699474,281.9472471904486,0.2289812361763541,4.0,0.0,False,2024,5.954795201043958,23.928044164133492,136,2015,2026,PertussisIncidence reported case time series,derived
United_States,USA,0.10425214743289625,335.76850853996945,0.04409481351435682,4.0,0.0,False,2024,1.438792831407114,3.262596844714746,590,2015,2026,PertussisIncidence reported case time series,derived
Brazil,BRA,0.18004913178428578,325.8329716224449,0.181907512335065,4.0,0.0,False,2018;2024,0.8601273820862417,3.6452264989871317,136,2015,2026,PertussisIncidence reported case time series,derived
Thailand,THA,0.23592553818564382,28.67334487760275,0.2835009785193524,4.0,0.0,False,2018;2024,0.1976821449825874,1.7866992086772107,216,2008,2025,PertussisIncidence reported case time series,derived
South_Africa,ZAF,0.20071261756349512,184.59205571399212,0.21947748647908205,4.0,0.0,False,,2.2755885830098617,4.241009393809799,32,2023,2025,PertussisIncidence reported case time series,derived
