country,description,total_population,seasonal_phase,seasonal_amplitude,multi_year_period_years,multi_year_amplitude,observed_mean_annual_reported_incidence_per_100k,observed_peak_annual_reported_incidence_per_100k,vaccine_product,adolescent_booster,maternal_program,contact_source,source_type_note,source_or_assumption
Australia,"Data-derived profile for Australia; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",26713206.0,300.4467734247315,0.16461803009747072,4.0,0.0,54.978665659530755,213.7465850178017,aP,True,True,Prem/contactdata 2017 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
China,"Data-derived profile for China; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",1419321285.0,155.33919112558587,0.2993511246984506,4.0,0.0,4.430832490427902,34.7328262730072,aP,False,False,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
United_Kingdom,"Data-derived profile for United_Kingdom; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",69138185.0,133.5627586469978,0.1959377729440335,4.0,0.0,7.268426842942312,41.885626971768126,aP,False,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Japan,"Data-derived profile for Japan; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",123753042.0,191.35391167843954,0.27940722987956446,4.0,0.0,7.836584827693876,61.01009977241965,aP,False,False,Prem/contactdata 2017 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
New_Zealand,"Data-derived profile for New_Zealand; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",5213946.0,358.273633892164,0.1962753373188827,4.0,0.0,25.11070274470987,57.80650585947764,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Sweden,"Data-derived profile for Sweden; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",10606995.0,281.9472471904486,0.20593967989699474,4.0,0.0,5.954795201043958,23.928044164133492,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
United_States,"Data-derived profile for United_States; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",345426570.0,335.76850853996945,0.10425214743289625,4.0,0.0,1.438792831407114,3.262596844714746,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Brazil,"Data-derived profile for Brazil; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",211998565.0,325.8329716224449,0.18004913178428578,4.0,0.0,0.8601273820862417,3.6452264989871317,wP,False,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
Thailand,"Data-derived profile for Thailand; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",71668012.0,28.67334487760275,0.23592553818564382,4.0,0.0,0.1976821449825874,1.7866992086772107,wP,False,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
South_Africa,"Data-derived profile for South_Africa; WPP 2024 population, harmonized surveillance-derived seasonality using all available records, Prem/contactdata-derived contact matrix; annual demographic trajectory embedded for 2008-2050.",64007189.0,184.59205571399212,0.20071261756349512,4.0,0.0,2.2755885830098617,4.241009393809799,aP,True,True,Prem/contactdata 2020 country matrix aggregated to project age groups with population-weighted reciprocity correction,population=derived; observed_incidence=derived; vaccine_coverage=measured; birth_entry=derived; reporting_rate=assumption; reporting_rate_prior=literature_prior; seasonality=derived; multi_year_cycle=derived; contact_matrix=derived; vaccine_schedule=measured; demography_trajectory=derived,"WPP population, PertussisIncidence seasonality/cycles, WUENIC/JRF schedule metadata, Prem/contactdata contacts"
