scenario,VE_sus,VE_sym,VE_inf,VE_dur,description
no_vaccine,0.0,0.0,0.0,0.0,No vaccine protection.
symptom_protective,0.15,0.85,0.25,0.0,"aP-like disease protection with moderate infection/transmission blocking. The high VE_sym value is literature-supported for disease protection, while VE_sus, VE_inf, and VE_dur are a mechanistic decomposition of that evidence rather than directly observed surveillance parameters. VE_inf = 0.25 represents a population-average residual transmission-blocking assumption across recently and distantly vaccinated individuals.
"
infection_blocking,0.7,0.85,0.4,0.1,"Stronger reduction in susceptibility to infection. VE_inf = 0.40 represents a plausible upper mechanism bound for recently boosted or more infection-blocking protection, not a direct empirical estimate for current aP products.
"
transmission_blocking,0.3,0.85,0.55,0.3,"Strong reduction in onward infectiousness and duration. Represents an improved aP formulation or wP-like transmission blocking.
"
next_generation,0.8,0.9,0.65,0.4,"Strong infection, symptom, and transmission protection. Represents an upper-bound high-transmission-blocking pertussis vaccine profile with mucosal immunity induction (e.g. live-attenuated nasal or outer membrane vesicle platforms).
"
