parameter,prior,interpretation
log_beta_S,"Normal(log calibrated sensitive-strain transmission coefficient, 0.8)",Transmission-rate uncertainty
log_reporting_multiplier,"Normal(log calibrated reporting multiplier, 0.8)",Surveillance/reporting uncertainty
VE_sus,"Beta(mean=0.45, sd=0.05)","Literature-informed decomposition parameter for reduced susceptibility after aP vaccination. Aggregate studies support high disease protection and waning protection; [0.30, 0.60] is retained as a modelling range for sensitivity and pilot uncertainty runs."
VE_inf,"Beta(mean=0.25, sd=0.05)","Literature-informed decomposition parameter for reduced onward infectiousness among vaccinated infections. It is motivated by aP transmission-blocking evidence and waning studies; range [0.12, 0.38] spans weak-to-moderate residual transmission blocking.
"
VE_dur,"Beta(mean=0.1, sd=0.1)","Mechanistic duration-shortening proxy fixed at the prior mean during the primary conditional transmission analysis; treated as a vaccine-scenario assumption for sensitivity and pilot context.
"
relative_infectiousness_asymptomatic,"Beta(mean=0.45, sd=0.1)","Relative infectiousness of asymptomatic/subclinical infections compared to symptomatic cases. The exact ratio is weakly identified; range [0.20, 0.70] spans minimal subclinical transmission to near-equal infectiousness.
"
infectious_duration_symptomatic,"Log-normal around baseline, log_sd=0.15","Clinical natural-history nuisance parameter centered on the CDC-aligned 21-day symptomatic infectious window; uncertainty range captures plausible variation around the clinical anchor.
"
infectious_duration_asymptomatic,"Log-normal around baseline, log_sd=0.2","Modelling assumption centred on a shorter mild/asymptomatic infectious window than symptomatic pertussis; uncertainty range captures plausible mild-infection duration.
"
fitness_R,"Truncated normal(mean=1.0, sd=0.12, range=0.7-1.25)","Epidemiologically motivated prior centred on fitness-neutral (1.0), because MRBP reached near-fixation in China within 8 years and spread internationally without clear transmission disadvantage. SD of 0.12 allows modest fitness costs or advantages.
"
resistance_prevalence,"Fixed country timeline, floor_sd=0.03","Resistance prevalence is fixed at the country-timeline value during the primary conditional transmission analysis. The country_resistance_timeline.csv provides well-constrained estimates for most countries; fixed, low-to-very-high resistance scenarios and the fitness grid evaluate the corresponding structural uncertainty."
maternal_VE_sus,"Beta(mean=0.55, sd=0.12)","Prior for maternal antibody protection against infant infection. Centered on 0.55 using maternal Tdap effectiveness evidence for confirmed pertussis in infants younger than 2 months [36], which combines infection prevention and disease prevention. The infection-blocking component is a decomposed model assumption guided by maternal immunization effectiveness studies [10,12]. SD of 0.12 allows exploration of [0.30, 0.80].
"
maternal_VE_sym,"Beta(mean=0.92, sd=0.05)","Prior for maternal antibody protection against symptomatic disease given infection. High confidence based on consistent estimates of VE against hospitalization (>90%) across US, UK, and Argentina studies [10,36,37]. Narrow SD reflects strong evidence consensus.
"
