country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
Australia,AUS,infant_0_2m,infant_0_2m,0.086662,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,infant_3_11m,0.43331,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,child_1_4y,2.083394,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,child_5_9y,1.05034,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,adolescent_10_17y,0.473718,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,young_adult_18_39y,3.30127,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,middle_adult_40_64y,1.916087,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_0_2m,elderly_65plus,0.530858,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,infant_0_2m,0.086662,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,infant_3_11m,0.43331,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,child_1_4y,2.083394,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,child_5_9y,1.05034,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,adolescent_10_17y,0.473718,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,young_adult_18_39y,3.30127,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,middle_adult_40_64y,1.916087,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,infant_3_11m,elderly_65plus,0.530858,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,infant_0_2m,0.086662,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,infant_3_11m,0.43331,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,child_1_4y,2.083394,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,child_5_9y,1.05034,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,adolescent_10_17y,0.473718,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,young_adult_18_39y,3.30127,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,middle_adult_40_64y,1.916087,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_1_4y,elderly_65plus,0.530858,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_5_9y,infant_0_2m,0.033908,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
Australia,AUS,child_5_9y,infant_3_11m,0.169542,Prem/contactdata 2017 matrix aggregated with WPP age weights and reciprocity balanced,derived
