config_key,iso3,country_name,dtp1_coverage,dtp1_coverage_year,dtp1_coverage_category,dtp1_coverage_source_type,dtp1_coverage_source,dtp3_coverage,dtp3_coverage_year,dtp3_coverage_category,dtp3_coverage_source_type,dtp3_coverage_source,dtp_source_type,dtp_source,maternal_program,maternal_program_note,maternal_coverage,maternal_coverage_raw,maternal_coverage_year,maternal_coverage_category,maternal_coverage_source_type,maternal_coverage_source,adult_program,risk_program,adolescent_booster,routine_dose_count,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_scheduler_code,schedule_note,schedule_source_type,schedule_source
Australia,AUS,Australia,0.93,2024,WHO/UNICEF Estimates of National Immunization Coverage,wuenic,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.9266,2024,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,mixed,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,20-32w,0.7290000000000001,"72.90 [45.83, 91.37]",2023,Article,article,https://www.sciencedirect.com/science/article/pii/S2589537025005851#appsec1,False,False,True,6,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,aP,Routine schedule: M2;M4;M6;M18;Y4;Y12-Y13. Maternal programme: 20-32w.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
China,CHN,China,0.9959,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.988,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,False,No routine maternal programme recorded,0.0,0,2024.0,No routine maternal programme,derived_no_program,No routine maternal programme recorded in schedule sources.,False,False,False,4,M3;M4;M5;M18,3.0,18.0,aP,Routine schedule: M3;M4;M5;M18. Maternal programme: No routine maternal programme recorded.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
United_Kingdom,GBR,United Kingdom,0.92,2024,WHO/UNICEF Estimates of National Immunization Coverage,wuenic,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.917,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,mixed,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,16-32w,0.5856,58.56,2024,Official coverage,official,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,False,False,False,4,W8;W12;W16;M40,1.83908045977012,40.0,aP,Routine schedule: W8;W12;W16;M40. Maternal programme: 16-32w.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
Japan,JPN,Japan,0.9782,2024,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.9862000000000001,2024,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,False,No routine maternal programme recorded,0.0,0,2024.0,No routine maternal programme,derived_no_program,No routine maternal programme recorded in schedule sources.,False,False,False,4,M2;M3;M4;Y1,3.0,18.0,aP,Routine schedule: M2;M3;M4;Y1. Maternal programme: No routine maternal programme recorded.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
New_Zealand,NZL,New Zealand,0.9201,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.8791,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,16-26w,0.6125,"61.25 [36.94, 81.21]",2023,Article,article,https://www.sciencedirect.com/science/article/pii/S2589537025005851,True,True,True,5,W6;M3;M5;Y4;Y11-Y13,1.37931034482759,156.0,aP,"Routine schedule: W6;M3;M5;Y4;Y11-Y13. Maternal programme: 16-26w. Adult/risk doses: adult doses, risk-group doses.",measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
Sweden,SWE,Sweden,0.97,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.95,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,16-36w,0.6,60+,2024,Article,article,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2024/september/kikhostefallen-fortsatt-pa-en-mycket-hog-niva/,False,False,True,5,M3;M5;M12;Y5;Y14-Y16,3.0,192.0,aP,Routine schedule: M3;M5;M12;Y5;Y14-Y16. Maternal programme: 16-36w.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
United_States,USA,United States,0.98,2024,WHO/UNICEF Estimates of National Immunization Coverage,wuenic,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.94,2024,WHO/UNICEF Estimates of National Immunization Coverage,wuenic,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,wuenic,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,27-36w,0.57,"57.00 [46.46, 67.15]",2023,Article,article,https://www.sciencedirect.com/science/article/pii/S2589537025005851,True,False,True,6,M2;M4;M6;M15;Y4;Y11-Y12,2.0,144.0,aP,Routine schedule: M2;M4;M6;M15;Y4;Y11-Y12. Maternal programme: 27-36w. Adult/risk doses: adult doses.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
Brazil,BRA,Brazil,0.8891,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.8891,2025,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,20-32w,0.7412000000000001,74.12,2023,Administrative coverage,administrative,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine,True,True,False,5,M2;M4;M6;M15;Y4,2.0,48.0,wP,"Routine schedule: M2;M4;M6;M15;Y4. Maternal programme: 20-32w. Adult/risk doses: adult doses, risk-group doses.",measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
Thailand,THA,Thailand,0.9203,2024,Administrative coverage,administrative,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.8922,2024,Administrative coverage,administrative,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,administrative,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,NA,0.0,0,2023,Administrative coverage,administrative,https://immunizationdata.who.int/global/wiise-detail-page/protection-at-birth-(pab)-against-neonatal-tetanus-vaccination-coverage-and-vaccination-coverage-among-pregnant-women-of-tetanus-toxoid-containing-vaccine-(tt2-td2-)-and-pertussis-containing-vaccine?CODE=THA&ANTIGEN=PERCV_PW&YEAR=,False,False,False,5,M2;M4;M6;Y1.5;Y4,2.0,48.0,wP,Routine schedule: M2;M4;M6;Y1.5;Y4. Maternal programme: NA.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
South_Africa,ZAF,South Africa,0.759,2024,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,0.7390000000000001,2024,Official coverage,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,official,Diphtheria Tetanus Toxoid and Pertussis (DTP) vaccination coverage 2026-30-04 12-11 UTC.xlsx,True,26-34w,,,,,missing,,False,False,True,6,W6;W10;W14;M18;Y6;Y12,1.37931034482759,18.0,aP,Routine schedule: W6;W10;W14;M18;Y6;Y12. Maternal programme: 26-34w.,measured,Vaccination schedule for Pertussis 2026-30-04 10-54 UTC.xlsx; VaccineSchedule.xlsx
