country,contactdata_country,data_source,location,source_age_bin,target_age_bin,contacts_per_day
Australia,Australia,2017,all,"[00,05)","[00,05)",2.603366975136767
Australia,Australia,2017,all,"[00,05)","[05,10)",1.0838327258152411
Australia,Australia,2017,all,"[00,05)","[10,15)",0.4223908533132184
Australia,Australia,2017,all,"[00,05)","[15,20)",0.27299688016797724
Australia,Australia,2017,all,"[00,05)","[20,25)",0.4024179231521816
Australia,Australia,2017,all,"[00,05)","[25,30)",0.7606154730693668
Australia,Australia,2017,all,"[00,05)","[30,35)",1.1496765188629947
Australia,Australia,2017,all,"[00,05)","[35,40)",1.0641302931977712
Australia,Australia,2017,all,"[00,05)","[40,45)",0.528752948294608
Australia,Australia,2017,all,"[00,05)","[45,50)",0.3003393531725983
Australia,Australia,2017,all,"[00,05)","[50,55)",0.3285097840651058
Australia,Australia,2017,all,"[00,05)","[55,60)",0.2577096393995285
Australia,Australia,2017,all,"[00,05)","[60,65)",0.18250838064342095
Australia,Australia,2017,all,"[00,05)","[65,70)",0.15146688191441016
Australia,Australia,2017,all,"[00,05)","[70,75)",0.08213134941242754
Australia,Australia,2017,all,"[00,05)","[75,80)",0.04253345872895899
Australia,Australia,2017,all,"[05,10)","[00,05)",0.9861402545265773
Australia,Australia,2017,all,"[05,10)","[05,10)",5.8131326440299445
Australia,Australia,2017,all,"[05,10)","[10,15)",1.0805359574319997
Australia,Australia,2017,all,"[05,10)","[15,20)",0.2912165997625352
Australia,Australia,2017,all,"[05,10)","[20,25)",0.18774698483766178
Australia,Australia,2017,all,"[05,10)","[25,30)",0.4729792750090775
Australia,Australia,2017,all,"[05,10)","[30,35)",0.8271282942356941
Australia,Australia,2017,all,"[05,10)","[35,40)",1.0495133074381204
Australia,Australia,2017,all,"[05,10)","[40,45)",0.8687311853152277
Australia,Australia,2017,all,"[05,10)","[45,50)",0.36093863924079095
Australia,Australia,2017,all,"[05,10)","[50,55)",0.2231403736046376
Australia,Australia,2017,all,"[05,10)","[55,60)",0.18269071837464967
Australia,Australia,2017,all,"[05,10)","[60,65)",0.1651271015598653
Australia,Australia,2017,all,"[05,10)","[65,70)",0.12640902334896056
Australia,Australia,2017,all,"[05,10)","[70,75)",0.05288678567360219
Australia,Australia,2017,all,"[05,10)","[75,80)",0.039805646491384246
Australia,Australia,2017,all,"[10,15)","[00,05)",0.24893883490258895
Australia,Australia,2017,all,"[10,15)","[05,10)",1.725756327673181
Australia,Australia,2017,all,"[10,15)","[10,15)",7.624352980129311
Australia,Australia,2017,all,"[10,15)","[15,20)",0.9053644260331841
Australia,Australia,2017,all,"[10,15)","[20,25)",0.3399408081612164
Australia,Australia,2017,all,"[10,15)","[25,30)",0.29872249354680847
Australia,Australia,2017,all,"[10,15)","[30,35)",0.4846589748719199
Australia,Australia,2017,all,"[10,15)","[35,40)",0.7560556731265307
Australia,Australia,2017,all,"[10,15)","[40,45)",1.0749034583873969
Australia,Australia,2017,all,"[10,15)","[45,50)",0.5946830741908657
Australia,Australia,2017,all,"[10,15)","[50,55)",0.29195390557640843
Australia,Australia,2017,all,"[10,15)","[55,60)",0.14174520611077296
Australia,Australia,2017,all,"[10,15)","[60,65)",0.09804811200663532
Australia,Australia,2017,all,"[10,15)","[65,70)",0.09859848281179015
Australia,Australia,2017,all,"[10,15)","[70,75)",0.06252018095656847
Australia,Australia,2017,all,"[10,15)","[75,80)",0.05116725481727206
Australia,Australia,2017,all,"[15,20)","[00,05)",0.14241841268580613
Australia,Australia,2017,all,"[15,20)","[05,10)",0.35243671722689174
Australia,Australia,2017,all,"[15,20)","[10,15)",2.8257718487129955
Australia,Australia,2017,all,"[15,20)","[15,20)",10.394360956464956
Australia,Australia,2017,all,"[15,20)","[20,25)",1.61575711648512
Australia,Australia,2017,all,"[15,20)","[25,30)",0.8101517129254696
Australia,Australia,2017,all,"[15,20)","[30,35)",0.6403508479652549
Australia,Australia,2017,all,"[15,20)","[35,40)",0.8259620918905676
