Iso3,Location,Time,Variant,Sex,AgeStart,AgeEnd,Age,Value
ZAF,South Africa,1990,Medium,Male,0,1,0,581588.0
ZAF,South Africa,1990,Medium,Female,0,1,0,563033.0
ZAF,South Africa,1990,Medium,Both sexes,0,1,0,1144621.0
ZAF,South Africa,1990,Medium,Male,1,2,1,583751.0
ZAF,South Africa,1990,Medium,Female,1,2,1,566709.0
ZAF,South Africa,1990,Medium,Both sexes,1,2,1,1150460.0
ZAF,South Africa,1990,Medium,Male,2,3,2,588730.0
ZAF,South Africa,1990,Medium,Female,2,3,2,572543.0
ZAF,South Africa,1990,Medium,Both sexes,2,3,2,1161273.0
ZAF,South Africa,1990,Medium,Male,3,4,3,592907.0
ZAF,South Africa,1990,Medium,Female,3,4,3,577146.0
ZAF,South Africa,1990,Medium,Both sexes,3,4,3,1170053.0
ZAF,South Africa,1990,Medium,Male,4,5,4,593971.0
ZAF,South Africa,1990,Medium,Female,4,5,4,578692.0
ZAF,South Africa,1990,Medium,Both sexes,4,5,4,1172664.0
ZAF,South Africa,1990,Medium,Male,5,6,5,587435.0
ZAF,South Africa,1990,Medium,Female,5,6,5,572789.0
ZAF,South Africa,1990,Medium,Both sexes,5,6,5,1160225.0
ZAF,South Africa,1990,Medium,Male,6,7,6,574705.0
ZAF,South Africa,1990,Medium,Female,6,7,6,560049.0
ZAF,South Africa,1990,Medium,Both sexes,6,7,6,1134754.0
ZAF,South Africa,1990,Medium,Male,7,8,7,553308.0
ZAF,South Africa,1990,Medium,Female,7,8,7,538408.0
ZAF,South Africa,1990,Medium,Both sexes,7,8,7,1091716.0
ZAF,South Africa,1990,Medium,Male,8,9,8,523441.00000000006
ZAF,South Africa,1990,Medium,Female,8,9,8,507955.0
ZAF,South Africa,1990,Medium,Both sexes,8,9,8,1031396.9999999999
ZAF,South Africa,1990,Medium,Male,9,10,9,488434.0
ZAF,South Africa,1990,Medium,Female,9,10,9,471305.0
ZAF,South Africa,1990,Medium,Both sexes,9,10,9,959739.0
ZAF,South Africa,1990,Medium,Male,10,11,10,456872.0
ZAF,South Africa,1990,Medium,Female,10,11,10,438553.0
ZAF,South Africa,1990,Medium,Both sexes,10,11,10,895425.0
ZAF,South Africa,1990,Medium,Male,11,12,11,434411.0
ZAF,South Africa,1990,Medium,Female,11,12,11,416829.0
ZAF,South Africa,1990,Medium,Both sexes,11,12,11,851240.0
ZAF,South Africa,1990,Medium,Male,12,13,12,420897.0
ZAF,South Africa,1990,Medium,Female,12,13,12,404392.0
ZAF,South Africa,1990,Medium,Both sexes,12,13,12,825289.0
ZAF,South Africa,1990,Medium,Male,13,14,13,415495.0
ZAF,South Africa,1990,Medium,Female,13,14,13,399245.0
ZAF,South Africa,1990,Medium,Both sexes,13,14,13,814740.0
ZAF,South Africa,1990,Medium,Male,14,15,14,414221.0
ZAF,South Africa,1990,Medium,Female,14,15,14,396534.0
ZAF,South Africa,1990,Medium,Both sexes,14,15,14,810756.0
ZAF,South Africa,1990,Medium,Male,15,16,15,414567.0
ZAF,South Africa,1990,Medium,Female,15,16,15,395168.0
ZAF,South Africa,1990,Medium,Both sexes,15,16,15,809735.0
ZAF,South Africa,1990,Medium,Male,16,17,16,413897.0
ZAF,South Africa,1990,Medium,Female,16,17,16,394077.0
ZAF,South Africa,1990,Medium,Both sexes,16,17,16,807975.0
ZAF,South Africa,1990,Medium,Male,17,18,17,412930.0
