country,optimization_constraint,preferred_strategy_primary_infant_cases,preferred_strategy_label,preferred_infant_cases_per_100k,preferred_infant_case_reduction,preferred_resistant_infection_reduction,secondary_resistance_preferred_strategy,secondary_resistance_preferred_label,non_dominated_strategy_labels,non_dominated_strategy_count
Australia,future_product_target,combined_strategy,Combined future stress-test profile,915.3394332626054,0.6612032711171504,0.390017273218497,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
Australia,program_only,timeliness_only,Routine timeliness,1949.963632071288,0.27825539250340725,0.019865835178716096,timeliness_only,Routine timeliness,Current practice; Routine timeliness,2
Australia,program_plus_resistance,timeliness_only,Routine timeliness,1949.963632071288,0.27825539250340725,0.019865835178716096,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
Brazil,future_product_target,combined_strategy,Combined future stress-test profile,3.0427058177879256,0.995214473293358,0.9999500012888615,combined_strategy,Combined future stress-test profile,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,6
Brazil,program_only,maternal_immunization,Infant-exposure reduction,443.9044201949483,0.3018331099837477,0.16609600165961147,maternal_immunization,Infant-exposure reduction,Current practice; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
Brazil,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,250.6425935498672,0.6057927065302293,0.6367261632486754,resistance_guided_treatment,Resistance-guided management,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,4
China,future_product_target,combined_strategy,Combined future stress-test profile,0.8842833757404495,0.9970057101604607,0.9962939540269937,combined_strategy,Combined future stress-test profile,Current practice; Adolescent booster; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
China,program_only,maternal_immunization,Infant-exposure reduction,136.61782256582717,0.5373956253940616,0.4335839787009763,maternal_immunization,Infant-exposure reduction,Current practice; Adolescent booster; Close-contact adult adjunct; Infant-exposure reduction,4
China,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,69.78286962523441,0.7637068125160992,0.740383273405881,resistance_guided_treatment,Resistance-guided management,Current practice; Adolescent booster; Resistance-guided management,3
Japan,future_product_target,combined_strategy,Combined future stress-test profile,24.183136339407675,0.9616569249955954,0.9424083418499021,combined_strategy,Combined future stress-test profile,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,7
Japan,program_only,maternal_immunization,Infant-exposure reduction,409.08586422758,0.3513823122371741,0.18741600322809082,maternal_immunization,Infant-exposure reduction,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,6
Japan,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,326.3798090537408,0.4825151989042066,0.4162982880745286,resistance_guided_treatment,Resistance-guided management,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,5
New_Zealand,future_product_target,combined_strategy,Combined future stress-test profile,608.1708462682527,0.7199333948361828,0.5121605918369443,combined_strategy,Combined future stress-test profile,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,7
New_Zealand,program_only,timeliness_only,Routine timeliness,1521.494784274432,0.2993418187983299,-9.963154898207094e-06,targeted_pep_high_risk,Targeted high-risk PEP,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,6
New_Zealand,program_plus_resistance,timeliness_only,Routine timeliness,1521.494784274432,0.2993418187983299,-9.963154898207094e-06,resistance_guided_treatment,Resistance-guided management,Current practice; Pregnancy Tdap scale-up; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,5
South_Africa,future_product_target,combined_strategy,Combined future stress-test profile,1.870854751585832,0.9969058102097182,0.9999368963796027,combined_strategy,Combined future stress-test profile,Current practice; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,5
South_Africa,program_only,timeliness_only,Routine timeliness,439.26146311131714,0.2735094302370664,0.0622200729121708,maternal_immunization,Infant-exposure reduction,Current practice; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,4
South_Africa,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,225.1214338399601,0.6276736921608921,0.6375829428000221,resistance_guided_treatment,Resistance-guided management,Current practice; Routine timeliness; Resistance-guided management,3
Sweden,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,9.357959175575582,0.9884534313669073,0.9962858711852064,next_generation_vaccine,High-transmission-blocking vaccine target,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target,5
Sweden,program_only,maternal_immunization,Infant-exposure reduction,631.6894026188705,0.2205731073102829,0.07918797124759414,maternal_immunization,Infant-exposure reduction,Current practice; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
Sweden,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,389.59792735605294,0.5192841598124808,0.5393111940854105,resistance_guided_treatment,Resistance-guided management,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,4
Thailand,future_product_target,combined_strategy,Combined future stress-test profile,3.32565042158457,0.9942612655844636,0.9999359676276589,combined_strategy,Combined future stress-test profile,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; High-transmission-blocking vaccine target; Combined future stress-test profile,6
Thailand,program_only,maternal_immunization,Infant-exposure reduction,320.55585395061684,0.44684958490268756,0.31820388585819515,maternal_immunization,Infant-exposure reduction,Current practice; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
Thailand,program_plus_resistance,resistance_guided_treatment,Resistance-guided management,222.22711150270223,0.6165254277573304,0.6742646835963575,resistance_guided_treatment,Resistance-guided management,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management,4
United_Kingdom,future_product_target,combined_strategy,Combined future stress-test profile,546.278028798307,0.779637413744196,0.6034935654282624,combined_strategy,Combined future stress-test profile,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; Infant-exposure reduction; High-transmission-blocking vaccine target; Combined future stress-test profile,7
United_Kingdom,program_only,timeliness_only,Routine timeliness,1605.2217078070105,0.35247110738749243,0.023866064523186292,targeted_pep_high_risk,Targeted high-risk PEP,Current practice; Targeted high-risk PEP; Routine timeliness; Close-contact adult adjunct; Infant-exposure reduction,5
United_Kingdom,program_plus_resistance,timeliness_only,Routine timeliness,1605.2217078070105,0.35247110738749243,0.023866064523186292,resistance_guided_treatment,Resistance-guided management,Current practice; Targeted high-risk PEP; Routine timeliness; Resistance-guided management; Infant-exposure reduction,5
United_States,future_product_target,next_generation_vaccine,High-transmission-blocking vaccine target,0.6123788314011931,0.9930080780441526,0.0,current,Current practice,Current practice; Targeted high-risk PEP; High-transmission-blocking vaccine target,3
United_States,program_only,targeted_pep_high_risk,Targeted high-risk PEP,44.98205925046303,0.4864109737874125,0.0,current,Current practice,Current practice; Targeted high-risk PEP,2
United_States,program_plus_resistance,targeted_pep_high_risk,Targeted high-risk PEP,44.98205925046303,0.4864109737874125,0.0,current,Current practice,Current practice; Targeted high-risk PEP,2
