country,scenario,infant_infections,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share
Australia,current,639259.9268476008,0.5393347939568349,0.09642604063103562,0.04996828321557399,0.12740044429046107,0.1718426272573707,0.19012343919342906
Australia,higher_child_coverage,640370.4857058052,0.5393627610595148,0.09643579314140543,0.04995235737695348,0.12741588338333829,0.17185837315385247,0.19013614714537055
Brazil,current,874699.4377091089,0.5023083716029763,0.09778769878879244,0.04327212416064589,0.1200558666220537,0.16123656237554768,0.177743818444729
Brazil,higher_child_coverage,873831.2463887462,0.502015691253301,0.09780238357106097,0.0432251879128096,0.11999554541072806,0.16115053542429786,0.1776444225054655
China,current,16958066.27978741,0.4799891075669397,0.09484968078576562,0.002276475483407681,0.1245912584888305,0.1677693755951255,0.18535199799957602
China,higher_child_coverage,16975354.78073215,0.4799732813739433,0.09488223347346328,0.0022745153833099363,0.12459249628899993,0.16776489386409615,0.1853413758375373
Japan,current,1245443.8024733316,0.4691610602250905,0.09355938739249922,0.0022273671976020437,0.12173262198585184,0.16398065297858605,0.18122041806305061
Japan,higher_child_coverage,1248791.6471770762,0.4692869471175439,0.09353788530519937,0.0022299228807491564,0.1217584944268453,0.1640234586566917,0.18127507115325783
New_Zealand,current,93557.26574049323,0.5174930241365515,0.09649087273541923,0.03927098473225138,0.12481212051599085,0.16795591654181766,0.1854540023464917
New_Zealand,higher_child_coverage,93971.56386286096,0.5176201106418944,0.09649700665110356,0.03927422704374813,0.12484302611965466,0.167999310380501,0.18550354709799072
Sweden,current,16318.66357681796,0.5275292659158222,0.09216603830327409,0.05035696230077682,0.12265619172537477,0.16742413733816305,0.18709197455150756
Sweden,higher_child_coverage,15794.565823628041,0.5280510345553996,0.09179370625152526,0.05088243490783187,0.12258167297583461,0.16741659327837938,0.18717033339335365
Thailand,current,219801.22215601045,0.4246086245203647,0.08912298295164546,0.002035932837255607,0.11047313232824335,0.14842536498705614,0.1636741943678097
Thailand,higher_child_coverage,214484.78772958808,0.43684501466755804,0.0918067696323483,0.0020345742618948525,0.11368124825720206,0.15272443780312656,0.16840475434533458
United_Kingdom,current,831878.5193761545,0.5147255261732925,0.09606630768699106,0.03770623861480143,0.12447156727061735,0.1675314948691026,0.18501622541877114
United_Kingdom,higher_child_coverage,869819.48486025,0.514372405634782,0.09620075094672835,0.03755621300816148,0.12444325397112593,0.1674621214536341,0.18491081720186048
United_States,current,2693996.322388997,0.5328635836827037,0.10212478223659446,0.03567047277121056,0.1298552508741197,0.17462585121667945,0.19271200882069403
United_States,higher_child_coverage,2699348.8130276846,0.5329346797343678,0.10211906357322481,0.0356802046921368,0.12987038058315298,0.17464733640117822,0.19273675805789983
