country,strategy,strategy_label,infant_case_reduction,child_1_9_case_reduction,adolescent_case_reduction,primary_case_reduction
Australia,adolescent_booster,Adolescent,-4.3089469402124436e-5,-6.701697728406231e-5,-3.9799121106587343e-4,-1.7365923172563e-4
Australia,higher_child_coverage,Coverage,-0.001555344747077969,-0.0057778045636096564,-8.815002855229181e-4,-0.00360735584662719
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap,0.09588690945027645,0.0016789846545010034,-0.002217762036309301,0.01259061769993286
Australia,targeted_pep_high_risk,Targeted PEP,0.019251727668606278,0.008927585632666712,-0.0021964620377652455,0.00657655856717054
Australia,timeliness_only,Timeliness,0.3270777192528477,0.15723611664934656,0.040013703869454575,0.1402013334381662
Australia,cocooning_adjunct,Adult/contact,0.03774490156451038,-0.004240595127161351,-0.0048060296556289295,0.00101071873576219
Australia,maternal_immunization,Infant exposure,0.13042589473029487,-0.0019381075132987036,-0.006305339968220025,0.01376025960853299
Brazil,adolescent_booster,Adolescent,0.0040759012388688065,0.0065760461419529515,0.04206178404273919,0.02306780114156603
Brazil,higher_child_coverage,Coverage,-0.007432221468121947,-0.02918498766127109,-0.0038567464256817896,-0.01536304381791886
Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap,0.09034633019524396,0.005520310051496113,0.002378538001360342,0.01143185110900746
Brazil,targeted_pep_high_risk,Targeted PEP,0.0793244605836757,0.07574864521099733,0.06366829228128956,0.07037178877691785
Brazil,timeliness_only,Timeliness,0.3041233587947991,0.13639826338713557,0.07759684950584234,0.1235466771489182
Brazil,cocooning_adjunct,Adult/contact,0.23168757426883047,0.17244478547522035,0.13044815345834537,0.15783119078620278
Brazil,maternal_immunization,Infant exposure,0.3018331099837477,0.17794148368385931,0.1333935298353559,0.16775941307521525
China,adolescent_booster,Adolescent,0.24110104844031743,0.2521225425734426,0.42885440741874736,0.34717629662115157
China,higher_child_coverage,Coverage,-0.010512808390471529,-0.025861545024237653,-0.005751938896919162,-0.01365178362162522
China,pregnancy_tdap_scaleup,Pregnancy Tdap,0.13974547311026453,0.015061299282880136,0.011830511543817757,0.02377524784118379
China,targeted_pep_high_risk,Targeted PEP,0.13769554418330898,0.13353582638005745,0.13937106280091782,0.13705406251593089
China,timeliness_only,Timeliness,0.3317724663147671,0.19406198622518844,0.1401937170799713,0.17631400572469025
China,cocooning_adjunct,Adult/contact,0.46123146828067507,0.4236696246448408,0.41991398781198563,0.424783724596264
China,maternal_immunization,Infant exposure,0.5373956253940616,0.43308499842295634,0.42780297670624334,0.4389743999913137
Japan,adolescent_booster,Adolescent,0.021259041924451605,0.027692974828207984,0.10882501531530564,0.06747800919741997
Japan,higher_child_coverage,Coverage,-0.0025832080344565522,-0.016063921481257015,-0.00107201472177465,-0.00737341046116335
Japan,pregnancy_tdap_scaleup,Pregnancy Tdap,0.13405317999796285,0.006362666799934913,0.0016257540860348252,0.0156596287087184
Japan,targeted_pep_high_risk,Targeted PEP,0.050426379284600475,0.04846718559060137,0.0376797771034576,0.04327805781613247
