source_table,column,available,non_missing_values
intervention_scenarios_summary,annualized_child_adolescent_cases_per_100k,True,140
intervention_scenarios_summary,total_child_adolescent_cases,True,140
intervention_scenarios_summary,relative_reduction_child_adolescent_cases,True,140
intervention_scenarios_summary,child_adolescent_population,True,140
intervention_scenarios_summary,annualized_child_1_9_cases_per_100k,True,140
intervention_scenarios_summary,annualized_adolescent_cases_per_100k,True,140
intervention_scenarios_summary,annualized_infant_cases_per_100k,True,140
intervention_scenarios_summary,total_infant_cases,True,140
intervention_scenarios_summary,relative_reduction_infant_cases,True,140
routine_timeliness_sensitivity_summary,annualized_child_adolescent_cases_per_100k,True,40
routine_timeliness_sensitivity_summary,total_child_adolescent_cases,True,40
routine_timeliness_sensitivity_summary,relative_reduction_child_adolescent_cases,True,40
routine_timeliness_sensitivity_summary,child_adolescent_population,True,40
routine_timeliness_sensitivity_summary,annualized_child_1_9_cases_per_100k,True,40
routine_timeliness_sensitivity_summary,annualized_adolescent_cases_per_100k,True,40
routine_timeliness_sensitivity_summary,annualized_infant_cases_per_100k,True,40
routine_timeliness_sensitivity_summary,total_infant_cases,True,40
routine_timeliness_sensitivity_summary,relative_reduction_infant_cases,True,40
vaccine_scenarios_summary,annualized_child_adolescent_cases_per_100k,True,50
vaccine_scenarios_summary,total_child_adolescent_cases,True,50
vaccine_scenarios_summary,relative_reduction_child_adolescent_cases,True,50
vaccine_scenarios_summary,child_adolescent_population,True,50
vaccine_scenarios_summary,annualized_child_1_9_cases_per_100k,True,50
vaccine_scenarios_summary,annualized_adolescent_cases_per_100k,True,50
vaccine_scenarios_summary,annualized_infant_cases_per_100k,True,50
vaccine_scenarios_summary,total_infant_cases,True,50
vaccine_scenarios_summary,relative_reduction_infant_cases,True,50
