country,country_code,age_group,symptomatic_cases,total_child_adolescent_cases,burden_share
Australia,AUS,Infant,210361.21859508049,1623910.937935674,0.12953987418946325
Australia,AUS,Children,875107.4704001569,1623910.937935674,0.5388888330985683
Australia,AUS,Adolescent,538442.2489404365,1623910.937935674,0.3315712927119684
China,CHN,Infant,614572.6797589187,7319802.567598646,0.08396028090693942
China,CHN,Children,2730009.001109627,7319802.567598646,0.37296210873147106
China,CHN,Adolescent,3975220.886730101,7319802.567598646,0.5430776103615896
United_Kingdom,GBR,Infant,438955.0895303687,3389242.331440914,0.12951422371257526
United_Kingdom,GBR,Children,1842040.5184480275,3389242.331440914,0.5434962561868204
United_Kingdom,GBR,Adolescent,1108246.7234625178,3389242.331440914,0.32698952010060434
Japan,JPN,Infant,119908.15085366802,1313797.4396218553,0.09126837002223163
Japan,JPN,Children,540128.3683071106,1313797.4396218553,0.4111199733062149
Japan,JPN,Adolescent,653760.9204610768,1313797.4396218553,0.49761165667155355
New_Zealand,NZL,Infant,30696.436810372703,252717.46225124528,0.12146543628969765
New_Zealand,NZL,Children,131793.1073190251,252717.46225124528,0.5215037621262584
New_Zealand,NZL,Adolescent,90227.91812184751,252717.46225124528,0.3570308015840441
Sweden,SWE,Infant,20354.23435218407,237696.6998472851,0.08563111883867641
Sweden,SWE,Children,106440.02227552052,237696.6998472851,0.44779764440947595
Sweden,SWE,Adolescent,110902.44321958051,237696.6998472851,0.4665712367518476
United_States,USA,Infant,83196.4200650237,1058898.8096910997,0.07856881063951109
United_States,USA,Children,443555.63732768735,1058898.8096910997,0.4188838756529349
United_States,USA,Adolescent,532146.7522983886,1058898.8096910997,0.502547313707554
Brazil,BRA,Infant,352520.17026494746,4045881.035946528,0.08713063165547968
Brazil,BRA,Children,1788228.5603529236,4045881.035946528,0.4419874297995937
Brazil,BRA,Adolescent,1905132.3053286572,4045881.035946528,0.47088193854492666
Thailand,THA,Infant,75271.78585719959,830759.4638011152,0.09060599263328975
Thailand,THA,Children,355528.4913248447,830759.4638011152,0.42795599305981386
Thailand,THA,Adolescent,399959.18661907094,830759.4638011152,0.4814380143068965
South_Africa,ZAF,Infant,169127.24381136068,1832604.852182084,0.09228789480175213
South_Africa,ZAF,Children,804162.2540496779,1832604.852182084,0.43880831871211146
South_Africa,ZAF,Adolescent,859315.3543210458,1832604.852182084,0.46890378648613656
