country,strategy,strategy_label,infant_case_reduction,overall_case_reduction,infant_minus_overall_gap_pp,median_gap_pp,q25_gap_pp,q75_gap_pp,min_gap_pp,max_gap_pp
Australia,adolescent_booster,Adolescent booster scale-up,-4.3089469402124436e-5,-1.7365923172563e-4,0.013056976232350557,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.09588690945027645,0.01259061769993286,8.32962917503436,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
Australia,targeted_pep_high_risk,Targeted high-risk PEP,0.019251727668606278,0.00657655856717054,1.267516910143574,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
Australia,timeliness_only,Routine schedule timeliness,0.27825539250340736,0.1025243853451988,17.573100715820857,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
Australia,cocooning_adjunct,Close-contact adult adjuncts,0.03774490156451038,0.00101071873576219,3.6734182828748194,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
Australia,maternal_immunization,Infant-exposure package,0.13042589473029487,0.01376025960853299,11.666563512176188,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
Brazil,adolescent_booster,Adolescent booster scale-up,0.0040759012388688065,0.02306780114156603,-1.8991899902697222,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
Brazil,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.09034633019524396,0.01143185110900746,7.89144790862365,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
Brazil,targeted_pep_high_risk,Targeted high-risk PEP,0.0793244605836757,0.07037178877691785,0.895267180675785,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
Brazil,timeliness_only,Routine schedule timeliness,0.2541581344110416,0.08800523276497019,16.615290164607146,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
Brazil,cocooning_adjunct,Close-contact adult adjuncts,0.23168757426883047,0.15783119078620278,7.385638348262768,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
Brazil,maternal_immunization,Infant-exposure package,0.3018331099837477,0.16775941307521525,13.407369690853244,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
China,adolescent_booster,Adolescent booster scale-up,0.24110104844031743,0.34717629662115157,-10.607524818083414,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
China,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.13974547311026453,0.02377524784118379,11.597022526908074,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
China,targeted_pep_high_risk,Targeted high-risk PEP,0.13769554418330898,0.13705406251593089,0.06414816673780965,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
China,timeliness_only,Routine schedule timeliness,0.23590852136559448,-0.02514644748113914,26.105496884673364,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
China,cocooning_adjunct,Close-contact adult adjuncts,0.46123146828067507,0.424783724596264,3.644774368441106,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
China,maternal_immunization,Infant-exposure package,0.5373956253940616,0.4389743999913137,9.84212254027479,13.426041288531593,12.81674650261662,13.896746856790749,9.84212254027479,16.349953516742566
Japan,adolescent_booster,Adolescent booster scale-up,0.021259041924451605,0.06747800919741997,-4.621896727296837,-1.3025608129506256,-3.041703024958455,-0.07496939875245597,-10.607524818083414,0.0649185082570942
Japan,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,0.13405317999796285,0.0156596287087184,11.839355128924446,9.062983922556157,8.880577793117231,11.235685363927185,7.89144790862365,11.839355128924446
Japan,targeted_pep_high_risk,Targeted high-risk PEP,0.050426379284600475,0.04327805781613247,0.7148321468468006,0.8499537453941441,0.6918320232233128,1.1034497826900247,-0.3074615747908238,1.267516910143574
Japan,timeliness_only,Routine schedule timeliness,0.2667938778260941,0.01443729154698503,25.235658627910908,17.87647659550608,15.45205949644091,19.949808622211663,11.711491982305034,26.105496884673364
Japan,cocooning_adjunct,Close-contact adult adjuncts,0.25153337766801787,0.1820137320170805,6.951964565093737,6.134251740409785,4.614940313335892,6.77109077280843,3.644774368441106,7.385638348262768
