strategy,maternal_protection_duration_days,median_infant_cases_per_100k_5y,iqr_infant_cases_per_100k_5y,median_infant_case_reduction_vs_current_5y,iqr_infant_case_reduction_vs_current_5y,countries_with_positive_reduction,countries,interpretation
current,90.0,172.69738048444594,66.79-546.7,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_direct_antibody_only,90.0,161.07074811997316,62.36-514.9,0.07827848977692126,0.06311-0.1071,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_immunization,90.0,99.95055632877661,65.26-169.1,0.5156654980396127,0.3451-0.5708,9,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
current,180.0,170.4998611713321,65.82-546.1,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_direct_antibody_only,180.0,154.63454966644048,60.34-511.7,0.09804902455692555,0.07462-0.1358,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_immunization,180.0,95.96961717698457,63.27-159.3,0.5263799747536975,0.3594-0.5818,9,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
current,270.0,172.06841333050812,65.5-548,0.0,0-0,0,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_direct_antibody_only,270.0,151.71137917768885,59.41-508.8,0.10487462289466054,0.09067-0.148,10,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
maternal_immunization,270.0,94.849929447127,62.47-154.6,0.5314380300962074,0.3652-0.5864,9,10,Near-term sensitivity varying passive maternal antibody duration while holding adult boosting and close-contact exposure-reduction assumptions fixed within each strategy.
