country,scenario,scenario_label,relative_reduction_total_infections,primary_case_reduction
Australia,infection_blocking,Inf.-blocking,0.17927692379658633,0.2846657829945013
Australia,transmission_blocking,Trans.-blocking,0.21106467775790871,0.2981985941531039
Australia,next_generation,High-blocking,0.27760395916143765,0.45462517474416697
China,infection_blocking,Inf.-blocking,0.9638062637539634,0.9705999179533822
China,transmission_blocking,Trans.-blocking,0.9372997988781622,0.9442323382422183
China,next_generation,High-blocking,0.9927672495320301,0.9945411329363935
United_Kingdom,infection_blocking,Inf.-blocking,0.274330945783516,0.3749885276498427
United_Kingdom,transmission_blocking,Trans.-blocking,0.25087250237387515,0.3347573240455666
United_Kingdom,next_generation,High-blocking,0.38748674366592184,0.5241806704255624
Japan,infection_blocking,Inf.-blocking,0.3373609909879628,0.45648130444628654
Japan,transmission_blocking,Trans.-blocking,0.31271121756011866,0.3891905100953792
Japan,next_generation,High-blocking,0.5587507780807599,0.6784890158301409
New_Zealand,infection_blocking,Inf.-blocking,0.20192030349269752,0.31639271334845565
New_Zealand,transmission_blocking,Trans.-blocking,0.14784554117126336,0.24715345202258332
New_Zealand,next_generation,High-blocking,0.21015017119714685,0.4155172777360635
Sweden,infection_blocking,Inf.-blocking,0.7074416946376969,0.79039290390046
Sweden,transmission_blocking,Trans.-blocking,0.6682376582549834,0.7365379312209892
Sweden,next_generation,High-blocking,0.9845285572686482,0.9907224445329813
United_States,infection_blocking,Inf.-blocking,0.9646217773461259,0.9706600040896325
United_States,transmission_blocking,Trans.-blocking,0.9403041105959193,0.9460768142891072
United_States,next_generation,High-blocking,0.9932527271937981,0.9948323652946
Brazil,infection_blocking,Inf.-blocking,0.7104131446749022,0.7694390269841861
Brazil,transmission_blocking,Trans.-blocking,0.6769661413043379,0.7207481291817716
Brazil,next_generation,High-blocking,0.9640233260068528,0.9742753084694442
Thailand,infection_blocking,Inf.-blocking,0.6777272388005349,0.7441401889944279
Thailand,transmission_blocking,Trans.-blocking,0.6478511305418861,0.6946194804493571
Thailand,next_generation,High-blocking,0.9032494691194717,0.931169523798554
South_Africa,infection_blocking,Inf.-blocking,0.7849476290933096,0.8071220959562775
South_Africa,transmission_blocking,Trans.-blocking,0.7346212009709905,0.7521520777479055
South_Africa,next_generation,High-blocking,0.9951248616380244,0.9957593608312314
