country,country_code,who_region,primary_cases_per_100k,infant_cases_per_100k,infant_hospitalizations_per_100k,infant_deaths_per_100k,median_primary_cases_per_100k,median_infant_hospitalizations_per_100k,median_infant_deaths_per_100k
Australia,AUS,Western Pacific Region,1072.1423025667305,2701.7363369500385,802.3589093984301,4.611422658250262,372.61097599207517,197.41418523018598,1.1697025119251776
Brazil,BRA,Region of the Americas,356.3272170672158,635.8141964947877,186.7426762498748,1.0271592409159505,372.61097599207517,197.41418523018598,1.1697025119251776
China,CHN,Western Pacific Region,154.38525086572383,295.3232396087969,93.39033367930249,0.5669952485807148,372.61097599207517,197.41418523018598,1.1697025119251776
Japan,JPN,Western Pacific Region,342.0944405222172,630.7041450543462,200.12018201635593,1.217633655935705,372.61097599207517,197.41418523018598,1.1697025119251776
New_Zealand,NZL,Western Pacific Region,903.920157885482,2171.5221845622054,654.8236644771745,3.807707542246853,372.61097599207517,197.41418523018598,1.1697025119251776
South_Africa,ZAF,African Region,345.25858220364154,604.634776270607,192.89044596308128,1.1173134872324,372.61097599207517,197.41418523018598,1.1697025119251776
Sweden,SWE,European Region,469.2966728957474,810.4536917362184,241.91603802536517,1.3911925542860986,372.61097599207517,197.41418523018598,1.1697025119251776
Thailand,THA,South-East Asia Region,303.73271103385906,579.5093797303277,183.9594601793642,1.1025147141018805,372.61097599207517,197.41418523018598,1.1697025119251776
United_Kingdom,GBR,European Region,964.8553970789704,2478.9962673798445,750.041763699351,4.380223633546712,372.61097599207517,197.41418523018598,1.1697025119251776
United_States,USA,Region of the Americas,388.89473491693457,651.0196794036234,194.708188444016,1.1217713679146502,372.61097599207517,197.41418523018598,1.1697025119251776
