country,strategy,strategy_label,age_group,cases_averted_per_100k_aged_under_18,overall_cases_averted_per_100k_aged_under_18,age_group_sum_averted_per_100k_aged_under_18,component_sum_difference_per_100k,median_cases_averted_per_100k_aged_under_18,q25_cases_averted_per_100k_aged_under_18,q75_cases_averted_per_100k_aged_under_18
Australia,adolescent_booster,Adolescent booster scale-up,Infant,1.3215554640495845e-4,-0.008802493794291877,-0.008850200854010021,-4.770705971814462e-5,-0.0028495715748922536,-0.010267252359841298,0.033381926771128854
Australia,adolescent_booster,Adolescent booster scale-up,Children,4.579462339151477e-4,-0.008802493794291877,-0.008850200854010021,-4.770705971814462e-5,4.579462339151477e-4,-0.04668667925142475,0.23326578591508207
Australia,adolescent_booster,Adolescent booster scale-up,Adolescent,-0.009440302634330128,-0.008802493794291877,-0.008850200854010021,-4.770705971814462e-5,-0.1098116191373455,-0.13151213549068558,0.335379817565417
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Infant,21.678673868989165,21.332099457714776,21.103308268657322,-0.22879118905745344,12.589939928057253,4.972527592479469,20.72560518490512
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Children,1.1446746598087405,21.332099457714776,21.103308268657322,-0.22879118905745344,1.2052059898062124,0.7381294984966297,5.004931305160067
Australia,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,Adolescent,-1.7200402601405838,21.332099457714776,21.103308268657322,-0.22879118905745344,0.23864102772660734,-0.20365589189149458,0.5935870947208336
Australia,targeted_pep_high_risk,Targeted high-risk PEP,Infant,3.952572862423018,11.01472416445472,10.955482298478769,-0.0592418659759506,2.59050328650614,1.8580173696085631,3.663302940607838
Australia,targeted_pep_high_risk,Targeted high-risk PEP,Children,6.566048758937892,11.01472416445472,10.955482298478769,-0.0592418659759506,6.566048758937892,2.226775312147632,12.001565326422266
Australia,targeted_pep_high_risk,Targeted high-risk PEP,Adolescent,0.4368606771178577,11.01472416445472,10.955482298478769,-0.0592418659759506,1.8772264609040694,0.2465744121545304,4.10305081029637
Australia,timeliness_only,Routine schedule timeliness,Infant,53.76400179788753,152.57424565469114,151.77886443026094,-0.7953812244302014,40.19504223659523,13.258427446510106,46.36439750895068
Australia,timeliness_only,Routine schedule timeliness,Children,92.31587949097327,152.57424565469114,151.77886443026094,-0.7953812244302014,57.840078539003706,10.034084641622028,86.92721763652101
