country,iso3,first_year,latest_year,source_age_group_count,exact_infant_year_count,under5_year_count,exact_model_aligned_row_count,latest_target_year,latest_preferred_age_group,latest_preferred_target_role,latest_preferred_reported_cases,latest_preferred_case_share,latest_preferred_incidence_per_100k,age_case_data_availability,lancet_endpoint_validation_tier,interpretation_note
Australia,AUS,2015,2025,19,0,11,22,2025.0,00-04,under5_aggregate_not_infant,3468.0,0.1371998259287098,223.96329791768383,under5_only_no_infant_split,age_triangulated_under5,Under-5 data support triangulation but do not split the two infant model strata.
Brazil,BRA,0,0,0,0,0,0,,,,,,,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,No local age-case workbook data were available; age-stratified outputs are aggregate-calibrated model contrasts.
China,CHN,2015,2023,29,9,0,12,2023.0,0-0,direct_infant_under1,15684.0,0.3601295033409106,171.79538998177878,direct_infant_under1_available,age_corrected_direct_infant,Direct under-1 age data support stronger infant-stratum interpretation; child/adolescent endpoints remain conditional model contrasts.
Japan,JPN,2015,2024,13,10,0,30,2024.0,00-01,direct_infant_under1,137.0,0.0345175107079869,18.20723824104789,direct_infant_under1_available,age_corrected_direct_infant,Direct under-1 age data support stronger infant-stratum interpretation; child/adolescent endpoints remain conditional model contrasts.
New_Zealand,NZL,2015,2024,11,10,0,30,2024.0,00-00,direct_infant_under1,120.0,0.068649885583524,202.09505203947592,direct_infant_under1_available,age_corrected_direct_infant,Direct under-1 age data support stronger infant-stratum interpretation; child/adolescent endpoints remain conditional model contrasts.
South_Africa,ZAF,0,0,0,0,0,0,,,,,,,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,No local age-case workbook data were available; age-stratified outputs are aggregate-calibrated model contrasts.
Sweden,SWE,2015,2025,11,0,11,22,2025.0,00-04,under5_aggregate_not_infant,140.0,0.1794871794871795,26.31855984840509,under5_only_no_infant_split,age_triangulated_under5,Under-5 data support triangulation but do not split the two infant model strata.
Thailand,THA,0,0,0,0,0,0,,,,,,,not_available_in_local_age_xlsx,age_unavailable_aggregate_calibrated,No local age-case workbook data were available; age-stratified outputs are aggregate-calibrated model contrasts.
United_Kingdom,GBR,2015,2024,9,10,0,40,2024.0,<1,direct_infant_under1,923.0,0.0480779247838316,133.5009206211915,direct_infant_under1_available,age_corrected_direct_infant,Direct under-1 age data support stronger infant-stratum interpretation; child/adolescent endpoints remain conditional model contrasts.
United_States,USA,2015,2025,12,11,0,32,2025.0,00-00,direct_infant_under1,3590.0,0.124761077324066,97.6928167750812,direct_infant_under1_available,age_corrected_direct_infant,Direct under-1 age data support stronger infant-stratum interpretation; child/adolescent endpoints remain conditional model contrasts.
