country,primary_case_reduction,relative_reduction_resistant_infections,annualized_resistant_infections_per_100k
Australia,0.17120027297267004,0.23089238642516977,2458.4933929136887
Brazil,0.5654787817337104,0.6367261632736521,475.95665259208187
China,0.7476648773457986,0.7403832733062372,133.56095996280064
Japan,0.43920357275319777,0.4162982880820686,748.7805582323479
New_Zealand,0.10906227352407384,0.20629184563801295,2180.3297417219783
South_Africa,0.5798676603842057,0.6375829428368686,474.4196690383797
Sweden,0.4842035930228197,0.5393111941124749,712.7446317869624
Thailand,0.5811027362847028,0.674264683582058,353.9705517536773
United_Kingdom,0.1588220448791774,0.29512261117555716,1969.3446339067664
United_States,0.03646065217661376,0,0
