country,optimization_constraint,strategy,strategy_label,figure2a_row_order,primary_case_reduction,non_dominated_lancet_outcome,preferred_in_constraint
Australia,future_product_target,next_generation_vaccine,"High-
blocking",1,0.4546251746088638,TRUE,FALSE
Australia,future_product_target,transmission_blocking_vaccine,"Transmission
block",1,0.2981985941531039,FALSE,FALSE
Australia,future_product_target,combined_strategy,Combined,1,0.4740596418251424,TRUE,TRUE
Brazil,future_product_target,next_generation_vaccine,"High-
blocking",5,0.9742753084682207,TRUE,FALSE
Brazil,future_product_target,transmission_blocking_vaccine,"Transmission
block",5,0.7207481291817717,FALSE,FALSE
Brazil,future_product_target,combined_strategy,Combined,5,0.9945503511839368,TRUE,TRUE
China,future_product_target,next_generation_vaccine,"High-
blocking",9,0.9945411329480758,TRUE,FALSE
China,future_product_target,transmission_blocking_vaccine,"Transmission
block",9,0.9442323382422184,FALSE,FALSE
China,future_product_target,combined_strategy,Combined,9,0.996953573209151,TRUE,TRUE
Japan,future_product_target,next_generation_vaccine,"High-
blocking",7,0.6784890159247754,TRUE,FALSE
Japan,future_product_target,transmission_blocking_vaccine,"Transmission
block",7,0.3891905100953791,FALSE,FALSE
Japan,future_product_target,combined_strategy,Combined,7,0.955699782469108,TRUE,TRUE
New_Zealand,future_product_target,next_generation_vaccine,"High-
blocking",3,0.4155172776851046,TRUE,FALSE
New_Zealand,future_product_target,transmission_blocking_vaccine,"Transmission
block",3,0.2471534520225832,FALSE,FALSE
New_Zealand,future_product_target,combined_strategy,Combined,3,0.5891438801845936,TRUE,TRUE
South_Africa,future_product_target,next_generation_vaccine,"High-
blocking",6,0.9957593608243532,TRUE,FALSE
South_Africa,future_product_target,transmission_blocking_vaccine,"Transmission
block",6,0.7521520777479055,FALSE,FALSE
South_Africa,future_product_target,combined_strategy,Combined,6,0.9963079368385002,TRUE,TRUE
Sweden,future_product_target,next_generation_vaccine,"High-
blocking",4,0.9907224445325752,TRUE,TRUE
Sweden,future_product_target,transmission_blocking_vaccine,"Transmission
block",4,0.7365379312209892,FALSE,FALSE
Sweden,future_product_target,combined_strategy,Combined,4,0.972359730694664,FALSE,FALSE
Thailand,future_product_target,next_generation_vaccine,"High-
blocking",8,0.931169523825778,TRUE,FALSE
Thailand,future_product_target,transmission_blocking_vaccine,"Transmission
block",8,0.694619480449357,FALSE,FALSE
Thailand,future_product_target,combined_strategy,Combined,8,0.993416852066225,TRUE,TRUE
United_Kingdom,future_product_target,next_generation_vaccine,"High-
blocking",2,0.5241806704064828,TRUE,FALSE
United_Kingdom,future_product_target,transmission_blocking_vaccine,"Transmission
block",2,0.33475732404556646,FALSE,FALSE
United_Kingdom,future_product_target,combined_strategy,Combined,2,0.6603212073394578,TRUE,TRUE
United_States,future_product_target,next_generation_vaccine,"High-
blocking",10,0.994832365290066,TRUE,TRUE
United_States,future_product_target,transmission_blocking_vaccine,"Transmission
block",10,0.9460768142891072,FALSE,FALSE
United_States,future_product_target,combined_strategy,Combined,10,0.9849022860260308,FALSE,FALSE
Australia,program_only,current,Current,1,0,TRUE,FALSE
Australia,program_only,adolescent_booster,Adolescent,1,-1.7365923172563e-4,FALSE,FALSE
Australia,program_only,higher_child_coverage,Coverage,1,-0.00360735584662719,FALSE,FALSE
Australia,program_only,pregnancy_tdap_scaleup,"Pregnancy
Tdap",1,0.01259061769993286,FALSE,FALSE
Australia,program_only,targeted_pep_high_risk,"Targeted
PEP",1,0.00657655856717054,FALSE,FALSE
Australia,program_only,timeliness_only,Timeliness,1,0.1402013334381662,TRUE,TRUE
Australia,program_only,cocooning_adjunct,"Adult/
contact",1,0.00101071873576219,FALSE,FALSE
Australia,program_only,maternal_immunization,"Infant
exposure",1,0.01376025960853299,FALSE,FALSE
Brazil,program_only,current,Current,5,0,TRUE,FALSE
Brazil,program_only,adolescent_booster,Adolescent,5,0.02306780114156603,FALSE,FALSE
Brazil,program_only,higher_child_coverage,Coverage,5,-0.01536304381791886,FALSE,FALSE
