analysis_layer,scenario,policy_read,analysis_window,treatment_component,pep_component,testing_or_uptake_component,median_infant_case_reduction_vs_current,iqr_infant_case_reduction_vs_current,countries_with_positive_reduction,median_infant_cases_per_100k,resistance_metric,median_resistance_metric,end_resistant_fraction,interpretation,source_table
Long-horizon mechanism decomposition,baseline_full_mechanism,Baseline resistant-strain mechanism,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,633.2591707745669,Median resistant infections per 100k,1309.615208991415,0.9989754903230672,"Full baseline mechanism: country anchor, resistant importation, strain-specific treatment and PEP, neutral fitness.",resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,equal_treatment_effect,Treatment differential removed,2025-2050,Equalized with sensitive strain,Baseline strain-specific differential,Not varied,,,,618.5134191373108,Median resistant infections per 100k,1285.6638895635883,0.9984661566689162,Tests treatment-mediated selection by making resistant treatment effects equal to sensitive-strain effects.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,equal_pep_effect,PEP differential removed,2025-2050,Baseline strain-specific differential,Equalized with sensitive strain,Not varied,,,,213.0454798388424,Median resistant infections per 100k,20.928340536551246,0.0491878349973894,Tests PEP-mediated selection by making resistant PEP effectiveness equal to sensitive-strain PEP effectiveness.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,no_treatment_or_pep_differential,Treatment and PEP differentials removed,2025-2050,Equalized with sensitive strain,Equalized with sensitive strain,Not varied,,,,210.06929203506144,Median resistant infections per 100k,7.5537489640937885,0.01,Tests neutral strain competition under importation when treatment and PEP do not favor resistant strains.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,fitness_cost,Fitness-cost stress test,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,206.59245757662532,Median resistant infections per 100k,7.585535279011879,0.0155363183833989,Fitness-cost stress test retaining baseline importation and management assumptions.,resistance_mechanism_decomposition.csv
Long-horizon mechanism decomposition,no_resistant_importation,No ongoing resistant importation,2025-2050,Baseline strain-specific differential,Baseline strain-specific differential,Not varied,,,,629.7398718770307,Median resistant infections per 100k,1310.4021496751088,0.9980689640959776,Tests dependence on ongoing resistant-strain importation after the analysis-start anchor.,resistance_mechanism_decomposition.csv
Near-term implementation sensitivity,current_near_term,Current near-term management,2025-2029,Guided-treatment uptake 0,Baseline resistant-strain PEP,PEP reach multiplier 1,0.0,0-0,0.0,172.69738048444594,,,,Current macrolide treatment and baseline resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_25_pep_restored,25% testing/treatment uptake plus assumed PEP improvement,2025-2029,Guided-treatment uptake 0.25,Assumed improved resistant-strain PEP,PEP reach multiplier 1,-0.1339849968183807,-0.4934-0.02524,4.0,231.8842103361306,,,,Quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_pep_restored,50% testing/treatment uptake plus assumed PEP improvement,2025-2029,Guided-treatment uptake 0.5,Assumed improved resistant-strain PEP,PEP reach multiplier 1,0.0401615465239744,-0.616-0.3445,6.0,157.72825948150893,,,,Half uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_75_pep_restored,75% testing/treatment uptake plus assumed PEP improvement,2025-2029,Guided-treatment uptake 0.75,Assumed improved resistant-strain PEP,PEP reach multiplier 1,0.0421718051136705,-0.6166-0.5115,6.0,110.735784380469,,,,Three-quarter uptake of resistance-guided treatment with partial restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_100_pep_restored,100% testing/treatment uptake plus assumed PEP improvement,2025-2029,Guided-treatment uptake 1,Assumed improved resistant-strain PEP,PEP reach multiplier 1,-0.4953462338253763,-2.22-0.5668,5.0,166.5431482613896,,,,Full resistance-guided treatment scenario used in the main analysis.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_no_pep_restoration,50% testing/treatment uptake only,2025-2029,Guided-treatment uptake 0.5,Baseline resistant-strain PEP,PEP reach multiplier 1,0.0945637574824578,0.02722-0.2185,8.0,133.31777758668187,,,,Half uptake of resistance-guided treatment; resistant-strain PEP effectiveness remains at baseline.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_100_no_pep_restoration,100% testing/treatment uptake only,2025-2029,Guided-treatment uptake 1,Baseline resistant-strain PEP,PEP reach multiplier 1,0.219634702494008,0.0373-0.4333,8.0,127.23134344298056,,,,Full treatment restoration but no restoration of resistant-strain PEP effectiveness.,treatment_implementation_sensitivity.csv
Near-term implementation sensitivity,guided_uptake_50_low_pep_reach,50% uptake plus assumed PEP improvement with lower PEP reach,2025-2029,Guided-treatment uptake 0.5,Assumed improved resistant-strain PEP,PEP reach multiplier 0.5,-1.763169864864644,-5.684--0.2527,2.0,436.4329555579639,,,,"Half uptake and half baseline PEP reach, approximating delayed activation, lower adherence, or household-only reach.",treatment_implementation_sensitivity.csv
