country,strategy,current_infant_cases_per_100k,scenario_infant_cases_per_100k,relative_reduction_infant_cases,relative_reduction_total_infections,coverage_floor_applied,timeliness_applied,routine_age_pattern,routine_first_shot_months,routine_dose_count,timeliness_definition,timeliness_grace_months,timeliness_recent_window_months,timeliness_infant_3_11m_dose1_recent_target,timeliness_infant_3_11m_dose2_recent_target,timeliness_infant_3_11m_dose3plus_recent_target,timeliness_infant_3_11m_dose3plus_waned_target,implementation_note
Australia,current,2701.132129930335,2701.132129930335,0.0,0.0,False,False,M2;M4;M6;M18;Y4;Y12-Y13,2.0,6,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
Australia,coverage_floor_only,2701.132129930335,2705.1621404958714,-0.0014919709266127956,-0.0005664862875383037,True,False,M2;M4;M6;M18;Y4;Y12-Y13,2.0,6,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
Australia,timeliness_only,2701.132129930335,1949.9636320712877,0.27809394745025784,0.01894131064956217,False,True,M2;M4;M6;M18;Y4;Y12-Y13,2.0,6,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
Australia,coverage_floor_plus_timeliness,2701.132129930335,1951.3809992989236,0.277569217583735,0.018607844406561824,True,True,M2;M4;M6;M18;Y4;Y12-Y13,2.0,6,schedule_relative,1.0,48.0,0.22291666666666668,0.22083333333333333,0.55625,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
China,current,295.391910879041,295.391910879041,0.0,0.0,False,False,M3;M4;M5;M18,3.0,4,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
China,coverage_floor_only,295.391910879041,298.1288179647104,-0.009265315713974154,-0.00658221635886358,True,False,M3;M4;M5;M18,3.0,4,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
China,timeliness_only,295.391910879041,225.65397082778844,0.23608616341813526,-0.026746822131229253,False,True,M3;M4;M5;M18,3.0,4,schedule_relative,1.0,48.0,0.12646370023419204,0.12412177985948478,0.7494145199063232,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
China,coverage_floor_plus_timeliness,295.391910879041,225.03816475913274,0.23817088074248238,-0.023865031285254412,True,True,M3;M4;M5;M18,3.0,4,schedule_relative,1.0,48.0,0.12646370023419204,0.12412177985948478,0.7494145199063232,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
United_Kingdom,current,2480.2730572397377,2480.2730572397377,0.0,0.0,False,False,W8;W12;W16;M40,1.83908045977012,4,,,,,,,,Current practice with country-profile routine coverage and default age-bin vaccine-origin timing.
United_Kingdom,coverage_floor_only,2480.2730572397377,2489.083324182871,-0.0035521322779461517,0.00026159385390434053,True,False,W8;W12;W16;M40,1.83908045977012,4,,,,,,,,Nominal coverage floor without timeliness improvement used in the main intervention comparison.
United_Kingdom,timeliness_only,2480.2730572397377,1605.2217078070103,0.3528044404584396,0.02513730465368913,False,True,W8;W12;W16;M40,1.83908045977012,4,schedule_relative,1.0,48.0,0.08541666666666667,0.10208333333333333,0.8125,,Current coverage with faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
United_Kingdom,coverage_floor_plus_timeliness,2480.2730572397377,1564.497268336079,0.36922377885613233,0.050818045681232826,True,True,W8;W12;W16;M40,1.83908045977012,4,schedule_relative,1.0,48.0,0.08541666666666667,0.10208333333333333,0.8125,,Coverage floor plus faster routine-vaccination relaxation and schedule-relative age-appropriate vaccine-origin targets.
