optimization_constraint,strategy,mean_absolute_regret_infant_cases_per_100k,median_absolute_regret_infant_cases_per_100k,maximum_absolute_regret_infant_cases_per_100k,mean_relative_regret_vs_best,mean_standardized_regret_vs_current,median_standardized_regret_vs_current,maximum_standardized_regret_vs_current,probability_best_in_draw,probability_within_10_percent_of_best,median_infant_cases_per_100k,n_decision_cells,strategy_label,sensitivity_source
future_product_target,combined_strategy,21.07178239156438,0.0,718.0831302455052,0.42674541834637975,0.018027625897151033,0.0,0.7750786925979768,0.8810763888888888,0.9253472222222222,934.4743460710481,1152,Combined future stress-test profile,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,next_generation_vaccine,390.242238928871,350.5736486099806,1604.1692986493217,1.859270804704719,0.15221131389504247,0.11763855413378885,0.8041104310561514,0.05555555555555555,0.1753472222222222,1405.7225766782055,1152,High-transmission-blocking vaccine target,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,transmission_blocking_vaccine,903.0689314795753,834.1449300536915,3199.3817668296015,4.8887934667186235,0.3587887246124344,0.28566071184385794,4.575241697908346,0.06336805555555555,0.07899305555555555,1746.3112645673111,1152,Transmission-blocking vaccine target,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,timeliness_only,1041.6037144149689,971.3564080861079,3760.360746427311,4.669264553320325,0.3816418715329148,0.35633932153534675,0.9484309677504252,0.0,0.0008680555555555555,1968.8452766394196,1152,Routine timeliness,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,maternal_immunization,1488.3254324895984,1328.3831172589275,5620.991624717319,5.302021142641808,0.49117849128031654,0.4893688028737538,0.9660054104138516,0.0,0.0,2270.235674170977,1152,Infant-exposure reduction,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,resistance_guided_treatment,1532.7042879436865,1371.5558760280062,5225.193384821674,4.707987320049901,0.499797361185337,0.490419873019196,0.9802682867322642,0.0,0.0,2296.6322301421833,1152,Resistance-guided management,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,pregnancy_tdap_scaleup,1586.22400452228,1441.439398590943,4995.871339438551,6.699476288188293,0.5526209989053616,0.5388321515010119,0.9500572069953787,0.0,0.0,2410.0145949355347,1152,Pregnancy Tdap scale-up,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,cocooning_adjunct,1885.9483459331507,1648.1502392969737,7360.2923171484,6.08639019619361,0.5970028752508658,0.5966143163846136,1.0128960429878933,0.0,0.0,2576.643297034147,1152,Close-contact adult adjunct,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,targeted_pep_high_risk,1904.016847291793,1702.2909818495793,6464.5114346621995,7.101158370447986,0.6198975295387422,0.6081342681111066,1.182459644729137,0.0,0.0,2615.0314932257284,1152,Targeted high-risk PEP,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
future_product_target,adolescent_booster,1994.9585124226946,1763.5590468266305,6535.611767999842,7.205267832978322,0.6536093399711302,0.6410232620214409,1.0257406345910034,0.0,0.0,2714.0477628165945,1152,Adolescent booster,"128-sample selected-parameter Latin-hypercube rank analysis including program, resistance-management, and future product-target profiles."
