country,test_year,evidence_cutoff_date,training_intervals,holdout_intervals,training_years,future_evidence_used,outcome_derived_profile_terms_disabled,historical_dtp_coverage_year,historical_maternal_coverage_excluded,npi_reduction_column,diagnostic_timeline_enabled,mechanistic_offset_cache_key,mechanistic_offset_cache_hit
Australia,2023,2023-01-01,96,12,8,False,True,2021,True,contact_reduction_mean,False,7db1230c1101e4fdaf3543aa983af9c4035e7d02b32eb1336a06fc40e3eaba44,False
China,2023,2023-01-01,96,12,8,False,True,2021,True,contact_reduction_mean,False,d229db094d52db411ce2c6984a91f72ad3435dd16fcfe780f293b502f3375669,False
United_Kingdom,2023,2023-01-01,417,52,8,False,True,2021,True,contact_reduction_mean,False,72580d12af455d9fca93946e9611a1738c50dad2873b332706999bf4f035762a,False
Japan,2023,2023-01-01,417,52,8,False,True,2021,True,contact_reduction_mean,False,8519a9bb1776958591dcf8500a112eac5569d6a6b8b07b6965d1b40349d16bb4,False
New_Zealand,2023,2023-01-01,96,12,8,False,True,2021,True,contact_reduction_mean,False,abff687fd886c4bc8fc0fe6abec08b9bdbff2e38f99abaf2923c3ae31b490e6c,False
Sweden,2023,2023-01-01,96,12,8,False,True,2021,True,contact_reduction_mean,False,193296b4231c0c89892727fad484c8d28d94abe292089c6afb9c1c2bfebc8cac,False
United_States,2023,2023-01-01,415,51,8,False,True,2021,True,contact_reduction_mean,False,8aef5fda1c3545bf1a22ef6e9abe70635fcca7ab1b01bcde078c11c07bce0dec,False
Brazil,2023,2023-01-01,96,12,8,False,True,2021,True,contact_reduction_mean,False,7e0d2e3ee259c7339c8a05a9a5b4723458f8806249fa3236f3b8736156236010,False
Thailand,2023,2023-01-01,180,12,15,False,True,2021,True,contact_reduction_mean,False,b19732146d5708f4b40e836a8169bbe066a72aaf98b029024be2f2d17b7c83f7,False
Australia,2024,2024-01-01,108,12,9,False,True,2022,True,contact_reduction_mean,False,7535e347a93003333c25c438ae7726026fee96c8f5acd187db52b38abc9382c5,False
