country,scenario,rank,annualized_infant_cases_per_100k,relative_reduction_infant_cases,within_10_percent_of_best
Australia,combined_strategy,1.0,1475.9949584327733,0.6369344314240043,True
Australia,next_generation_vaccine,2.0,1917.4659739229744,0.5283412927890867,False
Australia,resistance_guided_treatment,3.0,3208.34048166002,0.2108116939416027,False
Australia,maternal_immunization,4.0,3553.904411451528,0.125809801448552,False
Australia,pregnancy_tdap_scaleup,5.0,3638.0265945447727,0.1051174080179476,False
Australia,cocooning_adjunct,6.0,3967.7361222604136,0.0240153849260651,False
Australia,targeted_pep_high_risk,7.0,3991.155555202178,0.0182546678213446,False
Australia,adolescent_booster,8.0,4065.365292571422,5.399197728905847e-07,False
Australia,current,9.0,4065.367487543684,0.0,False
Australia,higher_child_coverage,10.0,4072.423001860046,-0.0017355172919368,False
Brazil,combined_strategy,1.0,45.17886565272114,0.9432896602249824,True
Brazil,next_generation_vaccine,2.0,257.7944481757101,0.6764059802811867,False
Brazil,resistance_guided_treatment,3.0,462.3531611810077,0.4196356086090272,False
Brazil,maternal_immunization,4.0,593.6216531325177,0.2548620874205629,False
Brazil,cocooning_adjunct,5.0,650.8299759971151,0.1830518862950486,False
Brazil,pregnancy_tdap_scaleup,6.0,726.2245216633013,0.0884136026793369,False
Brazil,adolescent_booster,7.0,781.1883308344736,0.0194208058466035,False
Brazil,higher_child_coverage,8.0,795.9225899542923,0.0009257677645363,False
Brazil,current,9.0,796.6601123252367,0.0,False
Brazil,targeted_pep_high_risk,10.0,848.5890957287858,-0.0651833607359426,False
China,combined_strategy,1.0,60.46546412871045,0.9285783547163792,True
China,next_generation_vaccine,2.0,96.70247519094544,0.8857752937150452,False
China,resistance_guided_treatment,3.0,532.4804507497729,0.3710355075095494,False
China,maternal_immunization,4.0,661.2667760314787,0.2189134426924538,False
China,pregnancy_tdap_scaleup,5.0,732.6796491727972,0.1345607473150499,False
China,cocooning_adjunct,6.0,764.0004109685467,0.0975647466481497,False
China,targeted_pep_high_risk,7.0,819.0441322336272,0.032547250853578,False
China,current,8.0,846.5985880813017,0.0,False
China,higher_child_coverage,9.0,850.2819293141084,-0.0043507530622708,False
China,adolescent_booster,10.0,853.318211826147,-0.0079372019088854,False
Japan,combined_strategy,1.0,1199.0963268956682,0.6472964728718997,True
Japan,next_generation_vaccine,2.0,2024.2395898742595,0.4045879157905115,False
Japan,resistance_guided_treatment,3.0,2670.416626738327,0.2145206832192416,False
Japan,maternal_immunization,4.0,2881.780526022975,0.1523498706092688,False
Japan,pregnancy_tdap_scaleup,5.0,2884.257259527752,0.1516213618178606,False
Japan,targeted_pep_high_risk,6.0,3317.67673521468,0.0241348756539101,False
Japan,cocooning_adjunct,7.0,3387.212939065841,0.0036814188752185,False
Japan,current,8.0,3399.7287646935456,0.0,False
Japan,adolescent_booster,9.0,3401.789334824694,-0.0006060983346463,False
Japan,higher_child_coverage,10.0,3408.5601276541297,-0.0025976668467693,False
New_Zealand,combined_strategy,1.0,1672.679560002268,0.6461480731253759,True
New_Zealand,next_generation_vaccine,2.0,2066.241733282139,0.56289080334559,False
New_Zealand,resistance_guided_treatment,3.0,3642.7541671173976,0.2293828344922013,False
New_Zealand,maternal_immunization,4.0,4113.497567265135,0.1297980344382567,False
New_Zealand,pregnancy_tdap_scaleup,5.0,4209.414029002201,0.109507103867894,False
New_Zealand,cocooning_adjunct,6.0,4617.948195401101,0.023082539686467,False
New_Zealand,targeted_pep_high_risk,7.0,4651.996211532572,0.0158797518929113,False
New_Zealand,adolescent_booster,8.0,4727.05191525602,1.8718279527485395e-06,False
New_Zealand,current,9.0,4727.060763497709,0.0,False
New_Zealand,higher_child_coverage,10.0,4735.465891080994,-0.0017780874353463,False
Sweden,combined_strategy,1.0,256.05162533203054,0.3936646670329116,True
Sweden,next_generation_vaccine,2.0,277.81534622760074,0.3421277435540879,True
Sweden,maternal_immunization,3.0,364.2504365338094,0.1374477339289952,False
Sweden,targeted_pep_high_risk,4.0,380.48323749769713,0.0990081386447057,False
Sweden,resistance_guided_treatment,5.0,386.0616083209279,0.0857984464514558,False
Sweden,cocooning_adjunct,6.0,387.7754808818066,0.0817399618670289,False
Sweden,pregnancy_tdap_scaleup,7.0,394.27889634419137,0.066339744945625,False
Sweden,higher_child_coverage,8.0,412.48880811980416,0.0232183124233988,False
Sweden,adolescent_booster,9.0,421.5592299535262,0.0017393733825127,False
Sweden,current,10.0,422.2937564679745,0.0,False
Thailand,combined_strategy,1.0,33.60235051316317,0.963249711325474,True
Thailand,next_generation_vaccine,2.0,355.0841538172276,0.6116508232634883,False
Thailand,resistance_guided_treatment,3.0,471.1816665753792,0.4846770534445114,False
Thailand,maternal_immunization,4.0,611.0384825224222,0.331718160139525,False
Thailand,cocooning_adjunct,5.0,702.9389865859944,0.2312082254772212,False
Thailand,pregnancy_tdap_scaleup,6.0,797.4444948225064,0.1278492445090283,False
Thailand,adolescent_booster,7.0,813.5270239561669,0.1102600696366763,False
Thailand,higher_child_coverage,8.0,884.2636430753053,0.0328966966994506,False
Thailand,targeted_pep_high_risk,9.0,905.631568265029,0.0095269808133393,False
Thailand,current,10.0,914.342491692974,0.0,False
United_Kingdom,combined_strategy,1.0,488.3934044408722,0.8060053351170814,True
United_Kingdom,next_generation_vaccine,2.0,1203.203631482343,0.5220756809842559,False
United_Kingdom,resistance_guided_treatment,3.0,1746.9809736121608,0.3060819711583737,False
United_Kingdom,maternal_immunization,4.0,1886.867471668121,0.2505176779984329,False
United_Kingdom,cocooning_adjunct,5.0,2110.3657672522563,0.1617419563244236,False
United_Kingdom,pregnancy_tdap_scaleup,6.0,2199.8352304999607,0.1262038054635733,False
United_Kingdom,targeted_pep_high_risk,7.0,2334.64843830507,0.0726546729491683,False
United_Kingdom,current,8.0,2517.561010755257,0.0,False
United_Kingdom,adolescent_booster,9.0,2530.136257276323,-0.0049950116909289,False
United_Kingdom,higher_child_coverage,10.0,2580.9829141128366,-0.0251918041105358,False
United_States,combined_strategy,1.0,296.5668540758248,0.7861551520312335,True
United_States,next_generation_vaccine,2.0,567.6779002713829,0.5906656708111397,False
United_States,resistance_guided_treatment,3.0,1034.3046782576685,0.2541960653238151,False
United_States,maternal_immunization,4.0,1144.2781713021527,0.1748977062708085,False
United_States,pregnancy_tdap_scaleup,5.0,1240.696116954747,0.1053738174678214,False
United_States,cocooning_adjunct,6.0,1277.6268052147127,0.0787442828330037,False
United_States,targeted_pep_high_risk,7.0,1347.8769080600666,0.028089186243247,False
United_States,current,8.0,1386.8318871156237,0.0,False
United_States,adolescent_booster,9.0,1386.9090356757458,-5.562935292369176e-05,False
United_States,higher_child_coverage,10.0,1389.5004913638602,-0.0019242449835668,False
