outer_test_year,selection_scope,country,inner_validation_years,candidate,selected,training_log_likelihood,validation_log_score,country_balanced_validation_log_score,validation_interval_count,selection_score,selection_criterion,stacking_weight_pomp,stacking_weight_seasonal_naive,stacking_weight_ew_recent_rate,stacking_weight_damped_log_trend,point_weight_pomp,point_weight_seasonal_naive,point_weight_ew_recent_rate,point_weight_damped_log_trend,local_validation_log_score,global_validation_log_score,country_validation_folds,country_validation_intervals,local_score_weight,shrunk_selection_score
2023,panel_global,all_countries,2020;2021;2022,regular_ar1__k10,False,-26046.588669504672,-3054.692585145399,-4.536581519014036,676,-4.536581519014036,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,regular_ar1__k30,False,-23668.39584277837,-2826.4298149465585,-4.414040861685204,676,-4.414040861685204,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,regular_ar1__k100,False,-21812.867438972607,-2719.981454610176,-4.415394236252935,676,-4.415394236252935,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,regular_ar1__k300,False,-20721.83845973317,-2700.361380212384,-4.478862111699891,676,-4.478862111699891,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,regular_ar1__k1000,False,-20169.503897792187,-2723.5201502643035,-4.512148616661018,676,-4.512148616661018,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,persistent_ar1__k10,False,-25533.629269773908,-2987.8963719989883,-4.347223619524319,676,-4.347223619524319,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,persistent_ar1__k30,False,-23058.647644450946,-2750.2730516309666,-4.190977399974746,676,-4.190977399974746,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,persistent_ar1__k100,False,-21109.51978495395,-2638.733942705214,-4.161413885815677,676,-4.161413885815677,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,persistent_ar1__k300,False,-19938.228102663525,-2598.165824538327,-4.123113858498691,676,-4.123113858498691,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,persistent_ar1__k1000,False,-19269.22041508801,-2618.658026923281,-4.243314202024237,676,-4.243314202024237,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,robust_ar1__k10,False,-25563.891256392646,-2992.0639731173687,-4.3698908912839265,676,-4.3698908912839265,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
2023,panel_global,all_countries,2020;2021;2022,robust_ar1__k30,False,-23062.963814638522,-2703.939563061767,-4.077944684895693,676,-4.077944684895693,country_balanced_validation_log_score,0.7869567327010908,0.019999999999999997,0.020000000000000025,0.17304326729890912,0.6932636999169691,3.2406653061990457e-18,9.753933711328524e-24,0.306736300083031,,,,,,
