country,country_code,country_label_text,scenario,scenario_label,outcome_type,primary_cases_per_100k,min_primary_cases_per_100k,max_primary_cases_per_100k,median,q25,q75,q025,q975
Australia,AUS,Australia,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,1082.0060289049727,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
Australia,AUS,Australia,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,940.9066084613332,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
Australia,AUS,Australia,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,874.0082651717133,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
Australia,AUS,Australia,next_generation,High transmission-blocking mechanism,Vaccine mechanism,698.5948058214527,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
China,CHN,China,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,893.1076641497875,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
China,CHN,China,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,1266.681971721097,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
China,CHN,China,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,1199.3527550159783,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
China,CHN,China,next_generation,High transmission-blocking mechanism,Vaccine mechanism,682.1972389249261,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
United_Kingdom,GBR,United Kingdom,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,862.5317408957053,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
United_Kingdom,GBR,United Kingdom,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,696.5077033696075,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
United_Kingdom,GBR,United Kingdom,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,711.4846007405841,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
United_Kingdom,GBR,United Kingdom,next_generation,High transmission-blocking mechanism,Vaccine mechanism,633.5080423530212,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
Japan,JPN,Japan,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,1047.806660663328,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
Japan,JPN,Japan,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,860.4010365493002,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
Japan,JPN,Japan,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,827.1745838558086,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
Japan,JPN,Japan,next_generation,High transmission-blocking mechanism,Vaccine mechanism,586.8481783359242,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
New_Zealand,NZL,New Zealand,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,1063.5554284293491,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
New_Zealand,NZL,New Zealand,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,1040.46901150986,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
New_Zealand,NZL,New Zealand,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,1036.974856290205,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
New_Zealand,NZL,New Zealand,next_generation,High transmission-blocking mechanism,Vaccine mechanism,619.2205645341691,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
Sweden,SWE,Sweden,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,175.05911292217542,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
Sweden,SWE,Sweden,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,350.3838898453941,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
Sweden,SWE,Sweden,transmission_blocking,Transmission-blocking mechanism,Vaccine mechanism,380.5121095339022,256.4178195052313,1199.3527550159783,711.4846007405841,380.5121095339022,874.0082651717133,272.0498992842163,1166.8771752708237
Sweden,SWE,Sweden,next_generation,High transmission-blocking mechanism,Vaccine mechanism,204.505185729203,202.3915908283211,698.5948058214527,586.8481783359242,223.45345187543975,633.5080423530212,202.8143098084975,695.3152924421474
United_States,USA,United States,symptom_protective,Current aP-like mechanism scenario,Vaccine mechanism,714.0535563826013,175.05911292217542,1082.0060289049727,862.5317408957053,500.45337136408864,1047.806660663328,233.2073285651098,1078.315908809848
United_States,USA,United States,infection_blocking,Infection-blocking mechanism,Vaccine mechanism,596.7507153341003,250.6827917421107,1266.681971721097,696.5077033696075,350.3838898453941,940.9066084613332,265.75165155252836,1221.4393796788497
