country,scenario,age_group,infant_cases,infant_infections,mean_infant_age_population,analysis_years,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,current_infant_cases_per_100k,relative_reduction_infant_cases,analysis_window,rank
Australia,combined_strategy,infant_0_2m,15613.571950587459,34078.40515942563,53086.59167407968,19.01095890410959,1547.082247551054,3376.6838116127537,6816.68674966882,0.7730448377100184,excluding_initial_5_years,1.0
Australia,next_generation_vaccine,infant_0_2m,31746.383997947545,52976.424868914546,53086.5916638172,19.01095890410959,3145.6137821691823,5249.20797935543,6816.68674966882,0.5385421249814644,excluding_initial_5_years,2.0
Australia,maternal_immunization,infant_0_2m,43081.92611632323,94877.68616803901,53086.59167390892,19.01095890410959,4268.804300259841,9401.025237805547,6816.68674966882,0.3737713852749307,excluding_initial_5_years,3.0
Australia,pregnancy_tdap_scaleup,infant_0_2m,44270.69032542058,97523.50544030883,53086.591681290985,19.01095890410959,4386.593874658365,9663.188182860265,6816.68674966882,0.3564917920173636,excluding_initial_5_years,4.0
Australia,resistance_guided_treatment,infant_0_2m,50112.40710684797,90463.85156074777,53086.59166611295,19.01095890410959,4965.424675022774,8963.677194343984,6816.68674966882,0.27157798834396896,excluding_initial_5_years,5.0
Australia,cocooning_adjunct,infant_0_2m,66937.26225121765,121183.52954541727,53086.591683659135,19.01095890410959,6632.527805781487,12007.559052777087,6816.68674966882,0.027015902395145397,excluding_initial_5_years,6.0
Australia,targeted_pep_high_risk,infant_0_2m,67790.91698381408,122723.93040078739,53086.59166738169,19.01095890410959,6717.112814159898,12160.190806919167,6816.68674966882,0.014607380266338232,excluding_initial_5_years,7.0
Australia,adolescent_booster,infant_0_2m,68795.83456406948,124566.96206786842,53086.591680248486,19.01095890410959,6816.68580924295,12342.80895070393,6816.68674966882,1.3795937880978215e-07,excluding_initial_5_years,8.0
Australia,current,infant_0_2m,68795.84405510193,124566.97709177324,53086.59168024891,19.01095890410959,6816.68674966882,12342.810439358478,6816.68674966882,0.0,excluding_initial_5_years,9.0
Australia,higher_child_coverage,infant_0_2m,68917.7440308331,124788.31862174717,53086.5917009638,19.01095890410959,6828.765295654378,12364.742222641598,6816.68674966882,-0.0017719086161829267,excluding_initial_5_years,10.0
Australia,combined_strategy,infant_3_11m,77590.8188071395,173747.68406604754,249699.62295426437,19.01095890410959,1634.5131742011365,3660.135090193945,4285.5449203898315,0.6185985202431493,excluding_initial_5_years,1.0
Australia,next_generation_vaccine,infant_3_11m,92290.0559276796,179185.70207456336,249699.62290830695,19.01095890410959,1944.1644592547536,3774.6913259318435,4285.5449203898315,0.5463436983229886,excluding_initial_5_years,2.0
Australia,resistance_guided_treatment,infant_3_11m,161195.82755459202,377916.26190095174,249699.62290854598,19.01095890410959,3395.720110485964,7961.110843158327,4285.5449203898315,0.20763399437729502,excluding_initial_5_years,3.0
Australia,maternal_immunization,infant_3_11m,194109.18476117222,467011.95580279926,249699.62294392905,19.01095890410959,4089.0665238026454,9837.9834887175,4285.5449203898315,0.04584677100276746,excluding_initial_5_years,4.0
Australia,cocooning_adjunct,infant_3_11m,198634.71288176285,472376.48119831044,249699.62298830407,19.01095890410959,4184.400422705258,9950.991540833094,4285.5449203898315,0.0236013154834398,excluding_initial_5_years,5.0
Australia,pregnancy_tdap_scaleup,infant_3_11m,198647.22220549898,478276.1701856975,249699.62297873778,19.01095890410959,4184.6639418586565,10075.273247747125,4285.5449203898315,0.023539825250973756,excluding_initial_5_years,6.0
Australia,targeted_pep_high_risk,infant_3_11m,201961.1715709558,480456.7538772396,249699.62291768068,19.01095890410959,4254.474958934354,10121.2090042934,4285.5449203898315,0.007249944180412804,excluding_initial_5_years,7.0
Australia,adolescent_booster,infant_3_11m,203435.92165903572,484008.8780005672,249699.62297199774,19.01095890410959,4285.541757979651,10196.037361488172,4285.5449203898315,7.379248704308949e-07,excluding_initial_5_years,8.0
Australia,current,infant_3_11m,203436.0717795746,484009.1712729126,249699.6229720001,19.01095890410959,4285.5449203898315,10196.04353950655,4285.5449203898315,0.0,excluding_initial_5_years,9.0
Australia,higher_child_coverage,infant_3_11m,203818.13335049662,484962.660695894,249699.6230682324,19.01095890410959,4293.593353853912,10216.129559240351,4285.5449203898315,-0.0018780420258315278,excluding_initial_5_years,10.0
Brazil,combined_strategy,infant_0_2m,562.8288395802817,1086.0356996048902,360545.27672203653,19.01095890410959,8.21131115215375,15.844563079697526,569.4889163239418,0.9855812625728384,excluding_initial_5_years,1.0
Brazil,resistance_guided_treatment,infant_0_2m,20136.60045405489,36238.92845398286,360545.276763737,19.01095890410959,293.78006283229195,528.7026825842485,569.4889163239418,0.48413383577568814,excluding_initial_5_years,2.0
Brazil,maternal_immunization,infant_0_2m,21671.934020209806,46995.2118131081,360545.27667700616,19.01095890410959,316.179593184708,685.6299460325623,569.4889163239418,0.4448011469202048,excluding_initial_5_years,3.0
Brazil,next_generation_vaccine,infant_0_2m,21838.53689719105,36280.918116494635,360545.27653662534,19.01095890410959,318.6102222419338,529.3152851153036,569.4889163239418,0.44053305848590196,excluding_initial_5_years,4.0
Brazil,pregnancy_tdap_scaleup,infant_0_2m,25477.86541939368,55290.196174296885,360545.27671183966,19.01095890410959,371.70568696029886,806.6484382750853,569.4889163239418,0.34729952365067296,excluding_initial_5_years,5.0
Brazil,cocooning_adjunct,infant_0_2m,33199.34277648213,59763.58595104218,360545.27668333636,19.01095890410959,484.35708059533283,871.9123210372874,569.4889163239418,0.14948813451565668,excluding_initial_5_years,6.0
Brazil,targeted_pep_high_risk,infant_0_2m,37991.15884674783,68447.4393592976,360545.27674880443,19.01095890410959,554.2665982273053,998.6041627233825,569.4889163239418,0.026729788166724555,excluding_initial_5_years,7.0
