strategy,strategy_label,within_profile_rank,rank_label,profile_count,total_profiles
adolescent_booster,Adolescent booster scale-up,1,1st,0,10
adolescent_booster,Adolescent booster scale-up,2,2nd,0,10
adolescent_booster,Adolescent booster scale-up,3,3rd,3,10
adolescent_booster,Adolescent booster scale-up,4,4th,0,10
adolescent_booster,Adolescent booster scale-up,5,5th,3,10
adolescent_booster,Adolescent booster scale-up,6,6th,4,10
cocooning_adjunct,Close-contact adult adjuncts,1,1st,0,10
cocooning_adjunct,Close-contact adult adjuncts,2,2nd,5,10
cocooning_adjunct,Close-contact adult adjuncts,3,3rd,2,10
cocooning_adjunct,Close-contact adult adjuncts,4,4th,1,10
cocooning_adjunct,Close-contact adult adjuncts,5,5th,2,10
cocooning_adjunct,Close-contact adult adjuncts,6,6th,0,10
maternal_immunization,Infant-exposure reduction composite,1,1st,5,10
maternal_immunization,Infant-exposure reduction composite,2,2nd,3,10
maternal_immunization,Infant-exposure reduction composite,3,3rd,2,10
maternal_immunization,Infant-exposure reduction composite,4,4th,0,10
maternal_immunization,Infant-exposure reduction composite,5,5th,0,10
maternal_immunization,Infant-exposure reduction composite,6,6th,0,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,1,1st,0,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,2,2nd,0,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,3,3rd,1,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,4,4th,2,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,5,5th,4,10
pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,6,6th,3,10
targeted_pep_high_risk,Targeted high-risk PEP,1,1st,1,10
targeted_pep_high_risk,Targeted high-risk PEP,2,2nd,2,10
targeted_pep_high_risk,Targeted high-risk PEP,3,3rd,1,10
targeted_pep_high_risk,Targeted high-risk PEP,4,4th,5,10
targeted_pep_high_risk,Targeted high-risk PEP,5,5th,1,10
targeted_pep_high_risk,Targeted high-risk PEP,6,6th,0,10
timeliness_only,Routine schedule timeliness,1,1st,4,10
timeliness_only,Routine schedule timeliness,2,2nd,0,10
timeliness_only,Routine schedule timeliness,3,3rd,1,10
timeliness_only,Routine schedule timeliness,4,4th,2,10
timeliness_only,Routine schedule timeliness,5,5th,0,10
timeliness_only,Routine schedule timeliness,6,6th,3,10
