utility_scenario,infant_life_years_lost_per_death,acute_illness_disutility,acute_illness_duration_days,infant_hospitalization_probability_per_case,noninfant_hospitalization_probability_per_case,hospitalization_excess_disutility,hospitalization_duration_days,model_mortality_columns_found,model_hospitalization_columns_found,method_note
lower_burden,60.0,0.03,14.0,0.2,0.005,0.1,5.0,"total_deaths, total_infant_deaths, annualized_deaths_per_million, annualized_infant_deaths_per_100k, relative_reduction_deaths, relative_reduction_infant_deaths","total_child_adolescent_hospitalizations, annualized_child_adolescent_hospitalizations_per_100k","Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
central_exploratory,70.0,0.05,21.0,0.4,0.01,0.2,7.0,"total_deaths, total_infant_deaths, annualized_deaths_per_million, annualized_infant_deaths_per_100k, relative_reduction_deaths, relative_reduction_infant_deaths","total_child_adolescent_hospitalizations, annualized_child_adolescent_hospitalizations_per_100k","Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
higher_burden,80.0,0.1,28.0,0.6,0.03,0.3,10.0,"total_deaths, total_infant_deaths, annualized_deaths_per_million, annualized_infant_deaths_per_100k, relative_reduction_deaths, relative_reduction_infant_deaths","total_child_adolescent_hospitalizations, annualized_child_adolescent_hospitalizations_per_100k","Exploratory health-utility burden only: infant mortality is counted as undiscounted life-years lost, acute illness uses symptomatic cases, and hospitalizations are imputed from cases because the model summary has no hospitalization/admission columns. No costs, discounting, age weighting, or formal cost-effectiveness decision rule is applied."
