analysis,scenario,vaccine_scenario,resistance_scenario,intervention,calendar_start_date,calendar_end_date,calendar_start_year,calendar_end_year,total_symptomatic_cases,total_infections,total_reported_cases,total_infant_cases,total_infant_infections,total_child_1_9_cases,total_adolescent_cases,total_child_adolescent_cases,total_child_adolescent_infections,total_child_adolescent_reported_cases,total_deaths,total_infant_deaths,total_child_adolescent_deaths,total_child_adolescent_hospitalizations,resistant_infections,resistant_fraction,resistant_fraction_start,resistant_fraction_end,total_population,infant_population,child_1_9_population,adolescent_population,child_adolescent_population,analysis_years,annualized_infections_per_100k,annualized_reported_cases_per_100k,annualized_infant_cases_per_100k,annualized_infant_infections_per_100k,annualized_child_1_9_cases_per_100k,annualized_adolescent_cases_per_100k,annualized_child_adolescent_cases_per_100k,annualized_child_adolescent_infections_per_100k,annualized_child_adolescent_reported_cases_per_100k,annualized_deaths_per_million,annualized_infant_deaths_per_100k,annualized_child_adolescent_deaths_per_million,annualized_child_adolescent_hospitalizations_per_100k,peak_incidence_per_100k_year,treated_cases,PEP_FOI_reduction_case_proxy,PEP_averted_cases,peak_incidence,time_to_peak,outbreak_duration,n_epidemic_peaks,mean_peak_interval_years,proportion_asymptomatic,case_to_infection_ratio,mean_infection_to_case_ratio,vaccinated_origin_infection_share,waned_origin_infection_share,maternal_origin_infection_share,dose1_origin_infection_share,dose2_origin_infection_share,dose3plus_origin_infection_share,relative_reduction_vs_baseline,routine_age_pattern,routine_first_shot_months,routine_last_shot_months,routine_dose_count,routine_scheduler_code,calibration_loaded,calibration_country,calibration_artifact_path,calibration_hash_status,calibration_overlay_mode,calibration_config_hash,calibration_calibration_config_hash,calibration_accepted,calibration_calibration_status,calibration_fit_score,calibration_data_fit_score,calibration_optimizer_success,npi_contact_reduction_country,npi_contact_reduction_iso3,npi_contact_reduction_periods_loaded,npi_contact_reduction_reduction_column,resistance_timeline_country,resistance_timeline_iso3,resistance_timeline_anchor_year,resistance_timeline_configured_anchor_year,resistance_timeline_applied,resistance_timeline_allows_future_evidence,resistance_timeline_method,resistance_timeline_evidence_years,resistance_timeline_evidence_type,resistance_timeline_source,resistance_timeline_notes,diagnostic_standard_country,diagnostic_standard_iso3,diagnostic_standard_periods_loaded,diagnostic_standard_multiplier_column,contact_reciprocity_error_before,contact_reciprocity_error_after,country,portfolio,program_layers,timeliness_applied,resistance_guided,implementation_intensity,implementation_note,observed_mean_annual_reported_incidence_per_100k,model_to_observed_reported_incidence_ratio,absolute_fit_relative_error,absolute_fit_relative_tolerance,absolute_fit_status,timeliness_definition,timeliness_grace_months,timeliness_recent_window_months,contact_matrix_directional_intervention,contact_matrix_reciprocity_correction_after_intervention,prospective_policy,policy_start_time,simulation_phase,relative_reduction_infant_cases,relative_reduction_child_1_9_cases,relative_reduction_adolescent_cases,relative_reduction_child_adolescent_cases,relative_reduction_child_adolescent_infections,relative_reduction_child_adolescent_reported_cases,relative_reduction_total_infections,relative_reduction_reported_cases,relative_reduction_resistant_infections,relative_reduction_deaths,relative_reduction_infant_deaths,relative_reduction_child_adolescent_deaths,annualized_resistant_infections_per_100k,current_infant_cases_per_100k,current_resistant_infections_per_100k,infant_case_rank_within_portfolio_set
program_portfolio_factorial,current,symptom_protective,country_timeline,current,2027-01-01,2051-01-01,2027,2051,3024521.07685526,14190896.286717148,356264.0616272877,294241.40428232553,640150.3072046002,918106.5110737528,309399.97510284564,1521747.8904589238,6150323.986384832,306611.2896129943,1032.7407504896646,1024.5566186418698,1025.9030451578226,94803.4322536335,13560258.577541472,0.9555604032025827,0.043,0.9993936267585619,29818277.98631165,299970.548258413,2899967.6132138083,2630115.637080844,5830053.798553065,24.000492823261258,1982.9287396387667,49.781651026681644,4087.0034862958837,8891.666839613901,1319.1061953598748,490.14578414760024,1087.551887490475,4395.469513713984,219.12676129548512,1.4430739774054147,14.231057938668119,7.331850434221007,67.75343822354229,19485.29784945824,274930.35838560836,115362.30257934914,115362.30257934914,15918.302134828118,3240.0,8766.0,5,5.97945205479452,0.8096539292166284,0.21313108176868634,4.691948221260903,0.7645281268911421,0.5717576827973901,0.002253536532725874,0.029813460042470083,0.0409190645038449,0.6915420658121013,0.0,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,current,,False,False,0,Current practice.,54.978665659530755,0.9054721577814759,0.09452784221852406,0.25,calibrated_country_scenario_analysis,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1894.8081859712088,4087.0034862958837,1894.8081859712088,11.0
program_portfolio_factorial,routine_timeliness,symptom_protective,country_timeline,routine_timeliness,2027-01-01,2051-01-01,2027,2051,3433087.0295809796,17596520.754443787,378218.0167331188,282925.59357319796,768134.9556651391,992187.7741874726,367989.9494475594,1643103.31720823,7463011.1073241625,319074.7793070808,1086.8110027754142,1077.8149457137495,1079.0003213593138,89987.1506406478,15722494.855116753,0.8935002023707572,0.043000000000000003,0.9995137689797613,29818277.980827164,299970.54808945325,2899967.612622217,2630115.6367556,5830053.797467271,24.000492823261258,2458.8049988579214,52.84933102281997,3929.827247690141,10669.369428733375,1425.543795160904,582.9629504422528,1174.2813152614726,5333.611348195567,228.03407892091755,1.5186276672126406,14.970814369035615,7.711322247746359,64.31137257423029,19948.003867823303,295686.38783375523,185323.90411104955,185323.90411104955,16296.304780640294,0.0,8766.0,6,4.7835616438356166,0.825344488901035,0.19510033133760238,5.125567922637692,0.8448142541540549,0.6235079733032418,0.0020625432801158585,0.03714373767043643,0.03598929073087015,0.7696186824726325,-0.2399865659587932,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,routine_timeliness,,True,False,1,Routine timeliness improvement only.,54.978665659530755,0.9612698014554004,0.03873019854459958,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,,,,,,0.03845757444207276,-0.08068918172367567,-0.18936644815578374,-0.07974739279100196,-0.2134338164697125,-0.040649154536409826,-0.2399865659587932,-0.06162270481494314,-0.1594539121877978,-0.052356075094463606,-0.05198182911792393,-0.05175662208247256,2196.9427640697822,4087.0034862958837,1894.8081859712088,10.0
program_portfolio_factorial,timeliness_pregnancy_tdap,symptom_protective,country_timeline,timeliness_pregnancy_tdap,2027-01-01,2051-01-01,2027,2051,2696874.465675921,13795164.489393787,283134.78252514877,189473.34653830185,538187.1909384935,781467.5591355031,301143.9903200848,1272084.8959938898,5901216.694728512,236031.06914821416,551.9749902690942,544.6735178179852,545.5925495823394,54747.81180219455,13139631.263370726,0.9524809416714778,0.043,0.9993162029636439,29818277.98640022,299970.54839097767,2899967.613946487,2630115.6367223053,5830053.79905977,24.000492823261258,1927.6321651075905,39.56311751670914,2631.778588090722,7475.4024846988095,1122.7877005929986,477.06680405463055,909.124525974418,4217.439297615204,168.68499463390845,0.7712881904349165,7.565497352967538,3.899201771644972,39.12677417171837,22874.58964121689,231808.3429356713,104463.59871956854,104463.59871956854,18687.147198537976,3300.0,8766.0,5,5.979452054794521,0.8269519443124558,0.1954941869485771,5.115241612084561,0.8453133230388604,0.6226903553197395,0.002966052407424172,0.035701133863456316,0.03500686886331655,0.7716392679046634,0.027886314530659373,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,timeliness_pregnancy_tdap,pregnancy_tdap_scaleup,True,False,2,Routine timeliness plus pregnancy Tdap scale-up.,54.978665659530755,0.7196085434614532,0.2803914565385468,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,,,True,0.0,prospective_policy,0.35606157467729593,0.14882690656277597,0.02668385729512912,0.16406330906083366,0.04050311694274589,0.23019446072539174,0.027886314530659373,0.20526706726496735,0.03101912192931311,0.4655241501728481,0.4683812413022205,0.468183126897331,1836.0328998179073,4087.0034862958837,1894.8081859712088,6.0
program_portfolio_factorial,timeliness_targeted_pep,symptom_protective,country_timeline,timeliness_targeted_pep,2027-01-01,2051-01-01,2027,2051,2708989.4972852776,13753016.751009881,292642.2049280582,210797.19692324378,552609.2446019837,777353.0788835305,300590.5073837744,1288740.7831905487,5891313.210517941,245696.26205552855,824.5325956243115,817.286108327754,818.2011663904437,68094.2770838904,13322960.59292064,0.9687300491321177,0.043,0.9995753502172936,29818277.988620393,299970.5484112719,2899967.6134930225,2630115.637140262,5830053.799044557,24.000492823261258,1921.7427581177913,40.891612961848736,2927.966172500455,7675.724337998656,1116.8761465805978,476.1899864298392,921.0280361906698,4210.361546434596,175.59244550339707,1.1521396164639541,11.352077320599044,5.847461516844722,48.66513042532141,25371.169384387696,236256.12503986203,149475.7764396672,149475.7764396672,20726.70086575472,3300.0,8766.0,5,5.979452054794521,0.8255705458500253,0.19697420183003536,5.076806966137005,0.8416387664607905,0.6206496084579181,0.001995061656926079,0.03550967094783015,0.034761329445330225,0.769372704410704,0.030856369242662107,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,timeliness_targeted_pep,targeted_pep_high_risk,True,False,2,Routine timeliness plus targeted high-risk PEP.,54.978665659530755,0.7437723791821423,0.25622762081785766,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,,,True,0.0,prospective_policy,0.2835909771522731,0.15330839122969186,0.028472748635945955,0.15311807476736872,0.042113354750135334,0.19867183505980124,0.030856369242662107,0.17858061913016843,0.0174995177485332,0.201607378005209,0.2023026414966399,0.20245761014914077,1861.6499564907397,4087.0034862958837,1894.8081859712088,8.0
program_portfolio_factorial,infant_exposure,symptom_protective,country_timeline,infant_exposure,2027-01-01,2051-01-01,2027,2051,2991745.6078521954,14173761.144907761,338946.4207970962,257666.3406534558,591219.3943524992,916744.9019857185,312417.3662168133,1486828.6088559874,6121291.302598199,289234.2118114751,681.8273245913248,673.6541363642904,674.9868002310662,76034.59865165633,13539504.694542013,0.9552513659655102,0.043,0.9992688299723317,29818277.987040214,299970.5483083681,2899967.613511375,2630115.6368774218,5830053.798697165,24.000492823261258,1980.5344042034399,47.36181460285459,3578.9770475876553,8212.018058354375,1317.149878651404,494.925880025073,1062.596025290726,4374.720643014983,206.70783573733206,0.9527340416373954,9.357033929794135,4.823947338497218,54.339862597876085,21755.00843843123,265755.0871434362,114065.58831024393,114065.58831024393,17772.517513083505,3240.0,8766.0,5,5.979452054794521,0.8117694231727863,0.21107633868424872,4.737622446142153,0.7666338801934607,0.5728598001288459,0.0031732437444449207,0.029460412725227602,0.04044014983611191,0.693560073887676,0.001207474247093554,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,,,Australia,infant_exposure,maternal_immunization,False,False,3,Infant-exposure reduction composite without routine timeliness changes.,54.978665659530755,0.861458058952441,0.13854194104755901,0.25,calibrated_country_scenario_analysis,,,,True,False,True,0.0,prospective_policy,0.12430291283471395,0.0014830622281959416,-0.00975239611110057,0.02294682438653195,0.004720512911336683,0.05667461828771081,0.001207474247093554,0.048609002971253035,0.0015304931843000968,0.3397884955463968,0.34249203596256905,0.3420559541011716,1891.9081949570239,4087.0034862958837,1894.8081859712088,9.0
program_portfolio_factorial,routine_timeliness_resistance_guided,symptom_protective,country_timeline,routine_timeliness_resistance_guided,2027-01-01,2051-01-01,2027,2051,2517615.372149967,12996689.4346877,256261.93874201208,170079.5403380227,444947.20175785024,686702.4538457667,308210.5929538923,1164992.5871376817,5442992.550992361,211591.91377520625,655.1815730738318,648.6749319571564,649.4382971061486,54740.74801866845,10589016.855691645,0.8147472407419336,0.043,0.9989820551423049,29818277.99080986,299970.5483657445,2899967.6137560084,2630115.6369703934,5830053.799092147,24.000492823261258,1816.0592872795826,35.808109147134154,2362.3992542987503,6180.302084224702,986.6322154801176,488.26158671186334,832.5885614040506,3889.9589472049724,151.21899404327178,0.9155012794716133,9.010073595520483,4.641359125183873,39.12172587726384,16790.5613302644,417225.6529119408,397246.8589603674,397246.8589603674,13716.866448426468,0.0,8766.0,6,4.7835616438356166,0.8272670936316163,0.19371205142676884,5.162301429542401,0.8267011783302685,0.615879678434268,0.0016398962955208568,0.03209986820503169,0.031445565654939105,0.7615158481747768,0.08415302514381984,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,1.5769242865424038e-05,1.502232944079048e-16,Australia,routine_timeliness_resistance_guided,resistance_guided_treatment,True,True,3,Routine timeliness plus resistance-guided management.,54.978665659530755,0.6513091708861196,0.3486908291138804,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,,,True,0.0,prospective_policy,0.42197278199899135,0.2520448928712554,0.003844157222565925,0.23443784976344073,0.11500718286683975,0.3099017520122034,0.08415302514381984,0.2806966339195187,0.21911394288367014,0.365589502725458,0.36687253768656924,0.36695938259327365,1479.6292933348027,4087.0034862958837,1894.8081859712088,3.0
program_portfolio_factorial,timeliness_infant_exposure,symptom_protective,country_timeline,timeliness_infant_exposure,2027-01-01,2051-01-01,2027,2051,2691977.8291973593,13784534.557224412,281088.868014258,184698.25645439164,524062.41230156505,781662.9603450212,301564.04132294084,1267925.2581223536,5891849.512058139,234012.5928584062,537.7353844252299,530.4384425041158,531.3561298250244,53478.76237383204,13129484.00250591,0.9524793128125466,0.043,0.9993229406771462,29818277.98558989,299970.54840577237,2899967.6127883294,2630115.6373000285,5830053.798494129,24.000492823261258,1926.14681866926,39.27723686580709,2565.4527428327306,7279.209770919415,1123.068447276167,477.7322410691905,906.1517458492407,4210.7448269772385,167.24244446661984,0.7513908400002614,7.367772621947504,3.7974579465486,38.21981901572644,22567.439744743526,230542.26927368436,104208.9312130369,104208.9312130369,18436.224431008555,3300.0,8766.0,5,5.979452054794521,0.8271647608692023,0.1952897152981133,5.120597356975415,0.8454404475040447,0.6229699333104842,0.002879764214460331,0.03557680028324138,0.034885321369344954,0.772098561636998,0.02863538153492784,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,,,Australia,timeliness_infant_exposure,maternal_immunization,True,False,4,Routine timeliness plus infant-exposure reduction composite.,54.978665659530755,0.7144086964394749,0.2855913035605251,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,True,False,True,0.0,prospective_policy,0.3722900524320055,0.14861407590842246,0.02532622627813752,0.1667967696410101,0.04202615584136493,0.23677763739953084,0.02863538153492784,0.2110097585191617,0.03176743070601973,0.4793123209573481,0.48227512969731867,0.48206009102616343,1834.6149982221696,4087.0034862958837,1894.8081859712088,5.0
program_portfolio_factorial,infant_exposure_resistance_guided,symptom_protective,country_timeline,infant_exposure_resistance_guided,2027-01-01,2051-01-01,2027,2051,2731707.9940837203,13205562.157339398,291851.98733393074,205003.6589443661,460696.061645629,800640.9906097932,319974.5222599358,1325619.1718140952,5585340.073346823,245414.4258618448,531.7926499925677,524.6948279345398,525.7829201816079,60535.61536306858,10723688.502339836,0.8120584625304887,0.043,0.9990451641555598,29818277.990046714,299970.5482616691,2899967.6129035335,2630115.6372730373,5830053.79843824,24.000492823261258,1845.245585094191,40.7811939175639,2847.4941208342707,6399.053235354378,1150.3354767087617,506.89778839431796,947.3840190398404,3991.690855791021,175.39102484854186,0.7430869113276976,7.2879940068836095,3.7576277309152513,43.26316018742421,16746.079628309348,464119.5738130383,437404.13954642677,437404.13954642677,13680.527605490033,0.0,8766.0,5,5.97945205479452,0.8143650104971134,0.20686040938934883,4.834177805951349,0.7553278991091625,0.571018537992462,0.002471784048855077,0.026374217025496645,0.03610722008835761,0.6903746779464532,0.0694342421697518,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,,,Australia,infant_exposure_resistance_guided,maternal_immunization;resistance_guided_treatment,False,True,5,Infant-exposure reduction plus resistance-guided management.,54.978665659530755,0.7417639811433715,0.2582360188566285,0.25,calibrated_country_scenario_analysis,,,,True,False,True,0.0,prospective_policy,0.30328072133701334,0.12794323866256008,-0.03417759537173559,0.12888384460692803,0.09186246355293337,0.1995910321123282,0.0694342421697518,0.1807986862305041,0.20918259488376012,0.4850666542010441,0.4878810810572245,0.48749258259514905,1498.447292822761,4087.0034862958837,1894.8081859712088,7.0
program_portfolio_factorial,timeliness_infant_exposure_targeted_pep,symptom_protective,country_timeline,timeliness_infant_exposure_targeted_pep,2027-01-01,2051-01-01,2027,2051,2671712.930166387,13688716.741772778,277385.64296550996,179982.54637035396,509969.1790248045,774234.9107436135,301975.906661596,1256193.3637755634,5846616.041750563,230599.78755623288,522.1180115328139,514.9143503201348,515.8178490898832,52087.72060976116,13259824.991976997,0.9686682281556045,0.043,0.9996114299543982,29818277.988528486,299970.54839332367,2899967.613616585,2630115.6369428914,5830053.798952799,24.000492823261258,1912.75796014551,38.75977614419151,2499.9516840648917,7083.455221823924,1112.3960618572607,478.38471067392345,897.7672795205553,4178.41769393508,164.80340519404712,0.7295683017876508,7.152143489420224,3.6864100739534345,37.22567924392159,24227.811840169947,227753.1592538159,146980.6996715368,146980.6996715368,19792.647356272584,3300.0,8766.0,5,5.979452054794521,0.8273828928651454,0.19517628865920872,5.123573190522487,0.844076294613355,0.6222413565529261,0.002804681999298603,0.03530878073456444,0.03456000880713116,0.7714028230723606,0.035387443808916896,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,,,Australia,timeliness_infant_exposure_targeted_pep,maternal_immunization;targeted_pep_high_risk,True,False,5,Routine timeliness plus infant-exposure reduction and targeted high-risk PEP.,54.978665659530755,0.7049966687846009,0.2950033312153991,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,True,False,True,0.0,prospective_policy,0.3883167231024355,0.1567046944933188,0.023995051837938486,0.17450625583142765,0.04938080421561486,0.24790836029783303,0.035387443808916896,0.22140436591187207,0.022155446729301254,0.49443457974786376,0.4974271397488075,0.4972060454206655,1852.8278641446798,4087.0034862958837,1894.8081859712088,4.0
program_portfolio_factorial,timeliness_infant_exposure_resistance_guided,symptom_protective,country_timeline,timeliness_infant_exposure_resistance_guided,2027-01-01,2051-01-01,2027,2051,2492927.035619196,12968515.627707738,244629.93874088227,145632.65757212925,409703.64686843334,685938.866244829,309619.31247895956,1141190.8362959176,5416097.069524491,199995.19528738767,421.135205546115,414.6404538016176,415.39772374045936,42277.264617661276,10582257.109090928,0.8159960178080461,0.043,0.9989939940533411,29818277.990600068,299970.5483417704,2899967.6138414703,2630115.636852226,5830053.799035467,24.000492823261258,1812.1224921506846,34.18274126135688,2022.8328521683225,5690.770259604479,985.535117104902,490.4932544515776,815.5780965291673,3870.7374771055092,142.93113430256366,0.588462550468089,5.759342346495852,2.9687347116318996,30.21441279291093,16746.07962799858,405482.315949715,391736.829989109,391736.829989109,13680.527605490033,0.0,8766.0,6,4.7835616438356166,0.8287829727070914,0.192229173113148,5.20212402626,0.8285986273303182,0.6170254250418199,0.0022876809107302333,0.031919695227756596,0.03126987378793919,0.7631213774038922,0.08613836887480975,M2;M4;M6;M18;Y4;Y12-Y13,2.0,156.0,6,aP,True,Australia,/home/ctm/pertussis_transmission_analysis/outputs/calibrations/Australia_calibrated_config.yaml,current,fitted_parameters_and_state_only,e07d2d9623bba63452e5939f83db5c87901a902d0a71c99df08b4ecdc3550c54,c36eefa5b9e490f39c68369d7b2ec545f1003c465b2d7a3d65a4f58b53b37bf6,True,state_reconstruction_accepted,45.30917710919712,43.437823518402524,True,Australia,AUS,1,contact_reduction_mean,Australia,AUS,2025,2025,True,False,nearest_past_year,2024,measured_national_genomic_surveillance_fraction,https://doi.org/10.1016/j.lanmic.2025.101286,Nationwide Australian tNGS study of 2024-positive respiratory specimens estimated macrolide resistance at 8/188 (4.3%).,Australia,AUS,3,relative_detection_prior_mean,,,Australia,timeliness_infant_exposure_resistance_guided,maternal_immunization;resistance_guided_treatment,True,True,6,Routine timeliness plus infant-exposure reduction and resistance-guided management.,54.978665659530755,0.6217455598693886,0.3782544401306114,0.25,calibrated_country_scenario_analysis,schedule_relative,1.0,48.0,True,False,True,0.0,prospective_policy,0.5050572235836862,0.2528765911456142,-0.0007089120677563621,0.25007891027746976,0.11938020151226547,0.34772396822105855,0.08613836887480975,0.3133465732594537,0.21961243975868117,0.5922159502794505,0.59529766705206,0.5950906611486317,1478.6847373753508,4087.0034862958837,1894.8081859712088,2.0
