country,metric,external_label,model_age_groups,model_window,external_value,modeled_value,absolute_difference,tolerance_abs,standardized_difference,age_pattern_weight,passes_weight_threshold,source_note,n_age_pattern_checks,minimum_age_pattern_weight,country_age_pattern_weight,all_checks_pass_weight_threshold,lancet_use
United_States,reported_case_share,Infants <1 y share of 2025 provisional reported cases,infant_0_2m;infant_3_11m,configured prospective scenario horizon,0.124,0.2021687118810858,0.0781687118810858,0.08,0.9771088985135732,0.6204123758021768,True,US provisional 2025 surveillance age distribution used as an external check; not a calibration target.,1,0.6204123758021768,0.6204123758021768,True,Age-pattern triangulation and post-calibration weighting; not a universal calibration target.
United_Kingdom,reported_case_share,Infants <1 y share of 2024 laboratory-confirmed cases in England,infant_0_2m;infant_3_11m,configured prospective scenario horizon,0.06,0.2622239479457381,0.2022239479457381,0.1,2.022239479457381,0.129415611858278,False,England 2024 laboratory-confirmed age distribution used as an external check; not a calibration target.,1,0.129415611858278,0.129415611858278,False,Age-pattern triangulation and post-calibration weighting; not a universal calibration target.
Sweden,reported_case_share,EU/EEA 2024 infant case share proxy for Sweden external triangulation,infant_0_2m;infant_3_11m,configured prospective scenario horizon,0.048,0.2080804668153461,0.1600804668153461,0.1,1.600804668153461,0.2776794764730762,False,EU/EEA 2024 infant case share used as a broad external age-pattern check for Sweden.,1,0.2776794764730762,0.2776794764730762,False,Age-pattern triangulation and post-calibration weighting; not a universal calibration target.
Australia,reported_case_share,"Children 5-14 y share of 2024 reported cases, compared with the model 5-17 y proxy",child_5_9y;adolescent_10_17y,configured prospective scenario horizon,0.57,0.2494172048462675,-0.3205827951537324,0.2,-1.602913975768662,0.2767428324161957,False,Australia 2024 school-age-dominated distribution used as a coarse check; model age bins require a 5-17 y proxy.,1,0.2767428324161957,0.2767428324161957,False,Age-pattern triangulation and post-calibration weighting; not a universal calibration target.
