scenario,full_horizon_median_rank,full_horizon_countries_ranked_first,full_horizon_countries_ranked_top_two,analysis_window_cells,analysis_window_cells_ranked_first,analysis_window_cells_ranked_top_two,analysis_window_cells_positive_reduction,infant_age_window_cells,infant_age_window_cells_ranked_first,infant_age_window_cells_ranked_top_two,infant_age_window_cells_positive_reduction,median_infant_age_window_reduction,minimum_infant_age_window_reduction,maximum_infant_age_window_reduction,rank_stability_interpretation
combined_strategy,1.0,9,9,45,39,45,45,90,80,90,90,0.8599570279637674,0.2974996038637475,0.9988223817822606,"Most stable lowest-burden scenario across country, horizon, and infant-age diagnostics."
next_generation_vaccine,2.0,0,9,45,6,43,45,90,10,77,90,0.5430420483698362,0.0573299705041592,0.999246925737482,"Often near the lowest modeled burden, but not consistently ordered first."
maternal_immunization,4.0,0,0,45,0,1,45,90,0,9,88,0.24531313608794308,-0.1301818888134189,0.7762100730518195,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
pregnancy_tdap_scaleup,5.0,0,0,45,0,0,45,90,0,3,90,0.13750944334083132,0.0093089503564429,0.4821988456685229,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
resistance_guided_treatment,3.0,0,0,45,0,1,43,90,0,1,87,0.28411255768042254,-0.211568561180401,0.8816217809545387,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
current,8.0,0,0,45,0,0,0,90,0,0,0,0.0,0.0,0.0,Low-benefit or unstable scenario in these deterministic diagnostics.
higher_child_coverage,10.0,0,0,45,0,0,17,90,0,0,34,-0.0004086738751835,-0.0467891380973986,0.2424200125210902,Low-benefit or unstable scenario in these deterministic diagnostics.
adolescent_booster,9.0,0,0,45,0,0,24,90,0,0,51,1.24248921540282e-07,-0.0072336412716049,0.4471383155162168,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
cocooning_adjunct,6.0,0,0,45,0,0,42,90,0,0,84,0.0529087990048703,-0.1702803586676371,0.5875875349873069,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
targeted_pep_high_risk,7.0,0,0,45,0,0,39,90,0,0,77,0.0258210986251462,-0.3905164871642552,0.3575660504363787,"Usually lower burden than current practice, but ordering is horizon- and age-stratum-dependent."
