country,primary_case_reduction,relative_regret_vs_current,within_10_percent_of_best,status
Australia,-1.7365923172563e-4,0.14053807489861322,FALSE,Not near-optimal
Brazil,0.02306780114156603,0.14469161247487378,FALSE,Not near-optimal
China,0.34717629662115157,0.09179810671790063,FALSE,Not near-optimal
Japan,0.06747800919741997,0.12594104842839146,FALSE,Not near-optimal
New_Zealand,-0.07229674691618393,0.17662138675246436,FALSE,Not near-optimal
South_Africa,0.04464504408040415,0.11683293430626959,FALSE,Not near-optimal
Sweden,6.731831350270667e-5,0.13804068842074682,FALSE,Not near-optimal
Thailand,0.10270112492417004,0.21066829068684761,FALSE,Not near-optimal
United_Kingdom,-0.01855971379904053,0.16682186390174786,FALSE,Not near-optimal
United_States,-0.00668025794317128,0.4992259040885827,FALSE,Not near-optimal
