ordering_basis,ordering_basis_label,strategy,strategy_label,country_count,effective_country_weight_sum,weighted_median_primary_case_reduction,weighted_iqr_low_primary_case_reduction,weighted_iqr_high_primary_case_reduction,weighted_iqr_primary_case_reduction,weighted_median_primary_cases_per_100k,strategy_rank_within_basis
age_data_profiles_unweighted,Profiles with age data,timeliness_only,Routine schedule timeliness,4,4,0.08628066665479173,-0.02641,0.1025,-0.02641 to 0.1025,481.6371984870536,5
age_data_profiles_unweighted,Profiles with age data,maternal_immunization,Infant-exposure composite,4,4,0.0859545029178288,0.01376,0.08613,0.01376 to 0.08613,428.8780377636333,6
age_data_profiles_unweighted,Profiles with age data,cocooning_adjunct,Close-contact adult adjuncts,4,4,0.0752943279503383,0.001011,0.07597,0.001011 to 0.07597,433.6438978039015,7
age_data_profiles_unweighted,Profiles with age data,targeted_pep_high_risk,Targeted high-risk PEP,4,4,0.04665644414692993,0.006577,0.05634,0.006577 to 0.05634,447.4009590567873,8
age_data_profiles_unweighted,Profiles with age data,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,4,4,0.01209583264196234,0.01205,0.01259,0.01205 to 0.01259,463.64246876947465,9
age_data_profiles_unweighted,Profiles with age data,adolescent_booster,Adolescent booster scale-up,4,4,-5.9068676563911e-4,-0.01856,-1.737e-4,-0.01856 to -0.0001737,469.26508079648534,11
age_pattern_weighted,Age-pattern weighted,maternal_immunization,Infant-exposure composite,4,2.00040181345943,0.06247104083897487,0.02056,0.08603,0.02056 to 0.08603,375.5587225448637,5
age_pattern_weighted,Age-pattern weighted,cocooning_adjunct,Close-contact adult adjuncts,4,2.00040181345943,0.05113123349698476,0.008003,0.07559,0.008003 to 0.07559,379.8741394690506,6
age_pattern_weighted,Age-pattern weighted,targeted_pep_high_risk,Targeted high-risk PEP,4,2.00040181345943,0.04748700522331099,0.01298,0.05311,0.01298 to 0.05311,388.99305041641026,7
age_pattern_weighted,Age-pattern weighted,timeliness_only,Routine schedule timeliness,4,2.00040181345943,0.0380760379983804,-0.02641,0.09138,-0.02641 to 0.09138,389.9107365966496,8
age_pattern_weighted,Age-pattern weighted,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,4,2.00040181345943,0.01207547899533829,0.01205,0.01225,0.01205 to 0.01225,405.9353416872205,9
age_pattern_weighted,Age-pattern weighted,adolescent_booster,Adolescent booster scale-up,4,2.00040181345943,-0.00213188338093914,-0.01256,-1.702e-4,-0.01256 to -0.0001702,411.05759993496594,11
all_profiles_unweighted,All profiles,maternal_immunization,Infant-exposure composite,10,10,0.0970540648122431,0.05224,0.1806,0.05224 to 0.1806,311.61617881594583,5
all_profiles_unweighted,All profiles,timeliness_only,Routine schedule timeliness,10,10,0.08743989474176461,-0.005355,0.1068,-0.005355 to 0.1068,337.0846907405567,6
all_profiles_unweighted,All profiles,cocooning_adjunct,Close-contact adult adjuncts,10,10,0.08310582144930201,0.04114,0.1699,0.04114 to 0.1699,316.5512055912224,7
all_profiles_unweighted,All profiles,targeted_pep_high_risk,Targeted high-risk PEP,10,10,0.05016764322937928,0.03379,0.07866,0.03379 to 0.07866,331.25183358391547,8
all_profiles_unweighted,All profiles,pregnancy_tdap_scaleup,Pregnancy Tdap scale-up,10,10,0.0136433491796708,0.012070000000000001,0.01584,0.01207 to 0.01584,352.2537373945296,9
all_profiles_unweighted,All profiles,adolescent_booster,Adolescent booster scale-up,10,10,6.731831350270667e-5,-0.009575,0.05606,-0.009575 to 0.05606,348.10753207775826,10
