country,fitness_R,mean_absolute_error,max_absolute_error,observations_within_ci,total_observations,fraction_within_ci
Australia,0.85,0.03452463600800047,0.03452463600800047,1,1,1.0
Australia,0.9,0.07001100739830447,0.07001100739830447,0,1,0.0
Australia,0.95,0.09688728214196575,0.09688728214196575,0,1,0.0
Australia,1.0,0.17514030015909554,0.17514030015909554,0,1,0.0
Australia,1.05,0.2111537084578406,0.2111537084578406,0,1,0.0
Australia,1.1,0.2417785794616814,0.2417785794616814,0,1,0.0
China,0.95,0.013945441347358922,0.02627910724666227,1,2,0.5
China,1.0,0.015360799702989314,0.027732429268154224,1,2,0.5
China,1.1,0.015361661260839876,0.027852229208411683,1,2,0.5
China,1.05,0.015440451872451244,0.02788333595047554,1,2,0.5
China,0.9,0.020075996584548617,0.020856669115633553,0,2,0.0
China,0.85,0.05496974544552502,0.09936943727380654,1,2,0.5
Japan,0.9,0.14112890520779375,0.14112890520779375,0,1,0.0
Japan,0.85,0.14160436543403487,0.14160436543403487,0,1,0.0
Japan,1.05,0.14942857711140511,0.14942857711140511,0,1,0.0
Japan,1.0,0.16537251694843813,0.16537251694843813,0,1,0.0
Japan,0.95,0.16712772604844472,0.16712772604844472,0,1,0.0
Japan,1.1,0.17024991895569996,0.17024991895569996,0,1,0.0
