country,scenario,infant_cases,mean_infant_population,analysis_window,analysis_years,annualized_infant_cases_per_100k,rank,current_infant_cases_per_100k,relative_reduction_infant_cases
Australia,adolescent_booster,20294.186669809496,288919.95836649276,first_5_years,5.0,1404.831067022824,8.0,1404.8310675975101,4.0907843779081077e-10
Australia,cocooning_adjunct,19934.686803287987,288919.95836572145,first_5_years,5.0,1379.9452911490598,7.0,1404.8310675975101,0.01771442632672482
Australia,combined_strategy,12994.502771433452,288919.95836315484,first_5_years,5.0,899.522680610396,1.0,1404.8310675975101,0.35969334579941614
Australia,current,20294.186678111408,288919.95836649276,first_5_years,5.0,1404.8310675975101,9.0,1404.8310675975101,0.0
Australia,higher_child_coverage,20294.35773750615,288919.9583664866,first_5_years,5.0,1404.8429088975117,10.0,1404.8310675975101,-8.42898500375e-06
Australia,maternal_immunization,18550.27024881833,288919.9583632855,first_5_years,5.0,1284.1113749222807,4.0,1404.8310675975101,0.08593182159736812
Australia,next_generation_vaccine,13967.257100912093,288919.9583639277,first_5_years,5.0,966.8599691073426,2.0,1404.8310675975101,0.3117606868128062
Australia,pregnancy_tdap_scaleup,18874.17260313086,288919.9583639714,first_5_years,5.0,1306.5329726618493,5.0,1404.8310675975101,0.06997147002434012
Australia,resistance_guided_treatment,19537.344154913128,288919.95836456947,first_5_years,5.0,1352.4399121129743,6.0,1404.8310675975101,0.03729356268731532
Australia,targeted_pep_high_risk,17411.64056961389,288919.95836322673,first_5_years,5.0,1205.291643280952,3.0,1404.8310675975101,0.14203802074067384
Brazil,adolescent_booster,218156.23234314128,2284031.127623013,first_5_years,5.0,1910.2737235475072,7.0,1973.973246757655,0.03226969935624879
Brazil,cocooning_adjunct,177309.49855949008,2284031.1282943664,first_5_years,5.0,1552.6014191575273,5.0,1973.973246757655,0.21346379860631393
Brazil,combined_strategy,19422.90260348183,2284031.127614871,first_5_years,5.0,170.0756383628138,1.0,1973.973246757655,0.9138409607920618
Brazil,current,225430.81703411858,2284031.127619378,first_5_years,5.0,1973.973246757655,9.0,1973.973246757655,0.0
Brazil,higher_child_coverage,224152.0553366578,2284031.1288067643,first_5_years,5.0,1962.7758353167496,8.0,1973.973246757655,0.00567252441708499
Brazil,maternal_immunization,161916.77125791545,2284031.127957564,first_5_years,5.0,1417.8158018599804,4.0,1973.973246757655,0.2817451785687519
Brazil,next_generation_vaccine,35139.00700261677,2284031.127604592,first_5_years,5.0,307.69289067850195,2.0,1973.973246757655,0.844125095826956
Brazil,pregnancy_tdap_scaleup,205674.29152621402,2284031.1275953893,first_5_years,5.0,1800.9762567706016,6.0,1973.973246757655,0.08763897396847153
Brazil,resistance_guided_treatment,140376.699419463,2284031.127630422,first_5_years,5.0,1229.201281202305,3.0,1973.973246757655,0.37729587611112436
Brazil,targeted_pep_high_risk,256917.9958442372,2284031.127628049,first_5_years,5.0,2249.689093432319,10.0,1973.973246757655,-0.13967557418903254
China,adolescent_booster,191566.53053056012,8002067.261208354,first_5_years,5.0,478.79260265461096,8.0,478.79291892910305,6.605663526171313e-07
China,cocooning_adjunct,186127.8287023555,8002067.261131587,first_5_years,5.0,465.19936068629045,6.0,478.79291892910305,0.02839131011631657
China,combined_strategy,109730.93626480375,8002067.260960523,first_5_years,5.0,274.25647070012826,1.0,478.79291892910305,0.4271918822159134
China,current,191566.65707305208,8002067.261208523,first_5_years,5.0,478.79291892910305,9.0,478.79291892910305,0.0
China,higher_child_coverage,191567.18196744722,8002067.261202928,first_5_years,5.0,478.79423082642137,10.0,478.79291892910305,-2.740009859003578e-06
China,maternal_immunization,166712.05790549677,8002067.261144256,first_5_years,5.0,416.6724734119712,4.0,478.79291892910305,0.12974386851015707
China,next_generation_vaccine,141339.13359034312,8002067.260993912,first_5_years,5.0,353.2565497900797,2.0,478.79291892910305,0.2621934539462395
China,pregnancy_tdap_scaleup,171394.8575861185,8002067.261048179,first_5_years,5.0,428.3764482221254,5.0,478.79291892910305,0.10529911515763879
China,resistance_guided_treatment,151810.75759091976,8002067.260036412,first_5_years,5.0,379.4288467158647,3.0,478.79291892910305,0.2075303712416674
China,targeted_pep_high_risk,188009.14520892574,8002067.26121949,first_5_years,5.0,469.9014368951299,7.0,478.79291892910305,0.018570621415747723
Japan,adolescent_booster,163389.58060024094,715332.5928627319,first_5_years,5.0,4568.21294682974,9.0,4544.139288457629,-0.005297737776933875
Japan,cocooning_adjunct,90964.05818587448,715332.5928893358,first_5_years,5.0,2543.266141934257,5.0,4544.139288457629,0.4403195015623097
Japan,combined_strategy,311.6843753370437,715332.5929092214,first_5_years,5.0,8.714390436746049,1.0,4544.139288457629,0.9980822791988615
Japan,current,162528.5469777044,715332.5928654348,first_5_years,5.0,4544.139288457629,8.0,4544.139288457629,0.0
Japan,higher_child_coverage,164519.8496134697,715332.5928564734,first_5_years,5.0,4599.814163548941,10.0,4544.139288457629,-0.012252017721536168
Japan,maternal_immunization,74706.8284671064,715332.5928915176,first_5_years,5.0,2088.72989178716,4.0,4544.139288457629,0.5403464200376401
Japan,next_generation_vaccine,406.92302645216887,715332.5929396705,first_5_years,5.0,11.37717001765325,2.0,4544.139288457629,0.9974962981336087
Japan,pregnancy_tdap_scaleup,135688.94672501602,715332.5928838894,first_5_years,5.0,3793.730303214092,6.0,4544.139288457629,0.1651377604444516
Japan,resistance_guided_treatment,30611.357862382076,715332.592908004,first_5_years,5.0,855.8636406580982,3.0,4544.139288457629,0.8116555003425973
Japan,targeted_pep_high_risk,144987.59467005503,715332.5928739193,first_5_years,5.0,4053.7114096130604,7.0,4544.139288457629,0.10792536225513227
New_Zealand,adolescent_booster,17134.325755696744,54345.55704060341,first_5_years,5.0,6305.695143724483,8.0,6306.268454166096,9.091120141480058e-05
New_Zealand,cocooning_adjunct,16759.88280285804,54345.55704384679,first_5_years,5.0,6167.894383467602,6.0,6306.268454166096,0.02194230577150258
New_Zealand,combined_strategy,110.5979432443495,54345.55704524217,first_5_years,5.0,40.701742426626616,2.0,6306.268454166096,0.9935458278183926
New_Zealand,current,17135.883599443994,54345.55704054608,first_5_years,5.0,6306.268454166096,9.0,6306.268454166096,0.0
New_Zealand,higher_child_coverage,17110.17704466872,54345.557043295616,first_5_years,5.0,6296.808046713924,7.0,6306.268454166096,0.0015001593289167836
New_Zealand,maternal_immunization,15008.559422383189,54345.5570439592,first_5_years,5.0,5523.380470732141,4.0,6306.268454166096,0.1241444110925467
New_Zealand,next_generation_vaccine,16.060571839689903,54345.55704457344,first_5_years,5.0,5.910537204179268,1.0,6306.268454166096,0.9990627520462954
New_Zealand,pregnancy_tdap_scaleup,15344.063134126623,54345.55704411159,first_5_years,5.0,5646.8509915804325,5.0,6306.268454166096,0.10456539669668419
New_Zealand,resistance_guided_treatment,9650.398909919351,54345.5570448046,first_5_years,5.0,3551.495075103632,3.0,6306.268454166096,0.43683097208501864
New_Zealand,targeted_pep_high_risk,17278.589269374243,54345.55704488936,first_5_years,5.0,6358.786332837531,10.0,6306.268454166096,-0.008327885032667792
Sweden,adolescent_booster,8875.554419335038,91132.66328626433,first_5_years,5.0,1947.831677310977,8.0,1947.831707988923,1.574979280327682e-08
Sweden,cocooning_adjunct,8625.072142053672,91132.66328846896,first_5_years,5.0,1892.8607660136286,6.0,1947.831707988923,0.028221607518675307
Sweden,combined_strategy,5927.840103129754,91132.6632946003,first_5_years,5.0,1300.9254615915488,1.0,1947.831707988923,0.3321160877216057
Sweden,current,8875.554559123262,91132.66328626515,first_5_years,5.0,1947.831707988923,9.0,1947.831707988923,0.0
Sweden,higher_child_coverage,8875.606825680876,91132.6632863574,first_5_years,5.0,1947.843178420433,10.0,1947.831707988923,-5.888820611810175e-06
Sweden,maternal_immunization,8128.461373270144,91132.66329455235,first_5_years,5.0,1783.8744264496966,4.0,1947.831707988923,0.08417425430891423
