country,country_name,outcome,routine_timeliness_raw_burden,resistance_guided_raw_burden,guided_residual_index_vs_routine,guided_reduction_vs_routine,direction,profiles_guided_lower,profiles_routine_lower,median_residual_index,q25_residual_index,q75_residual_index,min_residual_index,max_residual_index,burden_unit,analysis_horizon,contrast_definition
Australia,Australia,Infant cases,2977.8115574752264,3208.34048166002,1.0774155515670878,-0.07741555156708779,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,Infant hospitalisations,884.9058569827508,943.5323842327988,1.0662517111706615,-0.06625171117066153,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,Infant deaths,11.57904588677024,10.778892172296802,0.9308964035294426,0.06910359647055742,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,Children cases,1121.8137932961342,1146.9394344755392,1.02239733664317,-0.022397336643170007,Routine lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,Adolescent cases,473.36209029637587,502.55890506498895,1.0616796641875836,-0.06167966418758364,Routine lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,All <18 cases,924.7515961765624,962.2819476864483,1.0405842516682937,-0.040584251668293714,Routine lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Australia,Australia,Resistant infections,1844.5441322615427,1500.8956595405325,0.8136946323427499,0.18630536765725014,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Infant cases,531.1052924790583,462.3531611810077,0.8705489621895237,0.1294510378104763,Guided lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Infant hospitalisations,152.20759938132414,133.22726297880683,0.8752996796502515,0.12470032034974854,Guided lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Infant deaths,1.8925658528707667,1.4421775650798625,0.7620223956235256,0.23797760437647442,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Children cases,316.0622387369796,263.1698617079749,0.8326520205628847,0.16734797943711532,Guided lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Adolescent cases,384.3619185607429,316.4058251156255,0.8231976422128876,0.1768023577871124,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,All <18 cases,358.4527500983109,297.7551393900705,0.8306677499570216,0.16933225004297836,Guided lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Brazil,Brazil,Resistant infections,839.9734705132252,396.49208099359794,0.4720292901052466,0.5279707098947535,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Infant cases,616.3082056098909,532.4804507497729,0.8639840357517824,0.1360159642482176,Guided lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Infant hospitalisations,206.244688471801,168.97953363717008,0.8193158082724344,0.18068419172756556,Guided lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Infant deaths,3.014147015908974,2.122531775364922,0.7041898633882102,0.2958101366117898,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Children cases,361.57400910564854,226.5990672700894,0.6267017583221234,0.3732982416778766,Guided lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Adolescent cases,183.16700403532232,166.59340064830056,0.9095164357013468,0.09048356429865323,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,All <18 cases,283.00857412676214,210.1747718048462,0.7426445380792844,0.25735546192071557,Guided lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
China,China,Resistant infections,596.8636352654139,455.2773597025594,0.7627828750198632,0.2372171249801368,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Infant cases,2295.536035412927,2670.416626738327,1.1633085194665505,-0.16330851946655045,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Infant hospitalisations,766.3343603959646,833.3327080416075,1.087427043739791,-0.08742704373979104,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Infant deaths,11.23301360891912,10.304129877883854,0.9173077000193677,0.08269229998063232,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Children cases,1167.6750220107915,993.7261141845946,0.851029691868677,0.14897030813132295,Guided lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Adolescent cases,625.3956273779547,620.6023327761444,0.9923355802439701,0.007664419756029939,Guided lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,All <18 cases,972.417267421913,904.57916080908,0.930237657345713,0.06976234265428705,Guided lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Japan,Japan,Resistant infections,2199.444808581926,2022.3151689714712,0.9194662039623274,0.08053379603767263,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Infant cases,2935.732278459553,3642.7541671173976,1.2408332305522203,-0.24083323055222028,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Infant hospitalisations,907.5174040405984,1073.1714679740244,1.1825354127599907,-0.18253541275999075,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Infant deaths,12.381279561274914,12.19927652061842,0.9853001428684522,0.014699857131547756,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Children cases,1236.7401341135726,1331.2936986156824,1.076453866009516,-0.07645386600951598,Routine lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Adolescent cases,601.8320714490102,621.5217424461488,1.0327162209048322,-0.03271622090483217,Routine lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,All <18 cases,1032.916832789019,1124.321674631808,1.0884919665758406,-0.08849196657584057,Routine lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
New_Zealand,New Zealand,Resistant infections,2368.541916743953,1837.6301414255447,0.775848689201897,0.22415131079810302,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Infant cases,368.3716076304968,386.0616083209279,1.0480221611112208,-0.04802216111122082,Routine lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Infant hospitalisations,112.2062834838782,118.93100713942444,1.0599317921131615,-0.059931792113161464,Routine lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Infant deaths,1.4298130926368997,1.464097899880725,1.0239785237807526,-0.023978523780752603,Routine lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Children cases,162.55519643249892,168.48085450667108,1.0364532060753455,-0.03645320607534552,Routine lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Adolescent cases,109.29409484493208,110.99916001180384,1.0156007071497406,-0.0156007071497406,Routine lower,6,3,0.9907012250991121,0.9095164357013468,1.0156007071497406,0.7261781689626482,1.0616796641875836,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,All <18 cases,148.17757340456384,152.7360565631394,1.0307636510292264,-0.030763651029226402,Routine lower,5,4,0.9361460780080113,0.8306677499570216,1.0354619398967781,0.7414364437048543,1.0884919665758406,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Sweden,Sweden,Resistant infections,11.939456259472466,4.61753610342169,0.38674592905001454,0.6132540709499854,Guided lower,9,0,0.7592816698413164,0.5965326187159179,0.775848689201897,0.38674592905001454,0.9194662039623274,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,Infant cases,602.365719208663,471.1816665753792,0.7822185950328941,0.21778140496710585,Guided lower,3,6,1.0480221611112208,0.8705489621895237,1.1633085194665505,0.7822185950328941,1.2681269851186765,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,Infant hospitalisations,188.1889789320753,144.73006550604356,0.7690677016653683,0.2309322983346317,Guided lower,3,6,1.0599317921131615,0.8752996796502515,1.087427043739791,0.7690677016653683,1.184239624727393,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,Infant deaths,2.5410545847757176,1.7045430856490262,0.6708014443536542,0.3291985556463458,Guided lower,8,1,0.9173077000193677,0.7620223956235256,0.9653751658725133,0.6708014443536542,1.0239785237807526,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
Thailand,Thailand,Children cases,316.8319683153586,238.4446548287606,0.7525902644755367,0.24740973552446333,Guided lower,5,4,0.9281912964371359,0.8326520205628847,1.02239733664317,0.6267017583221234,1.076453866009516,"annualised per 100,000 endpoint-specific population",2027-01-01 to 2050-12-31,resistance-guided raw burden / routine-timeliness raw burden
