country,test_year,selected_candidate,training_intervals,holdout_intervals,observed_cases,model_expected_cases,model_point_cases,model_absolute_log1p_error,model_log_score,pomp_expected_cases,pomp_absolute_log1p_error,pomp_log_score,model_interval_95_coverage,model_mean_predictive_log1p_width,model_annual_q025,model_annual_median,model_annual_q975,model_annual_95_covered,model_annual_predictive_log1p_width,annual_prediction_scope,static_log_source_scale,scale_at_search_boundary,mc_log_likelihood_sd_per_training_interval,future_evidence_used,forecast_mode,stacking_weight_pomp,stacking_weight_seasonal_naive,stacking_weight_ew_recent_rate,stacking_weight_damped_log_trend,point_weight_pomp,point_weight_seasonal_naive,point_weight_ew_recent_rate,point_weight_damped_log_trend,seasonal_naive_expected_cases,seasonal_naive_absolute_log1p_error,seasonal_naive_log_score,seasonal_naive_mean_log_score_per_interval,model_log_score_delta_vs_seasonal_naive,model_log1p_error_delta_vs_seasonal_naive,ew_recent_rate_expected_cases,ew_recent_rate_absolute_log1p_error,ew_recent_rate_log_score,ew_recent_rate_mean_log_score_per_interval,model_log_score_delta_vs_ew_recent_rate,model_log1p_error_delta_vs_ew_recent_rate,damped_log_trend_expected_cases,damped_log_trend_absolute_log1p_error,damped_log_trend_log_score,damped_log_trend_mean_log_score_per_interval,model_log_score_delta_vs_damped_log_trend,model_log1p_error_delta_vs_damped_log_trend,model_mean_log_score_per_interval
Australia,2023,robust_ar1__k300,96,12,2454.0,1586.7179413175652,1303.1640035907642,0.6325645360255399,-66.47639980286723,1941.8159485635447,0.2339883207298108,-63.67304248910481,0.8333333333333334,2.540050087342879,,,,,,not_applicable_prequential_sequence,6.66521031346414,False,0.011418876120874631,False,prequential,0.6537657192798862,0.019999999999999997,0.020000000000000184,0.3062342807201136,0.4904281802103079,3.867249992665885e-18,0.08916922112341488,0.4204025986662774,489.0,1.611476649123949,-155.70265638172725,-12.975221365143938,89.22625657886002,0.9789121130984091,672.1352866893324,1.2939357104450133,-97.72339276301861,-8.143616063584885,31.246992960151374,0.6613711744194735,960.0575564911536,0.9378477407613177,-77.47088577015609,-6.455907147513007,10.994485967288853,0.30528320473577786,-5.53969998357227
China,2023,robust_ar1__k300,96,12,38205.0,33630.71528822531,32750.462009215127,0.15404496875384943,-99.70749879531915,34357.2474613323,0.10615048072608957,-99.02401172172412,0.8333333333333334,1.8831815274291748,,,,,,not_applicable_prequential_sequence,3.4141569463974726,False,0.005478888582893392,False,prequential,0.8634783663505454,0.019999999999999997,0.02000000000000001,0.09652163364945456,0.8466318499584802,1.6203326530995228e-18,1.1188966907746996e-16,0.1533681500415197,39787.0,0.040572787948706335,-119.36085526323146,-9.946737938602622,19.653356467912303,-0.1134721808051431,21289.279603531122,0.5847419594301968,-111.83403830590463,-9.319503192158718,12.126539510585474,0.43069699067634737,28412.799102655325,0.2961176602813431,-109.0601559738177,-9.088346331151476,9.352657178498546,0.1420726915274937,-8.308958232943263
United_Kingdom,2023,jump_ar1__k1000,417,52,1746.0,1415.5440907425298,1036.4252392834483,0.5211581191475201,-193.1632350383876,1535.1451711088614,0.12862388845179318,-188.67642028411424,0.9807692307692307,3.6871755490075255,,,,,,not_applicable_prequential_sequence,0.3963709510755092,False,0.024760258094882862,False,prequential,0.8340259088683268,0.02000000000000001,0.049452457482218604,0.09652163364945456,0.541152794324208,0.0542927715139878,0.2511862841202868,0.15336815004151735,484.0,1.2815064191965728,-468.35237947086387,-9.006776528285844,275.18914443247627,0.7603483000490527,581.1298558302452,1.0989617673069407,-259.6725165951232,-4.993702242213908,66.50928155673563,0.5778036481594206,1002.6243963919119,0.5542821870573009,-242.90848000888633,-4.671316923247814,49.74524497049873,0.03312406790978084,-3.714677596892069
Japan,2023,jump_ar1__k1000,417,52,815.0,829.6706568130988,825.4145457372401,0.012682164014155006,-171.3187685466492,871.8228250825085,0.06731823077388555,-168.33010642620692,1.0,3.1671174093600767,,,,,,not_applicable_prequential_sequence,4.529883598970592,False,0.0470874602770874,False,prequential,0.8634783663505454,0.019999999999999997,0.020000000000000035,0.09652163364945461,0.8466318499584846,1.6203326530995228e-18,4.876966855664262e-24,0.1533681500415155,378.0,0.7668781498816806,-239.34277121185733,-4.602745600228025,68.02400266520812,0.7541959858675256,505.0063660022199,0.477865104723727,-213.4526016419226,-4.104857723883127,42.13383309527339,0.465182940709572,613.4415519605857,0.2837005452732768,-211.4255155485853,-4.065875299011256,40.1067470019361,0.2710183812591218,-3.294591702820177
New_Zealand,2023,jump_ar1__k300,96,12,141.0,122.7842129659222,88.97892405525634,0.45625159185856745,-43.284632375879184,172.4006704333105,0.19977787313511364,-44.722355833132895,0.9166666666666666,2.834110517377208,,,,,,not_applicable_prequential_sequence,1.7994791247741089,False,0.023680170796184664,False,prequential,0.5382293057748863,0.019999999999999997,0.02000000000000008,0.4217706942251137,0.3681080460298742,1.726171490397533e-17,0.14204161773236648,0.48985033623775937,24.0,1.7369512327330603,-98.90656526428106,-8.24221377202342,55.62193288840187,1.2806996408744928,43.77724527842698,1.1541269651065633,-59.743734619420344,-4.978644551618362,16.45910224354116,0.6978753732479959,67.89844645446875,0.7231934276664962,-50.817443209703804,-4.234786934141984,7.53281083382462,0.26694183580792874,-3.607052697989932
Sweden,2023,jump_ar1__k100,96,12,137.0,81.68174462961599,80.09429685639742,0.5316410488711183,-40.27187398070374,111.4370063742614,0.20486056367944627,-38.41491386375312,0.8333333333333334,2.5799349307420543,,,,,,not_applicable_prequential_sequence,4.2655653132993026,False,0.006135732729832095,False,prequential,0.5242273032724954,0.02000000000000001,0.02000000000000001,0.4357726967275045,0.5640097261504525,1.7742134171941404e-16,1.474362944261448e-15,0.4359902738495459,19.0,1.9315214116032142,-137.01360539492575,-11.417800449577145,96.74173141422202,1.399880362732096,23.47480530577029,1.729609451592688,-78.83227579940134,-6.569356316616779,38.560401818697606,1.1979684027215698,51.43490483796286,0.9676811927296809,-48.29835750007143,-4.024863125005953,8.026483519367694,0.4360401438585626,-3.355989498391978
United_States,2023,jump_ar1__k1000,415,51,2507.0,2365.049534399614,2265.795154749963,0.10111861494420804,-216.29141346139903,2443.890102441762,0.02548544873060532,-212.40685692426933,1.0,3.4844757354342653,,,,,,not_applicable_prequential_sequence,-1.1546747889027118,False,0.004621814674565985,False,prequential,0.8634783663505454,0.019999999999999997,0.02000000000000001,0.09652163364945456,0.795501071210124,0.0511307787483605,3.824753990945375e-18,0.15336815004151552,884.5,1.0410884445299233,-319.9239360993341,-6.2730183548889045,103.6325226379351,0.9399698295857153,1231.2399237461661,0.7106520333189019,-272.19295551014017,-5.3371167747086306,55.901542048741135,0.6095334183746939,2201.4598664971113,0.12991076590322415,-263.57896713256486,-5.168215041814997,47.287553671165824,0.028792150959016105,-4.241008107086255
Brazil,2023,jump_ar1__k100,96,12,222.0,346.706046279232,296.7935967564324,0.28922884673334526,-46.05941753799317,396.540756976657,0.5781256906526995,-48.752752741142075,1.0,2.6281736073214224,,,,,,not_applicable_prequential_sequence,2.379799476041318,False,0.006996017481381411,False,prequential,0.7087630820923606,0.019999999999999997,0.02000000000000001,0.25123691790763936,0.5511613195509075,1.4520125157832263e-17,0.29547053040757676,0.1533681500415158,244.0,0.09408643908460856,-42.89650766063775,-3.574708971719813,-3.1629098773554176,-0.1951424076487367,199.08782641725375,0.10841536921609052,-43.307813154637294,-3.6089844295531077,-2.7516043833558754,-0.18081347751725474,226.04496637612505,0.017976316166762984,-43.4682161088521,-3.6223513424043414,-2.5912014291410728,-0.2712525305665823,-3.8382847948327643
Thailand,2023,jump_ar1__k300,180,12,398.0,107.95478978757077,81.73209921310999,1.5733537497426804,-52.18515019060876,171.28484694205153,0.8398122230037526,-50.09028454879939,0.6666666666666666,2.4449305831673613,,,,,,not_applicable_prequential_sequence,-4.770846363014895,False,0.02794656162063168,False,prequential,0.5098779143567527,0.020000000000000025,0.02000000000000003,0.4501220856432473,0.5180133434396279,1.6358978750148955e-18,1.220688863360678e-19,0.4819866565603722,25.0,2.7308648788683816,-452.9779962910135,-37.74816635758446,400.79284610040474,1.1575111291257012,23.689753445771128,2.7825730995781353,-209.21604816993417,-17.434670680827846,157.0308979793254,1.2092193498354549,43.64734552149439,2.190166562141022,-109.97844872702852,-9.164870727252376,57.79329853641976,0.6168128123983414,-4.348762515884063
Australia,2024,jump_ar1__k1000,108,12,57255.0,50638.2328684711,51283.41214949731,0.11014559116832778,-106.03395857051362,53182.01799488531,0.07379330566970843,-105.21626911029772,0.8333333333333334,2.730230830851528,,,,,,not_applicable_prequential_sequence,6.461349690677128,False,0.012254195780832325,False,prequential,0.8902719472396206,0.020000000000000018,0.023421568742036415,0.06630648401834306,0.7869652085514733,9.222407665010699e-15,2.5349183663955025e-15,0.21303479144851492,2461.232142857143,3.146464126762817,-924.3879881306269,-77.03233234421891,818.3540295601133,3.0363185355944893,7976.975795518751,1.970847720861073,-250.60059266429207,-20.88338272202434,144.56663409377845,1.8607021296927453,46084.727089152126,0.21702914598260747,-112.9916737785166,-9.415972814876383,6.9577152080029805,0.10688355481427969,-8.836163214209469
