country,starting_resistant_fraction,resistance_label,comparator,comparator_label,infectiousness_reduction,comparator_infant_cases_per_100k,minimum_infectiousness_reduction,reached_comparator,matched_comparator,profiles_matching_comparator,countries_evaluated
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,3549.8855208429213,0,TRUE,TRUE,6,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,598.7924322756955,0,TRUE,TRUE,6,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,3525.019242429274,0.6,TRUE,FALSE,6,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,2881.9059636762395,0,TRUE,TRUE,6,9
New_Zealand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,2833.790751018084,0,TRUE,TRUE,6,9
Sweden,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,364.28458956715906,NA,FALSE,FALSE,6,9
Thailand,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,610.9930880375833,0,TRUE,TRUE,6,9
United_Kingdom,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1970.2823656341568,0.1,TRUE,FALSE,6,9
United_States,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0,1144.3022163433764,0,TRUE,TRUE,6,9
Australia,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,3549.8855208429213,0,TRUE,TRUE,6,9
Brazil,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,598.7924322756955,0,TRUE,TRUE,6,9
China,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,3525.019242429274,0.6,TRUE,FALSE,6,9
Japan,0,0% resistant-strain seeding,infant_exposure_reduction_strategy,Infant-exposure composite,0.05,2881.9059636762395,0,TRUE,TRUE,6,9
